scale  tier    component           native     main       G3        Δ
1x     webgpu  rrect-sm            0.1549   0.1408   0.1408  +0.0000
1x     webgpu  capsule-button      0.1424   0.1206   0.1206  +0.0000
1x     webgpu  rrect-md            0.1131   0.0994   0.0994  +0.0000
1x     webgpu  rrect-ml            0.0865   0.0769   0.0769  +0.0000
1x     webgpu  rrect-lg            0.0650   0.0540   0.0540  +0.0000
1x     css     rrect-sm            0.1549   0.1162   0.1162  +0.0000
1x     css     capsule-button      0.1424   0.0991   0.0991  +0.0000
1x     css     rrect-md            0.1131   0.0691   0.0691  +0.0000
1x     css     rrect-ml            0.0865   0.0438   0.0438  +0.0000
1x     css     rrect-lg            0.0650   0.0261   0.0261  +0.0000
2x     webgpu  rrect-sm            0.1636   0.1372   0.0975  -0.0397
2x     webgpu  capsule-button      0.1552   0.1189   0.0836  -0.0353
2x     webgpu  rrect-md            0.1272   0.0973   0.0611  -0.0361
2x     webgpu  rrect-ml            0.1018   0.0746   0.0411  -0.0335
2x     webgpu  rrect-lg            0.0810   0.0525   0.0379  -0.0146
2x     css     rrect-sm            0.1636   0.1159   0.1425  +0.0266
2x     css     capsule-button      0.1552   0.0989   0.1307  +0.0318
2x     css     rrect-md            0.1272   0.0694   0.1103  +0.0409
2x     css     rrect-ml            0.1018   0.0440   0.0915  +0.0475
2x     css     rrect-lg            0.0810   0.0262   0.0888  +0.0626
