root: /Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a25a752a19656e6bc
comp             region            n     main       G3        Δ
rrect-md         whole        245700   0.9517   0.9451  -0.0066
rrect-md         box           26880   0.9579   0.9330  -0.0249
rrect-md         band<24       33184   0.9276   0.8983  -0.0293
rrect-md         outside      185636   0.9550   0.9552  +0.0002
rrect-ml         whole        245700   0.9158   0.9041  -0.0117
rrect-ml         box           50320   0.9590   0.9493  -0.0097
rrect-ml         band<24       55912   0.9395   0.8996  -0.0399
rrect-ml         outside      133500   0.8878   0.8880  +0.0002
rrect-lg         whole        245700   0.9113   0.9078  -0.0034
rrect-lg         box           78016   0.9778   0.9817  +0.0039
rrect-lg         band<24       71640   0.9381   0.9241  -0.0140
rrect-lg         outside       70460   0.7916   0.7919  +0.0003
glass-over-glass whole        245700   0.9211   0.9090  -0.0122
