
## 1x-grid  (apple-macos-26.5-1x-light-standard)

### ranked by mean ssimBand rise over the 5 checkerboard cells

point                                                               obj  bandRise  minΔssimMean    S1    S4   maxΔisd
sizeScatterRampStart1x=0.55 sizeScatterRampReach1xPx=100        0.05272   +0.0010       -0.0019  PASS  FAIL    0.0254
sizeScatterRampStart1x=0.55 sizeScatterRampReach1xPx=80         0.05258   +0.0010       -0.0008  PASS  FAIL    0.0254
sizeScatterRampStart1x=0.55 sizeScatterRampReach1xPx=50         0.05254   +0.0009       +0.0000  PASS  FAIL    0.0254
sizeScatterRampStart1x=0.55 sizeScatterRampReach1xPx=200        0.05288   +0.0008       -0.0047  FAIL  FAIL    0.0254
sizeScatterRampStart1x=0.55 sizeScatterRampReach1xPx=30         0.05229   +0.0006       +0.0000  PASS  FAIL    0.0254
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=30         0.05156   +0.0003       -0.0016  PASS  FAIL    0.0169
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=50         0.05204   +0.0002       -0.0021  FAIL  FAIL    0.0174
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=80         0.05256   -0.0001       -0.0064  FAIL  FAIL    0.0265
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=100        0.05274   -0.0003       -0.0088  FAIL  FAIL    0.0298
sizeScatterRampStart1x=0.55 sizeScatterRampReach1xPx=20         0.05241   -0.0003       -0.0006  PASS  FAIL    0.0254
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=150        0.05309   -0.0007       -0.0123  FAIL  FAIL    0.0346
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=200        0.05321   -0.0010       -0.0145  FAIL  FAIL    0.0370
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=300        0.05329   -0.0010       -0.0166  FAIL  FAIL    0.0393
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=20         0.05166   -0.0013       -0.0023  FAIL  FAIL    0.0188
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=30         0.05153   -0.0028       -0.0045  FAIL  FAIL    0.0153
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=20         0.05125   -0.0041       -0.0047  FAIL  FAIL    0.0079
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=50         0.05264   -0.0042       -0.0065  FAIL  FAIL    0.0275
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=80         0.05396   -0.0058       -0.0145  FAIL  FAIL    0.0397
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=100        0.05438   -0.0064       -0.0183  FAIL  FAIL    0.0441
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=150        0.05487   -0.0074       -0.0242  FAIL  FAIL    0.0504
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=200        0.05508   -0.0083       -0.0274  FAIL  FAIL    0.0538
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=300        0.05527   -0.0087       -0.0305  FAIL  FAIL    0.0570
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=30         0.05459   -0.0094       -0.0081  FAIL  FAIL    0.0243
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=20         0.05264   -0.0096       -0.0077  FAIL  FAIL    0.0187
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=50         0.05687   -0.0134       -0.0123  FAIL  FAIL    0.0377
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=80         0.05862   -0.0172       -0.0240  FAIL  FAIL    0.0528
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=100        0.05929   -0.0184       -0.0297  FAIL  FAIL    0.0585
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=150        0.06008   -0.0204       -0.0376  FAIL  FAIL    0.0662
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=200        0.06040   -0.0216       -0.0420  FAIL  FAIL    0.0705
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=300        0.06082   -0.0227       -0.0464  FAIL  FAIL    0.0747

### isdW

point                                                               obj       sm     caps       md       ml       tb   pho-md
main(W12 close)                                                       —   0.1408   0.1206   0.0994   0.0769   0.1227   0.0461
sizeScatterRampStart1x=0.55 sizeScatterRampReach1xPx=100        0.05272   0.1408   0.1206   0.1102   0.1022   0.1227   0.0466
sizeScatterRampStart1x=0.55 sizeScatterRampReach1xPx=80         0.05258   0.1408   0.1206   0.1096   0.1000   0.1227   0.0466
sizeScatterRampStart1x=0.55 sizeScatterRampReach1xPx=50         0.05254   0.1408   0.1206   0.1077   0.0942   0.1227   0.0465
sizeScatterRampStart1x=0.55 sizeScatterRampReach1xPx=200        0.05288   0.1408   0.1206   0.1112   0.1071   0.1227   0.0466
sizeScatterRampStart1x=0.55 sizeScatterRampReach1xPx=30         0.05229   0.1408   0.1206   0.1048   0.0882   0.1227   0.0464
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=30         0.05156   0.1478   0.1276   0.1128   0.0949   0.1312   0.0468
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=50         0.05204   0.1488   0.1294   0.1191   0.1039   0.1326   0.0471
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=80         0.05256   0.1493   0.1300   0.1237   0.1130   0.1330   0.0473
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=100        0.05274   0.1494   0.1303   0.1253   0.1163   0.1333   0.0474
sizeScatterRampStart1x=0.55 sizeScatterRampReach1xPx=20         0.05241   0.1408   0.1206   0.1032   0.0848   0.1227   0.0463
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=150        0.05309   0.1495   0.1305   0.1273   0.1211   0.1334   0.0475
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=200        0.05321   0.1496   0.1305   0.1284   0.1236   0.1335   0.0475
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=300        0.05329   0.1496   0.1306   0.1293   0.1259   0.1336   0.0476
sizeScatterRampStart1x=0.65 sizeScatterRampReach1xPx=20         0.05166   0.1466   0.1258   0.1086   0.0894   0.1293   0.0466
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=30         0.05153   0.1627   0.1396   0.1210   0.1019   0.1449   0.0472
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=20         0.05125   0.1597   0.1348   0.1147   0.0945   0.1409   0.0469
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=50         0.05264   0.1662   0.1438   0.1308   0.1140   0.1489   0.0477
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=80         0.05396   0.1680   0.1465   0.1379   0.1262   0.1510   0.0480
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=100        0.05438   0.1682   0.1474   0.1403   0.1307   0.1517   0.0481
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=150        0.05487   0.1688   0.1481   0.1439   0.1370   0.1524   0.0483
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=200        0.05508   0.1689   0.1486   0.1455   0.1403   0.1527   0.0484
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=300        0.05527   0.1690   0.1491   0.1470   0.1435   0.1530   0.0485
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=30         0.05459   0.1792   0.1521   0.1296   0.1092   0.1594   0.0476
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=20         0.05264   0.1736   0.1441   0.1208   0.0999   0.1523   0.0472
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=50         0.05687   0.1840   0.1588   0.1428   0.1243   0.1653   0.0483
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=80         0.05862   0.1867   0.1630   0.1524   0.1394   0.1689   0.0488
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=100        0.05929   0.1875   0.1642   0.1557   0.1451   0.1699   0.0490
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=150        0.06008   0.1883   0.1661   0.1605   0.1527   0.1713   0.0492
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=200        0.06040   0.1886   0.1667   0.1628   0.1571   0.1718   0.0493
