
## 2x-grid  (apple-macos-26.5-2x-light-standard)

### ranked by mean ssimBand rise over the 5 checkerboard cells

point                                                               obj  bandRise  minΔssimMean    S1    S4   maxΔisd
sizeScatterRampStart2x=0.25 sizeScatterRampReach2xPx=20         0.06613   +0.0038       -0.0160  FAIL  FAIL    0.0071
sizeScatterRampStart2x=0.25 sizeScatterRampReach2xPx=40         0.06613   +0.0038       -0.0160  FAIL  FAIL    0.0071
sizeScatterRampStart2x=0.25 sizeScatterRampReach2xPx=60         0.06613   +0.0038       -0.0160  FAIL  FAIL    0.0071
sizeScatterRampStart2x=0.25 sizeScatterRampReach2xPx=100        0.06613   +0.0038       -0.0160  FAIL  FAIL    0.0071
sizeScatterRampStart2x=0.25 sizeScatterRampReach2xPx=200        0.06613   +0.0038       -0.0160  FAIL  FAIL    0.0071
sizeScatterRampStart2x=0.25 sizeScatterRampReach2xPx=300        0.06613   +0.0038       -0.0160  FAIL  FAIL    0.0071
sizeScatterRampStart2x=0.35 sizeScatterRampReach2xPx=20         0.06613   +0.0038       -0.0160  FAIL  FAIL    0.0071
sizeScatterRampStart2x=0.35 sizeScatterRampReach2xPx=40         0.06613   +0.0038       -0.0160  FAIL  FAIL    0.0071
sizeScatterRampStart2x=0.35 sizeScatterRampReach2xPx=60         0.06613   +0.0038       -0.0160  FAIL  FAIL    0.0071
sizeScatterRampStart2x=0.35 sizeScatterRampReach2xPx=100        0.06613   +0.0038       -0.0160  FAIL  FAIL    0.0071
sizeScatterRampStart2x=0.35 sizeScatterRampReach2xPx=200        0.06613   +0.0038       -0.0160  FAIL  FAIL    0.0071
sizeScatterRampStart2x=0.35 sizeScatterRampReach2xPx=300        0.06613   +0.0038       -0.0160  FAIL  FAIL    0.0071
sizeScatterRampStart2x=0.45 sizeScatterRampReach2xPx=20         0.06609   +0.0029       -0.0172  FAIL  FAIL    0.0071
sizeScatterRampStart2x=0.45 sizeScatterRampReach2xPx=40         0.06617   +0.0021       -0.0182  FAIL  FAIL    0.0071
sizeScatterRampStart2x=0.45 sizeScatterRampReach2xPx=60         0.06625   +0.0016       -0.0189  FAIL  FAIL    0.0071
sizeScatterRampStart2x=0.55 sizeScatterRampReach2xPx=20         0.06590   +0.0012       -0.0188  FAIL  FAIL    0.0071
sizeScatterRampStart2x=0.45 sizeScatterRampReach2xPx=100        0.06639   +0.0011       -0.0209  FAIL  FAIL    0.0089
sizeScatterRampStart2x=0.45 sizeScatterRampReach2xPx=200        0.06661   +0.0008       -0.0238  FAIL  FAIL    0.0131
sizeScatterRampStart2x=0.45 sizeScatterRampReach2xPx=300        0.06669   +0.0006       -0.0248  FAIL  FAIL    0.0146
sizeScatterRampStart2x=0.55 sizeScatterRampReach2xPx=40         0.06630   -0.0012       -0.0207  FAIL  FAIL    0.0090
sizeScatterRampStart2x=0.65 sizeScatterRampReach2xPx=20         0.06598   -0.0022       -0.0205  FAIL  FAIL    0.0076
sizeScatterRampStart2x=0.55 sizeScatterRampReach2xPx=60         0.06655   -0.0028       -0.0224  FAIL  FAIL    0.0126
sizeScatterRampStart2x=0.55 sizeScatterRampReach2xPx=100        0.06691   -0.0042       -0.0264  FAIL  FAIL    0.0186
sizeScatterRampStart2x=0.55 sizeScatterRampReach2xPx=200        0.06749   -0.0053       -0.0328  FAIL  FAIL    0.0273
sizeScatterRampStart2x=0.55 sizeScatterRampReach2xPx=300        0.06772   -0.0057       -0.0352  FAIL  FAIL    0.0305
sizeScatterRampStart2x=0.65 sizeScatterRampReach2xPx=40         0.06629   -0.0069       -0.0236  FAIL  FAIL    0.0137
sizeScatterRampStart2x=0.75 sizeScatterRampReach2xPx=20         0.06658   -0.0074       -0.0222  FAIL  FAIL    0.0126
sizeScatterRampStart2x=0.65 sizeScatterRampReach2xPx=60         0.06693   -0.0097       -0.0263  FAIL  FAIL    0.0193
sizeScatterRampStart2x=0.65 sizeScatterRampReach2xPx=100        0.06808   -0.0126       -0.0323  FAIL  FAIL    0.0287
sizeScatterRampStart2x=0.75 sizeScatterRampReach2xPx=40         0.06850   -0.0145       -0.0266  FAIL  FAIL    0.0203
sizeScatterRampStart2x=0.65 sizeScatterRampReach2xPx=200        0.06926   -0.0151       -0.0424  FAIL  FAIL    0.0418
sizeScatterRampStart2x=0.65 sizeScatterRampReach2xPx=300        0.06962   -0.0158       -0.0459  FAIL  FAIL    0.0465
sizeScatterRampStart2x=0.75 sizeScatterRampReach2xPx=60         0.06995   -0.0199       -0.0302  FAIL  FAIL    0.0263
sizeScatterRampStart2x=0.75 sizeScatterRampReach2xPx=100        0.07159   -0.0245       -0.0384  FAIL  FAIL    0.0390
sizeScatterRampStart2x=0.75 sizeScatterRampReach2xPx=200        0.07329   -0.0289       -0.0521  FAIL  FAIL    0.0562
sizeScatterRampStart2x=0.75 sizeScatterRampReach2xPx=300        0.07376   -0.0302       -0.0568  FAIL  FAIL    0.0628

### isdW

point                                                               obj       sm     caps       md       ml       tb   pho-md
main(W12 close)                                                       —   0.1372   0.1189   0.0973   0.0746   0.1203   0.0488
sizeScatterRampStart2x=0.25 sizeScatterRampReach2xPx=20         0.06613   0.1647   0.1500   0.1260   0.1029   0.1510   0.0516
sizeScatterRampStart2x=0.25 sizeScatterRampReach2xPx=40         0.06613   0.1647   0.1500   0.1260   0.1029   0.1510   0.0516
sizeScatterRampStart2x=0.25 sizeScatterRampReach2xPx=60         0.06613   0.1647   0.1500   0.1260   0.1029   0.1510   0.0516
sizeScatterRampStart2x=0.25 sizeScatterRampReach2xPx=100        0.06613   0.1647   0.1500   0.1260   0.1029   0.1510   0.0516
sizeScatterRampStart2x=0.25 sizeScatterRampReach2xPx=200        0.06613   0.1647   0.1500   0.1260   0.1029   0.1510   0.0516
sizeScatterRampStart2x=0.25 sizeScatterRampReach2xPx=300        0.06613   0.1647   0.1500   0.1260   0.1029   0.1510   0.0516
sizeScatterRampStart2x=0.35 sizeScatterRampReach2xPx=20         0.06613   0.1647   0.1500   0.1260   0.1029   0.1510   0.0516
sizeScatterRampStart2x=0.35 sizeScatterRampReach2xPx=40         0.06613   0.1647   0.1500   0.1260   0.1029   0.1510   0.0516
sizeScatterRampStart2x=0.35 sizeScatterRampReach2xPx=60         0.06613   0.1647   0.1500   0.1260   0.1029   0.1510   0.0516
sizeScatterRampStart2x=0.35 sizeScatterRampReach2xPx=100        0.06613   0.1647   0.1500   0.1260   0.1029   0.1510   0.0516
sizeScatterRampStart2x=0.35 sizeScatterRampReach2xPx=200        0.06613   0.1647   0.1500   0.1260   0.1029   0.1510   0.0516
sizeScatterRampStart2x=0.35 sizeScatterRampReach2xPx=300        0.06613   0.1647   0.1500   0.1260   0.1029   0.1510   0.0516
sizeScatterRampStart2x=0.45 sizeScatterRampReach2xPx=20         0.06609   0.1647   0.1500   0.1260   0.1046   0.1510   0.0516
sizeScatterRampStart2x=0.45 sizeScatterRampReach2xPx=40         0.06617   0.1647   0.1500   0.1260   0.1063   0.1510   0.0516
sizeScatterRampStart2x=0.45 sizeScatterRampReach2xPx=60         0.06625   0.1647   0.1500   0.1260   0.1080   0.1510   0.0516
sizeScatterRampStart2x=0.55 sizeScatterRampReach2xPx=20         0.06590   0.1647   0.1500   0.1280   0.1069   0.1510   0.0516
sizeScatterRampStart2x=0.45 sizeScatterRampReach2xPx=100        0.06639   0.1647   0.1500   0.1260   0.1107   0.1510   0.0516
sizeScatterRampStart2x=0.45 sizeScatterRampReach2xPx=200        0.06661   0.1647   0.1500   0.1260   0.1149   0.1510   0.0516
sizeScatterRampStart2x=0.45 sizeScatterRampReach2xPx=300        0.06669   0.1647   0.1500   0.1260   0.1164   0.1510   0.0516
sizeScatterRampStart2x=0.55 sizeScatterRampReach2xPx=40         0.06630   0.1647   0.1500   0.1297   0.1108   0.1510   0.0516
sizeScatterRampStart2x=0.65 sizeScatterRampReach2xPx=20         0.06598   0.1685   0.1527   0.1310   0.1094   0.1544   0.0517
sizeScatterRampStart2x=0.55 sizeScatterRampReach2xPx=60         0.06655   0.1647   0.1500   0.1313   0.1144   0.1510   0.0517
sizeScatterRampStart2x=0.55 sizeScatterRampReach2xPx=100        0.06691   0.1647   0.1500   0.1338   0.1205   0.1510   0.0517
sizeScatterRampStart2x=0.55 sizeScatterRampReach2xPx=200        0.06749   0.1647   0.1500   0.1363   0.1291   0.1510   0.0518
sizeScatterRampStart2x=0.55 sizeScatterRampReach2xPx=300        0.06772   0.1647   0.1500   0.1371   0.1323   0.1510   0.0518
sizeScatterRampStart2x=0.65 sizeScatterRampReach2xPx=40         0.06629   0.1706   0.1549   0.1355   0.1155   0.1570   0.0518
sizeScatterRampStart2x=0.75 sizeScatterRampReach2xPx=20         0.06658   0.1762   0.1574   0.1341   0.1120   0.1602   0.0518
sizeScatterRampStart2x=0.65 sizeScatterRampReach2xPx=60         0.06693   0.1721   0.1566   0.1394   0.1211   0.1586   0.0519
sizeScatterRampStart2x=0.65 sizeScatterRampReach2xPx=100        0.06808   0.1732   0.1583   0.1457   0.1306   0.1602   0.0520
sizeScatterRampStart2x=0.75 sizeScatterRampReach2xPx=40         0.06850   0.1839   0.1642   0.1414   0.1206   0.1684   0.0519
sizeScatterRampStart2x=0.65 sizeScatterRampReach2xPx=200        0.06926   0.1738   0.1596   0.1519   0.1437   0.1613   0.0522
sizeScatterRampStart2x=0.65 sizeScatterRampReach2xPx=300        0.06962   0.1740   0.1599   0.1542   0.1483   0.1615   0.0522
sizeScatterRampStart2x=0.75 sizeScatterRampReach2xPx=60         0.06995   0.1877   0.1694   0.1477   0.1281   0.1731   0.0521
sizeScatterRampStart2x=0.75 sizeScatterRampReach2xPx=100        0.07159   0.1905   0.1737   0.1576   0.1408   0.1768   0.0523
sizeScatterRampStart2x=0.75 sizeScatterRampReach2xPx=200        0.07329   0.1925   0.1769   0.1676   0.1581   0.1793   0.0526
