2x deep curve, free floor/top/ceiling: floor 0.530  spanMax 112  ceiling 0.840  RMS 0.0148
  span   32  required 0.5170  fitted 0.5300
  span   44  required 0.5630  fitted 0.5488
  span   96  required 0.8080  fitted 0.8078
  span  128  required 0.8210  fitted 0.8400
  span  160  required 0.8590  fitted 0.8400

ceiling pinned at 1: floor 0.570  spanMax 206  RMS 0.0612
  span   32  required 0.5170  fitted 0.5700
  span   44  required 0.5630  fitted 0.5759
  span   96  required 0.8080  fitted 0.7017
  span  128  required 0.8210  fitted 0.8182
  span  160  required 0.8590  fitted 0.9257
