
## 1x-refine  (apple-macos-26.5-1x-light-standard)

### ranked by mean ssimBand rise over the 5 checkerboard cells

point                                                               obj  bandRise  minΔssimMean    S1    S4   maxΔisd
sizeScatterRampStart1x=0.575 sizeScatterRampReach1xPx=50        0.05251   +0.0006       +0.0000  PASS  FAIL    0.0254
sizeScatterRampStart1x=0.575 sizeScatterRampReach1xPx=80        0.05276   +0.0004       -0.0020  PASS  FAIL    0.0254
sizeScatterRampStart1x=0.575 sizeScatterRampReach1xPx=100       0.05292   +0.0004       -0.0034  FAIL  FAIL    0.0254
sizeScatterRampStart1x=0.61 sizeScatterRampReach1xPx=50         0.05231   +0.0003       -0.0006  PASS  FAIL    0.0217
sizeScatterRampStart1x=0.61 sizeScatterRampReach1xPx=80         0.05286   -0.0003       -0.0038  FAIL  FAIL    0.0215
sizeScatterRampStart1x=0.61 sizeScatterRampReach1xPx=100        0.05308   -0.0005       -0.0057  FAIL  FAIL    0.0242

### isdW

point                                                               obj       sm     caps       md       ml       tb   pho-md
main(W12 close)                                                       —   0.1408   0.1206   0.0994   0.0769   0.1227   0.0461
sizeScatterRampStart1x=0.575 sizeScatterRampReach1xPx=50        0.05251   0.1408   0.1206   0.1104   0.0966   0.1227   0.0466
sizeScatterRampStart1x=0.575 sizeScatterRampReach1xPx=80        0.05276   0.1408   0.1206   0.1132   0.1034   0.1227   0.0468
sizeScatterRampStart1x=0.575 sizeScatterRampReach1xPx=100       0.05292   0.1408   0.1206   0.1140   0.1059   0.1227   0.0468
sizeScatterRampStart1x=0.61 sizeScatterRampReach1xPx=50         0.05231   0.1420   0.1237   0.1145   0.1000   0.1264   0.0469
sizeScatterRampStart1x=0.61 sizeScatterRampReach1xPx=80         0.05286   0.1420   0.1240   0.1180   0.1078   0.1265   0.0470
sizeScatterRampStart1x=0.61 sizeScatterRampReach1xPx=100        0.05308   0.1420   0.1240   0.1192   0.1108   0.1265   0.0471
NATIVE                                                                    0.1549   0.1424   0.1131   0.0865   0.1481   0.0572

### ssimBand

point                                                               obj       sm     caps       md       ml       tb   pho-md
main(W12 close)                                                       —   0.9673   0.8815   0.9317   0.9370   0.7227   0.9910
sizeScatterRampStart1x=0.575 sizeScatterRampReach1xPx=50        0.05251   0.9673   0.8815   0.9342   0.9377   0.7227   0.9910
sizeScatterRampStart1x=0.575 sizeScatterRampReach1xPx=80        0.05276   0.9673   0.8815   0.9342   0.9366   0.7227   0.9910
sizeScatterRampStart1x=0.575 sizeScatterRampReach1xPx=100       0.05292   0.9673   0.8815   0.9344   0.9362   0.7227   0.9910
sizeScatterRampStart1x=0.61 sizeScatterRampReach1xPx=50         0.05231   0.9692   0.8816   0.9335   0.9343   0.7231   0.9910
sizeScatterRampStart1x=0.61 sizeScatterRampReach1xPx=80         0.05286   0.9692   0.8811   0.9333   0.9324   0.7229   0.9910
sizeScatterRampStart1x=0.61 sizeScatterRampReach1xPx=100        0.05308   0.9692   0.8811   0.9331   0.9316   0.7229   0.9910

### ssimInterior

point                                                               obj       sm     caps       md       ml       tb   pho-md
main(W12 close)                                                       —     —        —      0.9817   0.9803     —      0.9958
sizeScatterRampStart1x=0.575 sizeScatterRampReach1xPx=50        0.05251     —        —      0.9823   0.9823     —      0.9958
sizeScatterRampStart1x=0.575 sizeScatterRampReach1xPx=80        0.05276     —        —      0.9814   0.9731     —      0.9959
sizeScatterRampStart1x=0.575 sizeScatterRampReach1xPx=100       0.05292     —        —      0.9816   0.9676     —      0.9959
sizeScatterRampStart1x=0.61 sizeScatterRampReach1xPx=50         0.05231     —        —      0.9827   0.9820     —      0.9959
sizeScatterRampStart1x=0.61 sizeScatterRampReach1xPx=80         0.05286     —        —      0.9811   0.9700     —      0.9960
sizeScatterRampStart1x=0.61 sizeScatterRampReach1xPx=100        0.05308     —        —      0.9798   0.9627     —      0.9959

### ssimMean

point                                                               obj       sm     caps       md       ml       tb   pho-md
main(W12 close)                                                       —   0.9988   0.9852   0.9695   0.9482   0.9643   0.9975
sizeScatterRampStart1x=0.575 sizeScatterRampReach1xPx=50        0.05251   0.9988   0.9852   0.9699   0.9486   0.9643   0.9975
sizeScatterRampStart1x=0.575 sizeScatterRampReach1xPx=80        0.05276   0.9988   0.9852   0.9698   0.9462   0.9643   0.9975
sizeScatterRampStart1x=0.575 sizeScatterRampReach1xPx=100       0.05292   0.9988   0.9852   0.9699   0.9449   0.9643   0.9975
sizeScatterRampStart1x=0.61 sizeScatterRampReach1xPx=50         0.05231   0.9988   0.9852   0.9698   0.9477   0.9643   0.9975
sizeScatterRampStart1x=0.61 sizeScatterRampReach1xPx=80         0.05286   0.9988   0.9851   0.9696   0.9444   0.9643   0.9975
sizeScatterRampStart1x=0.61 sizeScatterRampReach1xPx=100        0.05308   0.9988   0.9851   0.9695   0.9426   0.9643   0.9975
