 profile scene                                 declined  tierOrder    resid  shaderOrder    resid  +innerShadow    resid
 1x-dark checkerboard__capsule-button__rest      0.0638     0.0634  -0.0004       0.0634  -0.0004        0.0633  -0.0006
 1x-dark checkerboard__rrect-md__rest            0.0641     0.0628  -0.0012       0.0628  -0.0012        0.0626  -0.0015
 1x-dark dark-solid__rrect-md__rest              0.0761     0.0489  -0.0272       0.0489  -0.0272        0.0487  -0.0274
 1x-dark impulse__capsule-button__rest           0.0037     0.0037  +0.0001       0.0037  +0.0001        0.0037  +0.0001
 1x-dark photo__capsule-button__rest             0.0549     0.0548  -0.0001       0.0548  -0.0001        0.0547  -0.0002
 1x-dark photo__rrect-md__rest                   0.0556     0.0547  -0.0009       0.0547  -0.0009        0.0545  -0.0011
1x-light checkerboard__capsule-button__rest      0.6731     0.6753  +0.0023       0.6744  +0.0013        0.6724  -0.0007
1x-light checkerboard__rrect-md__rest            0.6911     0.7058  +0.0147       0.6944  +0.0033        0.6919  +0.0008
1x-light checkerboard__rrect-ml__rest            0.6921     0.7058  +0.0137       0.6944  +0.0023        0.6925  +0.0004
1x-light checkerboard__rrect-sm__rest            0.6696     0.6734  +0.0039       0.6734  +0.0039        0.6708  +0.0012
1x-light checkerboard__toolbar-group__rest       0.6735     0.6753  +0.0018       0.6744  +0.0009        0.6715  -0.0021
1x-light dark-solid__rrect-md__rest              0.4937     0.5205  +0.0268       0.4953  +0.0016        0.4935  -0.0002
1x-light impulse__capsule-button__rest           0.0037     0.0037  +0.0001       0.0037  +0.0001        0.0037  +0.0001
1x-light impulse__rrect-md__rest                 0.4618     0.4621  +0.0002       0.4647  +0.0028        0.4630  +0.0012
1x-light light-solid__capsule-button__rest       0.9698     0.9706  +0.0007       0.9704  +0.0006        0.9675  -0.0024
1x-light light-solid__rrect-md__rest             0.9300     0.9384  +0.0084       0.9358  +0.0058        0.9324  +0.0024
1x-light light-solid__rrect-ml__rest             0.9305     0.9384  +0.0079       0.9358  +0.0053        0.9332  +0.0028
1x-light photo__capsule-button__rest             0.6120     0.6156  +0.0036       0.6138  +0.0018        0.6119  -0.0000
1x-light photo__rrect-md__rest                   0.6516     0.6725  +0.0209       0.6552  +0.0036        0.6529  +0.0013
1x-light photo__rrect-ml__rest                   0.6554     0.6751  +0.0197       0.6580  +0.0026        0.6563  +0.0008
1x-light photo__rrect-sm__rest                   0.5888     0.5909  +0.0021       0.5909  +0.0021        0.5886  -0.0002
1x-light photo__toolbar-group__rest              0.6308     0.6359  +0.0051       0.6342  +0.0034        0.6315  +0.0006
 2x-dark checkerboard__capsule-button__rest      0.0636     0.0634  -0.0002       0.0634  -0.0002        0.0633  -0.0004
 2x-dark checkerboard__rrect-md__rest            0.0641     0.0628  -0.0012       0.0628  -0.0012        0.0626  -0.0014
 2x-dark dark-solid__rrect-md__rest              0.0888     0.0489  -0.0399       0.0489  -0.0399        0.0487  -0.0400
 2x-dark impulse__capsule-button__rest           0.0033     0.0037  +0.0004       0.0037  +0.0004        0.0037  +0.0004
 2x-dark photo__capsule-button__rest             0.0550     0.0549  -0.0002       0.0549  -0.0002        0.0547  -0.0004
 2x-dark photo__rrect-md__rest                   0.0558     0.0547  -0.0011       0.0547  -0.0011        0.0545  -0.0013
2x-light checkerboard__capsule-button__rest      0.6793     0.6754  -0.0039       0.6745  -0.0048        0.6724  -0.0069
2x-light checkerboard__rrect-md__rest            0.6979     0.7058  +0.0079       0.6944  -0.0035        0.6919  -0.0060
2x-light checkerboard__rrect-ml__rest            0.6985     0.7058  +0.0073       0.6944  -0.0041        0.6925  -0.0059
2x-light checkerboard__rrect-sm__rest            0.6774     0.6734  -0.0039       0.6734  -0.0039        0.6708  -0.0066
2x-light checkerboard__toolbar-group__rest       0.6795     0.6753  -0.0041       0.6744  -0.0051        0.6715  -0.0080
2x-light dark-solid__rrect-md__rest              0.4945     0.5205  +0.0260       0.4953  +0.0008        0.4935  -0.0010
2x-light impulse__capsule-button__rest           0.0033     0.0037  +0.0004       0.0037  +0.0004        0.0037  +0.0004
2x-light impulse__rrect-md__rest                 0.4627     0.4621  -0.0006       0.4647  +0.0020        0.4630  +0.0003
2x-light light-solid__capsule-button__rest       0.9697     0.9706  +0.0008       0.9704  +0.0007        0.9675  -0.0023
2x-light light-solid__rrect-md__rest             0.9302     0.9384  +0.0083       0.9358  +0.0056        0.9324  +0.0023
2x-light light-solid__rrect-ml__rest             0.9305     0.9384  +0.0079       0.9358  +0.0053        0.9332  +0.0027
2x-light photo__capsule-button__rest             0.6119     0.6160  +0.0041       0.6142  +0.0023        0.6123  +0.0004
2x-light photo__rrect-md__rest                   0.6526     0.6727  +0.0201       0.6555  +0.0029        0.6531  +0.0005
2x-light photo__rrect-ml__rest                   0.6558     0.6753  +0.0195       0.6582  +0.0024        0.6564  +0.0006
2x-light photo__rrect-sm__rest                   0.5886     0.5910  +0.0024       0.5910  +0.0024        0.5887  +0.0001
2x-light photo__toolbar-group__rest              0.6319     0.6363  +0.0044       0.6346  +0.0027        0.6319  -0.0001
44 untinted cells; worst -0.0400 on apple-macos-26.5-2x-dark-standard dark-solid__rrect-md__rest; 7 over 0.005
