cells 68   absent material axis 4
worst residual +0.000817 on apple-macos-26.5-1x-dark-standard dark-solid__rrect-md__rest; cells over 0.005: 0
profile scene                                     default    whole     lens      rim highlight     lift      sum    resid
1x-dark checkerboard__capsule-button__rest         0.0697  +0.0058  -0.0000  +0.0032  +0.0027  +0.0000  +0.0059  -0.0001
1x-dark checkerboard__capsule-button__rest-tint-orange   0.4317  +0.0048  +0.0000  +0.0026  +0.0022  +0.0000  +0.0048  +0.0000
1x-dark checkerboard__rrect-md__rest               0.0683  +0.0043  +0.0000  +0.0026  +0.0016  +0.0000  +0.0042  +0.0001
1x-dark dark-solid__capsule-button__rest-tint-orange   0.4275  +0.0000  +0.0000  +0.0000  +0.0000  +0.0000  +0.0000  +0.0000
1x-dark dark-solid__rrect-md__rest                 0.2105  +0.1344  +0.0000  +0.0801  +0.0534  +0.0000  +0.1335  +0.0008
1x-dark impulse__capsule-button__rest              0.0037  +0.0000  +0.0000  +0.0000  +0.0000  +0.0000  +0.0000  +0.0000
1x-dark photo__capsule-button__rest                0.0606  +0.0057  +0.0000  +0.0029  +0.0028  +0.0000  +0.0057  -0.0000
1x-dark photo__capsule-button__rest-tint-orange    0.4317  +0.0048  +0.0000  +0.0026  +0.0022  +0.0000  +0.0048  +0.0000
1x-dark photo__rrect-md__rest                      0.0600  +0.0044  +0.0002  +0.0027  +0.0015  +0.0000  +0.0044  +0.0000
1x-light checkerboard__capsule-button__rest         0.6783  +0.0052  -0.0002  +0.0028  +0.0024  +0.0000  +0.0050  +0.0002
1x-light checkerboard__capsule-button__rest-tint-blue   0.2100  +0.0058  -0.0000  +0.0031  +0.0027  +0.0000  +0.0057  +0.0001
1x-light checkerboard__capsule-button__rest-tint-orange   0.3719  +0.0055  -0.0001  +0.0029  +0.0025  +0.0000  +0.0053  +0.0002
1x-light checkerboard__rrect-md__rest               0.6946  +0.0036  -0.0002  +0.0022  +0.0013  +0.0001  +0.0034  +0.0002
