The CSS-minus-GPU residual with the tier's outer shadow declined (declared region, whole component).
scene                                    dpr   default  no-shadow  shadow share
checkerboard__capsule-sm__rest             1   -0.0077    -0.0045       -0.0032
checkerboard__capsule-button__rest         1   -0.0005    +0.0006       -0.0011
checkerboard__toolbar-group__rest          1   -0.0122    -0.0026       -0.0096
checkerboard__toolbar-group-wide__rest     1   -0.0063    -0.0031       -0.0033
photo__capsule-sm__rest                    1   -0.0063    -0.0051       -0.0012
photo__capsule-button__rest                1   +0.0004    +0.0011       -0.0007
photo__toolbar-group__rest                 1   -0.0150    -0.0086       -0.0064
photo__toolbar-group-wide__rest            1   -0.0101    -0.0084       -0.0017
light-solid__capsule-sm__rest              1   -0.0029    +0.0017       -0.0046
light-solid__capsule-button__rest          1   +0.0015    +0.0026       -0.0011
light-solid__toolbar-group__rest           1   -0.0052    +0.0017       -0.0069
light-solid__toolbar-group-wide__rest      1   -0.0031    +0.0017       -0.0048
checkerboard__glass-over-glass__rest       1   -0.0043    -0.0086       +0.0042
checkerboard__stack-base__rest             1   +0.0002    +0.0004       -0.0002
checkerboard__stack-over__rest             1   +0.0043    +0.0045       -0.0001
photo__glass-over-glass__rest              1   -0.0119    -0.0159       +0.0040
photo__stack-base__rest                    1   -0.0049    -0.0048       -0.0001
photo__stack-over__rest                    1   +0.0054    +0.0055       -0.0001
checkerboard__capsule-sm__rest             2   +0.0026    +0.0045       -0.0020
checkerboard__capsule-button__rest         2   +0.0094    +0.0101       -0.0007
checkerboard__toolbar-group__rest          2   -0.0040    +0.0044       -0.0084
checkerboard__toolbar-group-wide__rest     2   +0.0022    +0.0042       -0.0020
photo__capsule-sm__rest                    2   +0.0017    +0.0024       -0.0007
photo__capsule-button__rest                2   +0.0015    +0.0018       -0.0004
photo__toolbar-group__rest                 2   -0.0101    -0.0043       -0.0058
photo__toolbar-group-wide__rest            2   -0.0038    -0.0028       -0.0010
light-solid__capsule-sm__rest              2   +0.0019    +0.0028       -0.0010
light-solid__capsule-button__rest          2   +0.0022    +0.0026       -0.0004
light-solid__toolbar-group__rest           2   -0.0006    +0.0028       -0.0034
light-solid__toolbar-group-wide__rest      2   +0.0018    +0.0028       -0.0010
checkerboard__glass-over-glass__rest       2   -0.0013    -0.0046       +0.0033
checkerboard__stack-base__rest             2   +0.0043    +0.0044       -0.0001
checkerboard__stack-over__rest             2   +0.0080    +0.0081       -0.0001
photo__glass-over-glass__rest              2   -0.0126    -0.0160       +0.0035
photo__stack-base__rest                    2   -0.0049    -0.0048       -0.0001
photo__stack-over__rest                    2   +0.0050    +0.0050       -0.0000
