=== dpr 1: CSS minus GPU per annulus, per surface (declared shape) ===
scene                                    surface     0.00-0.40  0.40-0.70  0.70-0.88  0.88-1.00
checkerboard__capsule-sm__rest           item-0        -0.0032    -0.0066    -0.0059    -0.0146
checkerboard__capsule-button__rest       item-0        +0.0038    +0.0013    +0.0020    -0.0154
checkerboard__toolbar-group__rest        item-0        -0.0038    -0.0086    -0.0043    +0.0149
checkerboard__toolbar-group__rest        item-1        -0.0077    -0.0141    -0.0163    -0.0276
checkerboard__toolbar-group__rest        item-2        -0.0054    -0.0079    -0.0150    -0.0472
checkerboard__toolbar-group-wide__rest   item-0        -0.0030    +0.0018    +0.0131    +0.0029
checkerboard__toolbar-group-wide__rest   item-1        -0.0032    -0.0066    -0.0059    -0.0146
checkerboard__toolbar-group-wide__rest   item-2        -0.0032    -0.0116    -0.0244    -0.0201
photo__capsule-sm__rest                  item-0        -0.0041    -0.0066    -0.0065    -0.0074
photo__capsule-button__rest              item-0        +0.0053    +0.0025    +0.0015    -0.0142
photo__toolbar-group__rest               item-0        -0.0041    -0.0100    -0.0163    -0.0289
photo__toolbar-group__rest               item-1        -0.0066    -0.0119    -0.0139    -0.0170
photo__toolbar-group__rest               item-2        -0.0071    -0.0121    -0.0172    -0.0303
photo__toolbar-group-wide__rest          item-0        -0.0032    -0.0061    -0.0066    -0.0084
photo__toolbar-group-wide__rest          item-1        -0.0041    -0.0066    -0.0065    -0.0073
photo__toolbar-group-wide__rest          item-2        -0.0097    -0.0148    -0.0168    -0.0286
light-solid__capsule-sm__rest            item-0        -0.0053    -0.0068    -0.0003    +0.0008
light-solid__capsule-button__rest        item-0        +0.0005    -0.0003    +0.0055    +0.0015
light-solid__toolbar-group__rest         item-0        -0.0054    -0.0089    -0.0036    -0.0046
light-solid__toolbar-group__rest         item-1        -0.0076    -0.0089    -0.0036    -0.0052
light-solid__toolbar-group__rest         item-2        -0.0075    -0.0068    -0.0003    +0.0001
light-solid__toolbar-group-wide__rest    item-0        -0.0053    -0.0068    -0.0003    +0.0008
light-solid__toolbar-group-wide__rest    item-1        -0.0067    -0.0068    -0.0003    +0.0008
light-solid__toolbar-group-wide__rest    item-2        -0.0067    -0.0068    -0.0003    +0.0008

=== dpr 2: CSS minus GPU per annulus, per surface (declared shape) ===
scene                                    surface     0.00-0.40  0.40-0.70  0.70-0.88  0.88-1.00
checkerboard__capsule-sm__rest           item-0        +0.0090    +0.0073    +0.0020    -0.0081
checkerboard__capsule-button__rest       item-0        +0.0138    +0.0128    +0.0121    -0.0114
checkerboard__toolbar-group__rest        item-0        +0.0041    +0.0100    +0.0147    +0.0128
checkerboard__toolbar-group__rest        item-1        +0.0046    -0.0005    -0.0093    -0.0224
checkerboard__toolbar-group__rest        item-2        +0.0091    -0.0032    -0.0220    -0.0443
checkerboard__toolbar-group-wide__rest   item-0        +0.0055    +0.0166    +0.0259    -0.0003
checkerboard__toolbar-group-wide__rest   item-1        +0.0090    +0.0073    +0.0020    -0.0081
checkerboard__toolbar-group-wide__rest   item-2        +0.0111    -0.0024    -0.0224    -0.0193
photo__capsule-sm__rest                  item-0        +0.0086    +0.0079    +0.0011    -0.0117
photo__capsule-button__rest              item-0        +0.0070    +0.0059    +0.0032    -0.0225
photo__toolbar-group__rest               item-0        +0.0080    +0.0023    -0.0134    -0.0374
photo__toolbar-group__rest               item-1        +0.0064    +0.0024    -0.0065    -0.0213
photo__toolbar-group__rest               item-2        +0.0006    -0.0037    -0.0175    -0.0406
photo__toolbar-group-wide__rest          item-0        +0.0097    +0.0083    -0.0002    -0.0143
photo__toolbar-group-wide__rest          item-1        +0.0086    +0.0079    +0.0011    -0.0117
photo__toolbar-group-wide__rest          item-2        -0.0015    -0.0053    -0.0142    -0.0358
light-solid__capsule-sm__rest            item-0        +0.0013    +0.0019    +0.0033    +0.0003
light-solid__capsule-button__rest        item-0        +0.0006    +0.0021    +0.0066    -0.0005
light-solid__toolbar-group__rest         item-0        +0.0012    -0.0001    -0.0000    -0.0050
light-solid__toolbar-group__rest         item-1        +0.0012    -0.0008    -0.0007    -0.0070
light-solid__toolbar-group__rest         item-2        +0.0012    +0.0012    +0.0026    -0.0017
light-solid__toolbar-group-wide__rest    item-0        +0.0013    +0.0019    +0.0033    +0.0003
light-solid__toolbar-group-wide__rest    item-1        +0.0013    +0.0019    +0.0033    +0.0001
light-solid__toolbar-group-wide__rest    item-2        +0.0013    +0.0019    +0.0033    +0.0001

