=== dpr 1: CSS − GPU, and what each decline moves it by ===
scene                                      default   all-dec     whole      lens       rim highlight      lift inner-shadow       sum  sum-whole  outerShad
checkerboard__capsule-sm__rest             -0.0077   -0.0189   +0.0113   -0.0000   +0.0081   +0.0018   +0.0000   +0.0011   +0.0110   -0.00026    -0.0032
checkerboard__capsule-button__rest         -0.0005   -0.0085   +0.0080   +0.0002   +0.0058   +0.0015   +0.0000   +0.0016   +0.0090   +0.00098    -0.0011
checkerboard__toolbar-group__rest          -0.0122   -0.0236   +0.0114   -0.0000   +0.0080   +0.0024   +0.0000   +0.0012   +0.0116   +0.00023    -0.0096
checkerboard__toolbar-group-wide__rest     -0.0063   -0.0170   +0.0106   -0.0001   +0.0075   +0.0021   +0.0000   +0.0011   +0.0105   -0.00011    -0.0033
photo__capsule-sm__rest                    -0.0063   -0.0209   +0.0146   +0.0023   +0.0089   +0.0022   +0.0000   +0.0009   +0.0142   -0.00033    -0.0012
photo__capsule-button__rest                +0.0004   -0.0071   +0.0075   +0.0000   +0.0050   +0.0009   +0.0000   +0.0015   +0.0074   -0.00009    -0.0007
photo__toolbar-group__rest                 -0.0150   -0.0245   +0.0095   -0.0025   +0.0087   +0.0022   +0.0000   +0.0008   +0.0093   -0.00018    -0.0064
photo__toolbar-group-wide__rest            -0.0101   -0.0220   +0.0119   -0.0001   +0.0086   +0.0023   +0.0000   +0.0009   +0.0116   -0.00026    -0.0017
light-solid__capsule-sm__rest              -0.0029   -0.0084   +0.0055   +0.0000   +0.0007   +0.0005   +0.0000   +0.0047   +0.0058   +0.00030    -0.0046
light-solid__capsule-button__rest          +0.0015   -0.0076   +0.0091   +0.0000   +0.0057   +0.0063   +0.0000   +0.0030   +0.0150   +0.00593    -0.0011
light-solid__toolbar-group__rest           -0.0052   -0.0112   +0.0061   +0.0000   +0.0007   +0.0003   +0.0000   +0.0046   +0.0056   -0.00052    -0.0069
light-solid__toolbar-group-wide__rest      -0.0031   -0.0084   +0.0054   +0.0000   +0.0005   +0.0003   +0.0000   +0.0046   +0.0054   +0.00005    -0.0048

=== dpr 2: CSS − GPU, and what each decline moves it by ===
scene                                      default   all-dec     whole      lens       rim highlight      lift inner-shadow       sum  sum-whole  outerShad
checkerboard__capsule-sm__rest             +0.0026   -0.0018   +0.0044   -0.0001   +0.0087   +0.0017   +0.0000   -0.0077   +0.0026   -0.00178    -0.0020
checkerboard__capsule-button__rest         +0.0094   +0.0041   +0.0053   -0.0002   +0.0051   +0.0012   +0.0000   +0.0008   +0.0069   +0.00163    -0.0007
checkerboard__toolbar-group__rest          -0.0040   -0.0079   +0.0039   -0.0002   +0.0084   +0.0018   +0.0000   -0.0073   +0.0028   -0.00110    -0.0084
checkerboard__toolbar-group-wide__rest     +0.0022   -0.0012   +0.0033   -0.0003   +0.0080   +0.0016   +0.0000   -0.0077   +0.0016   -0.00172    -0.0020
photo__capsule-sm__rest                    +0.0017   -0.0138   +0.0154   +0.0024   +0.0097   +0.0025   +0.0000   +0.0009   +0.0155   +0.00006    -0.0007
photo__capsule-button__rest                +0.0015   -0.0059   +0.0074   +0.0002   +0.0051   +0.0008   +0.0000   +0.0014   +0.0076   +0.00016    -0.0004
photo__toolbar-group__rest                 -0.0101   -0.0200   +0.0099   -0.0028   +0.0095   +0.0025   +0.0000   +0.0009   +0.0101   +0.00017    -0.0058
photo__toolbar-group-wide__rest            -0.0038   -0.0164   +0.0126   +0.0001   +0.0091   +0.0026   +0.0000   +0.0009   +0.0127   +0.00010    -0.0010
light-solid__capsule-sm__rest              +0.0019   -0.0089   +0.0108   +0.0000   +0.0060   +0.0007   +0.0000   +0.0045   +0.0112   +0.00040    -0.0010
light-solid__capsule-button__rest          +0.0022   -0.0079   +0.0101   +0.0000   +0.0066   +0.0072   +0.0000   +0.0029   +0.0166   +0.00652    -0.0004
light-solid__toolbar-group__rest           -0.0006   -0.0114   +0.0108   +0.0000   +0.0056   +0.0013   +0.0000   +0.0042   +0.0112   +0.00041    -0.0034
light-solid__toolbar-group-wide__rest      +0.0018   -0.0089   +0.0108   +0.0000   +0.0059   +0.0007   +0.0000   +0.0045   +0.0112   +0.00038    -0.0010

