=== dpr 1: the three-up at eight gaps (declared region) ===
background     gap      GPU      CSS   CSS-GPU
light-solid     12   0.9701   0.9649   -0.0052
light-solid     16   0.9701   0.9660   -0.0041
light-solid     20   0.9701   0.9665   -0.0036
light-solid     24   0.9701   0.9668   -0.0033
light-solid     28   0.9701   0.9670   -0.0031
light-solid     32   0.9701   0.9670   -0.0031
light-solid     40   0.9701   0.9670   -0.0031
light-solid     56   0.9701   0.9670   -0.0031
checkerboard    12   0.6763   0.6641   -0.0122
checkerboard    16   0.6762   0.6651   -0.0111
checkerboard    20   0.6764   0.6668   -0.0096
checkerboard    24   0.6762   0.6680   -0.0082
checkerboard    28   0.6763   0.6701   -0.0062
checkerboard    32   0.6762   0.6697   -0.0064
checkerboard    40   0.6762   0.6698   -0.0063
checkerboard    56   0.6762   0.6688   -0.0074
photo           12   0.6363   0.6213   -0.0150
photo           16   0.6391   0.6250   -0.0140
photo           20   0.6407   0.6275   -0.0132
photo           24   0.6411   0.6287   -0.0124
photo           28   0.6409   0.6291   -0.0118
photo           32   0.6403   0.6288   -0.0115
photo           40   0.6374   0.6272   -0.0101
photo           56   0.6330   0.6260   -0.0070

=== dpr 2: the three-up at eight gaps (declared region) ===
background     gap      GPU      CSS   CSS-GPU
light-solid     12   0.9702   0.9696   -0.0006
light-solid     16   0.9702   0.9709   +0.0006
light-solid     20   0.9702   0.9715   +0.0013
light-solid     24   0.9702   0.9719   +0.0017
light-solid     28   0.9702   0.9720   +0.0018
light-solid     32   0.9702   0.9721   +0.0018
light-solid     40   0.9702   0.9721   +0.0018
light-solid     56   0.9702   0.9721   +0.0018
checkerboard    12   0.6821   0.6781   -0.0040
checkerboard    16   0.6821   0.6810   -0.0011
checkerboard    20   0.6822   0.6827   +0.0005
checkerboard    24   0.6821   0.6839   +0.0018
checkerboard    28   0.6821   0.6842   +0.0021
checkerboard    32   0.6821   0.6841   +0.0021
checkerboard    40   0.6821   0.6842   +0.0022
checkerboard    56   0.6821   0.6848   +0.0027
photo           12   0.6374   0.6273   -0.0101
photo           16   0.6402   0.6310   -0.0092
photo           20   0.6417   0.6331   -0.0086
photo           24   0.6420   0.6343   -0.0077
photo           28   0.6414   0.6345   -0.0069
photo           32   0.6403   0.6342   -0.0061
photo           40   0.6362   0.6324   -0.0038
photo           56   0.6298   0.6305   +0.0007

