== apple-macos-26.5-1x-dark-standard
scene                                           body nat  body web  sd nat  sd web | rim peak nat T/B/L/R | rim peak web T/B/L/R
dark-solid__capsule-button__rest                  0.0110    0.0117  0.0007  0.0000 | 0.025 0.025 0.016 0.016 | 0.012 0.012 0.012 0.012
checkerboard__capsule-button__rest                0.1059    0.0640  0.0515  0.0158 | 0.300 0.304 0.589 0.248 | 0.356 0.240 0.634 0.242
photo__capsule-button__rest                       0.0961    0.0551  0.0172  0.0089 | 0.191 0.236 0.186 0.394 | 0.260 0.193 0.231 0.368
dark-solid__rrect-md__rest                        0.0153    0.0482  0.0001  0.0008 | 0.034 0.034 0.030 0.030 | 0.224 0.102 0.233 0.085
checkerboard__rrect-md__rest                      0.0468    0.0628  0.0166  0.0056 | 0.184 0.170 0.238 0.213 | 0.338 0.203 0.413 0.236
photo__rrect-md__rest                             0.0466    0.0547  0.0105  0.0027 | 0.111 0.124 0.125 0.190 | 0.258 0.144 0.297 0.181
impulse__capsule-button__rest                     0.0066    0.0037  0.0008  0.0001 | 0.014 0.014 0.004 0.004 | 0.003 0.003 0.002 0.002
photo__rrect-lg__rest                             0.0454    0.0555  0.0132  0.0086 | 0.105 0.118 0.117 0.192 | 0.255 0.140 0.276 0.166
mid-dark-solid__capsule-button__rest              0.0285    0.0500  0.0019  0.0060 | 0.067 0.067 0.062 0.062 | 0.223 0.110 0.132 0.077
dark-solid__capsule-button__rest-tint-orange      0.4243    0.4272  0.0075  0.0090 | 0.345 0.345 0.204 0.204 | 0.343 0.343 0.197 0.197
checkerboard__capsule-button__rest-tint-orange    0.4343    0.4276  0.0072  0.0112 | 0.519 0.516 0.648 0.304 | 0.574 0.482 0.683 0.315
photo__capsule-button__rest-tint-orange           0.4343    0.4276  0.0054  0.0032 | 0.424 0.472 0.297 0.442 | 0.485 0.443 0.302 0.436
== apple-macos-26.5-2x-dark-standard
scene                                           body nat  body web  sd nat  sd web | rim peak nat T/B/L/R | rim peak web T/B/L/R
dark-solid__capsule-button__rest                  0.0110    0.0117  0.0009  0.0000 | 0.028 0.028 0.016 0.016 | 0.012 0.012 0.012 0.012
checkerboard__capsule-button__rest                0.1074    0.0638  0.0567  0.0170 | 0.333 0.339 0.596 0.293 | 0.448 0.277 0.651 0.280
photo__capsule-button__rest                       0.0966    0.0551  0.0181  0.0097 | 0.206 0.253 0.187 0.412 | 0.345 0.224 0.239 0.391
dark-solid__rrect-md__rest                        0.0153    0.0483  0.0003  0.0013 | 0.039 0.039 0.032 0.032 | 0.314 0.133 0.337 0.105
checkerboard__rrect-md__rest                      0.0475    0.0627  0.0192  0.0062 | 0.209 0.196 0.278 0.230 | 0.438 0.244 0.548 0.257
photo__rrect-md__rest                             0.0470    0.0548  0.0109  0.0031 | 0.129 0.140 0.135 0.220 | 0.348 0.178 0.403 0.216
impulse__capsule-button__rest                     0.0067    0.0033  0.0015  0.0001 | 0.016 0.015 0.006 0.006 | 0.003 0.003 0.002 0.002
photo__rrect-lg__rest                             0.0455    0.0556  0.0134  0.0090 | 0.120 0.134 0.135 0.212 | 0.345 0.172 0.376 0.192
mid-dark-solid__capsule-button__rest              0.0285    0.0500  0.0021  0.0070 | 0.074 0.073 0.062 0.062 | 0.304 0.138 0.133 0.077
dark-solid__capsule-button__rest-tint-orange      0.4243    0.4273  0.0093  0.0090 | 0.362 0.362 0.216 0.216 | 0.348 0.348 0.210 0.210
checkerboard__capsule-button__rest-tint-orange    0.4345    0.4277  0.0097  0.0116 | 0.537 0.534 0.669 0.321 | 0.642 0.505 0.695 0.334
photo__capsule-button__rest-tint-orange           0.4344    0.4276  0.0069  0.0058 | 0.425 0.474 0.304 0.454 | 0.545 0.459 0.307 0.439
