W21 G0 table 2b — the endpoint diagnostic in the dark scheme (claims 5.33's shape)

web0 = the shipped dark document (backdropToneResponseStrength 0).
web1 = the same document at strength 1, on the LIGHT reference's anchors.
s = (reference - web0) / (web1 - web0), the strength the reference would require of the
law as it stands. |web1 - web0| below 0.002 leaves s undefined and is printed as '-':
the two endpoints coincide there and the law has no authority at that input at all.

  encIn scene                                               web0      web1  reference         s
 0.0030 impulse__capsule-button__rest                     0.0037    0.0037     0.0066         -
 0.1104 dark-solid__rrect-md__rest                        0.0482    0.4955     0.0153    -0.074
 0.1104 dark-solid__capsule-button__rest                  0.0117    0.0117     0.0110         -
 0.1104 dark-solid__capsule-button__rest-tint-orange      0.4272    0.4272     0.4243         -
 0.4860 photo__rrect-md__rest                             0.0547    0.6539     0.0466    -0.014
 0.4935 photo__capsule-button__rest                       0.0551    0.6140     0.0961     0.073
 0.4935 photo__capsule-button__rest-tint-orange           0.4276    0.4276     0.4343         -
 0.5000 checkerboard__capsule-button__rest                0.0640    0.6747     0.1059     0.069
 0.5000 checkerboard__rrect-md__rest                      0.0628    0.6931     0.0468    -0.025
 0.5000 checkerboard__capsule-button__rest-tint-orange    0.4276    0.4276     0.4343         -

cells inside [0, 1]: 2; outside: 3; span degenerate: 5
