W21 G0 table 2b — the endpoint diagnostic in the dark scheme (claims 5.33's shape)

web0 = the shipped dark document (backdropToneResponseStrength 0).
web1 = the same document at strength 1, on the LIGHT reference's anchors.
s = (reference - web0) / (web1 - web0), the strength the reference would require of the
law as it stands. |web1 - web0| below 0.002 leaves s undefined and is printed as '-':
the two endpoints coincide there and the law has no authority at that input at all.

  encIn scene                                               web0      web1  reference         s
 0.1104 dark-solid__rrect-sm__rest                        0.0117    0.0117     0.0110         -
 0.1104 dark-solid__rrect-md__rest                        0.0482    0.4955     0.0153    -0.074
 0.1104 dark-solid__rrect-lg__rest                        0.0483    0.4945     0.0110    -0.083
 0.2706 mid-dark-solid__rrect-lg__rest                    0.0499    0.5742     0.0223    -0.053
 0.2706 mid-dark-solid__rrect-sm__rest                    0.0497    0.4564     0.0284    -0.052
 0.2706 mid-dark-solid__rrect-md__rest                    0.0497    0.5748     0.0252    -0.047
 0.4445 photo__rrect-sm__rest                             0.0534    0.6119     0.0820     0.051
 0.4667 checkerboard-64__rrect-md__rest                   0.0613    0.6780     0.0482    -0.021
 0.4860 photo__rrect-md__rest                             0.0547    0.6539     0.0466    -0.014
 0.5000 checkerboard-4__capsule-button__rest              0.0642    0.6732     0.0998     0.058
 0.5000 checkerboard-4__rrect-md__rest                    0.0627    0.6930     0.0451    -0.028
 0.5000 checkerboard__capsule-button__rest                0.0640    0.6747     0.1059     0.069
 0.5000 checkerboard__rrect-md__rest                      0.0628    0.6931     0.0468    -0.025
 0.5000 checkerboard-32__capsule-button__rest             0.0639    0.6753     0.1124     0.079
 0.5000 checkerboard-32__rrect-md__rest                   0.0627    0.6931     0.0496    -0.021
 0.5000 checkerboard-4__capsule-button__rest-tint-orange    0.4276    0.4276     0.4339         -
 0.5000 checkerboard__capsule-button__rest-tint-orange    0.4276    0.4276     0.4343         -
 0.5000 checkerboard-32__capsule-button__rest-tint-orange    0.4276    0.4276     0.4343         -
 0.5000 checkerboard-4__rrect-sm__rest                    0.0638    0.6731     0.0994     0.058
 0.5000 checkerboard-4__rrect-ml__rest                    0.0632    0.6930     0.0458    -0.028
 0.5000 checkerboard-4__rrect-lg__rest                    0.0642    0.6926     0.0468    -0.028
 0.5000 checkerboard__rrect-sm__rest                      0.0635    0.6746     0.1070     0.071
 0.5000 checkerboard__rrect-ml__rest                      0.0632    0.6933     0.0468    -0.026
 0.5000 checkerboard__rrect-lg__rest                      0.0641    0.6931     0.0474    -0.027
 0.5000 checkerboard-32__rrect-sm__rest                   0.0634    0.6746     0.1114     0.078
 0.5000 checkerboard-32__rrect-ml__rest                   0.0634    0.6931     0.0503    -0.021
 0.5000 checkerboard-32__rrect-lg__rest                   0.0641    0.6928     0.0508    -0.021
 0.5000 checkerboard-64__rrect-ml__rest                   0.0621    0.6778     0.0505    -0.019
 0.5000 hc-text__rrect-sm__rest                           0.0679    0.8288     0.1250     0.075
 0.5333 checkerboard-64__capsule-button__rest             0.0663    0.6550     0.1317     0.111
 0.5333 checkerboard-64__capsule-button__rest-tint-orange    0.4273    0.4273     0.4354         -
 0.6082 hc-text__rrect-md__rest                           0.0652    0.8178     0.0574    -0.010
 0.6129 hc-text-7__rrect-md__rest                         0.0659    0.8232     0.0587    -0.010
 0.6250 hc-text-28__rrect-sm__rest                        0.0618    0.8372     0.1163     0.070
 0.6260 hc-text-7__rrect-sm__rest                         0.0666    0.8337     0.1161     0.065
 0.6797 hc-text-28__rrect-md__rest                        0.0642    0.8292     0.0556    -0.011
 0.6843 hc-text-7__rrect-lg__rest                         0.0700    0.8248     0.0802     0.013
 0.7000 hc-text__rrect-lg__rest                           0.0697    0.8201     0.0804     0.014
 0.7000 checkerboard-lc16__rrect-md__rest                 0.0627    0.8006     0.0657     0.004
 0.7000 checkerboard-lc16__rrect-sm__rest                 0.0635    0.8064     0.1253     0.083
 0.7000 checkerboard-lc16__capsule-button__rest           0.0637    0.8066     0.1256     0.083
 0.7000 checkerboard-lc16__rrect-ml__rest                 0.0634    0.8006     0.0680     0.006
 0.9505 light-solid__rrect-sm__rest                       0.0744    0.9734     0.9666     0.992
 0.9505 light-solid__rrect-md__rest                       0.0742    0.9360     0.0960     0.025
 0.9505 light-solid__rrect-lg__rest                       0.0767    0.9367     0.1052     0.033
 1.0000 checkerboard-64__rrect-sm__rest                   0.0773    0.6654     0.1611     0.143

cells inside [0, 1]: 21; outside: 20; span degenerate: 5
