W21 G0 table 4 — the rim peak per side, against backdrop and size

Sides are top / bottom / left / right, each the largest row (top, bottom) or column
(left, right) mean inside the declared box's outer 3 CSS px. `excess` is the peak
minus the cell's own body level — over a solid backdrop that is the rim's whole
amplitude, because the band carries no backdrop structure. `flat` is max side minus
min side: the wave's clause 4 asks vitrea to reproduce it within 0.03.

scene                                              body |     top  bottom    left   right |  excess   flat   sigma |                       web0 T/B/L/R   flat |                       web1 T/B/L/R   flat |                  candidate T/B/L/R   flat |        candidate-footprint T/B/L/R   flat
checkerboard-32__capsule-button__rest            0.1124 |   0.297   0.294   0.398   0.443 |   0.331  0.149  0.0000 |   0.356   0.239   0.451   0.425   0.212 |   0.776   0.660   0.571   0.577   0.205 |   0.464   0.349   0.478   0.459   0.128 |   0.357   0.242   0.452   0.426   0.210
checkerboard-32__rrect-lg__rest                  0.0508 |   0.186   0.169   0.264   0.202 |   0.214  0.096  0.0000 |   0.339   0.208   0.447   0.221   0.239 |   0.810   0.679   0.728   0.579   0.230 |   0.327   0.196   0.437   0.211   0.241 |   0.327   0.196   0.437   0.211   0.241
checkerboard-32__rrect-md__rest                  0.0496 |   0.185   0.176   0.171   0.281 |   0.232  0.110  0.0000 |   0.338   0.203   0.344   0.307   0.141 |   0.814   0.681   0.639   0.701   0.175 |   0.326   0.191   0.333   0.296   0.142 |   0.326   0.191   0.333   0.296   0.142
checkerboard-32__rrect-ml__rest                  0.0503 |   0.186   0.172   0.214   0.254 |   0.204  0.082  0.0000 |   0.339   0.205   0.381   0.282   0.176 |   0.814   0.681   0.672   0.654   0.160 |   0.328   0.193   0.371   0.273   0.179 |   0.328   0.193   0.371   0.273   0.179
checkerboard-32__rrect-sm__rest                  0.1114 |   0.271   0.252   0.356   0.250 |   0.245  0.106  0.0000 |   0.338   0.199   0.415   0.256   0.215 |   0.820   0.688   0.710   0.640   0.180 |   0.467   0.331   0.508   0.358   0.177 |   0.342   0.203   0.417   0.258   0.215
checkerboard-4__capsule-button__rest             0.0998 |   0.295   0.291   0.422   0.422 |   0.322  0.130  0.0000 |   0.357   0.240   0.464   0.412   0.224 |   0.775   0.661   0.578   0.570   0.206 |   0.467   0.349   0.492   0.443   0.143 |   0.360   0.242   0.465   0.413   0.223
checkerboard-4__rrect-lg__rest                   0.0468 |   0.185   0.171   0.236   0.237 |   0.190  0.066  0.0000 |   0.340   0.207   0.401   0.264   0.194 |   0.809   0.676   0.683   0.621   0.188 |   0.328   0.195   0.392   0.254   0.197 |   0.328   0.195   0.392   0.254   0.197
checkerboard-4__rrect-md__rest                   0.0451 |   0.179   0.170   0.225   0.227 |   0.181  0.056  0.0000 |   0.337   0.203   0.397   0.251   0.194 |   0.814   0.680   0.699   0.636   0.178 |   0.325   0.191   0.387   0.241   0.197 |   0.325   0.191   0.387   0.241   0.197
checkerboard-4__rrect-ml__rest                   0.0458 |   0.180   0.168   0.229   0.231 |   0.185  0.063  0.0000 |   0.338   0.205   0.401   0.261   0.195 |   0.814   0.682   0.691   0.630   0.184 |   0.326   0.193   0.391   0.251   0.198 |   0.326   0.193   0.391   0.251   0.198
checkerboard-4__rrect-sm__rest                   0.0994 |   0.252   0.251   0.302   0.303 |   0.204  0.052  0.0000 |   0.338   0.200   0.409   0.259   0.209 |   0.818   0.689   0.708   0.644   0.174 |   0.467   0.332   0.505   0.362   0.173 |   0.341   0.203   0.413   0.262   0.210
checkerboard-64__capsule-button__rest            0.1317 |   0.217   0.216   0.017   0.017 |   0.085  0.200  0.0000 |   0.215   0.105   0.078   0.029   0.186 |   0.617   0.522   0.297   0.287   0.330 |   0.299   0.188   0.097   0.083   0.216 |   0.215   0.104   0.078   0.029   0.186
checkerboard-64__rrect-md__rest                  0.0482 |   0.314   0.294   0.319   0.313 |   0.271  0.025  0.0000 |   0.449   0.302   0.504   0.356   0.201 |   0.922   0.780   0.799   0.727   0.195 |   0.434   0.288   0.490   0.344   0.202 |   0.434   0.288   0.490   0.344   0.202
checkerboard-64__rrect-ml__rest                  0.0505 |   0.162   0.143   0.039   0.041 |   0.111  0.123  0.0000 |   0.313   0.176   0.223   0.080   0.232 |   0.783   0.651   0.505   0.493   0.289 |   0.298   0.162   0.212   0.070   0.228 |   0.298   0.162   0.212   0.070   0.228
checkerboard-64__rrect-sm__rest                  0.1611 |   0.433   0.430   0.525   0.525 |   0.364  0.095  0.0000 |   0.439   0.296   0.589   0.438   0.293 |   0.914   0.780   0.886   0.827   0.133 |   0.542   0.400   0.665   0.524   0.265 |   0.438   0.295   0.589   0.438   0.293
checkerboard-lc16__capsule-button__rest          0.1256 |   0.336   0.333   0.536   0.346 |   0.410  0.203  0.0000 |   0.360   0.242   0.570   0.321   0.328 |   0.854   0.759   0.744   0.532   0.322 |   0.690   0.573   0.643   0.418   0.272 |   0.390   0.273   0.578   0.330   0.305
checkerboard-lc16__rrect-md__rest                0.0657 |   0.217   0.207   0.268   0.255 |   0.202  0.061  0.0000 |   0.343   0.206   0.413   0.250   0.207 |   0.884   0.770   0.761   0.740   0.145 |   0.348   0.213   0.417   0.254   0.204 |   0.348   0.213   0.417   0.254   0.204
checkerboard-lc16__rrect-ml__rest                0.0680 |   0.217   0.209   0.255   0.283 |   0.215  0.074  0.0000 |   0.343   0.209   0.397   0.280   0.188 |   0.884   0.770   0.730   0.715   0.169 |   0.349   0.215   0.401   0.284   0.186 |   0.349   0.215   0.401   0.284   0.186
checkerboard-lc16__rrect-sm__rest                0.1253 |   0.295   0.290   0.412   0.258 |   0.286  0.154  0.0000 |   0.343   0.204   0.489   0.198   0.291 |   0.911   0.805   0.846   0.722   0.190 |   0.736   0.600   0.740   0.510   0.230 |   0.380   0.241   0.519   0.227   0.291
checkerboard__capsule-button__rest               0.1059 |   0.300   0.304   0.589   0.248 |   0.483  0.341  0.0000 |   0.356   0.240   0.634   0.242   0.394 |   0.776   0.661   0.759   0.389   0.387 |   0.464   0.350   0.660   0.276   0.383 |   0.357   0.242   0.634   0.243   0.392
checkerboard__rrect-lg__rest                     0.0474 |   0.183   0.173   0.226   0.251 |   0.203  0.078  0.0000 |   0.339   0.207   0.402   0.265   0.195 |   0.807   0.678   0.679   0.633   0.174 |   0.327   0.195   0.392   0.255   0.197 |   0.327   0.195   0.392   0.255   0.197
checkerboard__rrect-md__rest                     0.0468 |   0.184   0.170   0.238   0.213 |   0.192  0.068  0.0000 |   0.338   0.203   0.413   0.236   0.210 |   0.812   0.681   0.719   0.669   0.143 |   0.326   0.190   0.403   0.226   0.213 |   0.326   0.190   0.403   0.226   0.213
checkerboard__rrect-ml__rest                     0.0468 |   0.179   0.169   0.207   0.258 |   0.211  0.089  0.0000 |   0.338   0.205   0.378   0.283   0.174 |   0.813   0.682   0.669   0.648   0.165 |   0.325   0.193   0.369   0.274   0.176 |   0.325   0.193   0.369   0.274   0.176
checkerboard__rrect-sm__rest                     0.1070 |   0.253   0.247   0.443   0.136 |   0.336  0.308  0.0000 |   0.338   0.200   0.532   0.137   0.395 |   0.820   0.688   0.829   0.573   0.257 |   0.467   0.331   0.627   0.239   0.388 |   0.341   0.203   0.534   0.139   0.395
dark-solid__rrect-lg__rest                       0.0110 |   0.026   0.026   0.022   0.022 |   0.015  0.004  0.0000 |   0.220   0.100   0.217   0.080   0.140 |   0.549   0.427   0.425   0.360   0.188 |   0.195   0.074   0.196   0.061   0.135 |   0.195   0.074   0.196   0.061   0.135
dark-solid__rrect-md__rest                       0.0153 |   0.034   0.034   0.030   0.030 |   0.019  0.004  0.0000 |   0.224   0.102   0.233   0.085   0.147 |   0.558   0.434   0.455   0.388   0.170 |   0.199   0.076   0.209   0.064   0.145 |   0.199   0.076   0.209   0.064   0.145
dark-solid__rrect-sm__rest                       0.0110 |   0.028   0.028   0.024   0.024 |   0.017  0.003  0.0000 |   0.012   0.012   0.012   0.012   0.000 |   0.012   0.012   0.012   0.012   0.000 |   0.012   0.012   0.012   0.012   0.000 |   0.012   0.012   0.012   0.012   0.000
hc-text-28__rrect-md__rest                       0.0556 |   0.271   0.270   0.327   0.392 |   0.337  0.122  0.0000 |   0.442   0.304   0.490   0.397   0.186 |   0.987   0.895   0.841   0.866   0.146 |   0.448   0.311   0.496   0.403   0.185 |   0.448   0.311   0.496   0.403   0.185
hc-text-28__rrect-sm__rest                       0.1163 |   0.349   0.344   0.472   0.474 |   0.358  0.130  0.0000 |   0.418   0.276   0.575   0.425   0.299 |   0.997   0.911   0.954   0.930   0.086 |   0.899   0.764   0.880   0.817   0.135 |   0.460   0.319   0.609   0.460   0.290
hc-text-7__rrect-lg__rest                        0.0802 |   0.354   0.233   0.308   0.496 |   0.416  0.263  0.0000 |   0.456   0.214   0.434   0.465   0.251 |   0.988   0.827   0.764   0.910   0.224 |   0.462   0.219   0.438   0.469   0.250 |   0.462   0.219   0.438   0.469   0.250
hc-text-7__rrect-md__rest                        0.0587 |   0.095   0.286   0.256   0.361 |   0.302  0.265  0.0000 |   0.234   0.303   0.417   0.350   0.183 |   0.766   0.886   0.767   0.821   0.121 |   0.239   0.308   0.421   0.354   0.182 |   0.239   0.308   0.421   0.354   0.182
hc-text-7__rrect-sm__rest                        0.1161 |   0.317   0.219   0.356   0.461 |   0.345  0.242  0.0000 |   0.428   0.162   0.461   0.401   0.299 |   0.997   0.843   0.826   0.902   0.171 |   0.891   0.666   0.739   0.777   0.225 |   0.469   0.205   0.491   0.435   0.287
hc-text__rrect-lg__rest                          0.0804 |   0.355   0.339   0.322   0.493 |   0.412  0.171  0.0000 |   0.456   0.317   0.446   0.464   0.147 |   0.988   0.887   0.775   0.908   0.213 |   0.460   0.321   0.451   0.468   0.146 |   0.460   0.321   0.451   0.468   0.146
hc-text__rrect-md__rest                          0.0574 |   0.304   0.274   0.270   0.364 |   0.306  0.093  0.0000 |   0.450   0.304   0.425   0.351   0.146 |   0.987   0.884   0.774   0.819   0.213 |   0.457   0.309   0.429   0.355   0.148 |   0.457   0.309   0.429   0.355   0.148
hc-text__rrect-sm__rest                          0.1250 |   0.145   0.153   0.187   0.192 |   0.067  0.047  0.0000 |   0.238   0.111   0.302   0.152   0.191 |   0.804   0.766   0.705   0.699   0.104 |   0.666   0.571   0.580   0.526   0.141 |   0.274   0.147   0.332   0.183   0.185
light-solid__rrect-lg__rest                      0.1052 |   0.361   0.340   0.460   0.460 |   0.355  0.120  0.0000 |   0.441   0.300   0.561   0.424   0.260 |   0.967   0.951   0.929   0.927   0.040 |   0.462   0.320   0.576   0.439   0.256 |   0.462   0.320   0.576   0.439   0.256
light-solid__rrect-md__rest                      0.0960 |   0.343   0.331   0.433   0.433 |   0.337  0.103  0.0000 |   0.433   0.290   0.540   0.393   0.250 |   0.969   0.953   0.936   0.934   0.035 |   0.455   0.310   0.557   0.410   0.246 |   0.455   0.310   0.557   0.410   0.246
light-solid__rrect-sm__rest                      0.9666 |   0.980   0.978   0.966   0.966 |   0.014  0.014  0.0000 |   0.418   0.276   0.554   0.402   0.277 |   0.982   0.979   0.961   0.960   0.022 |   0.982   0.978   0.960   0.959   0.023 |   0.490   0.348   0.607   0.460   0.259
mid-dark-solid__rrect-lg__rest                   0.0223 |   0.057   0.056   0.057   0.057 |   0.035  0.001  0.0000 |   0.236   0.113   0.240   0.101   0.139 |   0.620   0.500   0.480   0.427   0.193 |   0.214   0.092   0.223   0.085   0.138 |   0.214   0.092   0.223   0.085   0.138
mid-dark-solid__rrect-md__rest                   0.0252 |   0.062   0.061   0.061   0.061 |   0.037  0.001  0.0000 |   0.240   0.114   0.254   0.105   0.150 |   0.631   0.507   0.510   0.456   0.174 |   0.218   0.093   0.236   0.088   0.148 |   0.218   0.093   0.236   0.088   0.148
mid-dark-solid__rrect-sm__rest                   0.0284 |   0.068   0.068   0.067   0.067 |   0.039  0.001  0.0000 |   0.252   0.120   0.264   0.110   0.154 |   0.572   0.440   0.472   0.399   0.173 |   0.232   0.101   0.249   0.096   0.153 |   0.232   0.101   0.249   0.096   0.153
photo__rrect-lg__rest                            0.0454 |   0.105   0.118   0.117   0.192 |   0.147  0.087  0.0000 |                                  -      - |                                  -      - |                                  -      - |                                  -      -
photo__rrect-md__rest                            0.0466 |   0.111   0.124   0.125   0.190 |   0.144  0.080  0.0000 |   0.258   0.144   0.297   0.181   0.153 |   0.708   0.598   0.585   0.558   0.150 |   0.246   0.132   0.286   0.171   0.154 |   0.246   0.132   0.286   0.171   0.154
photo__rrect-sm__rest                            0.0820 |   0.176   0.190   0.188   0.208 |   0.126  0.033  0.0000 |   0.275   0.155   0.314   0.177   0.158 |   0.718   0.601   0.590   0.557   0.161 |   0.337   0.218   0.363   0.227   0.145 |   0.273   0.154   0.313   0.177   0.159
