
== apple-macos-26.5-1x-dark-standard
scene                            bgLin  bgEnc  k      target nominal alpha  tint   clamp X      gpuBody form     span     cssA_now tintN cssBody_now | cssA_fix tintF cssBody_fix
dark-solid__rrect-md             0.0117 0.1104 0.000 0.0131 0.0464 0.9053 0.0132 no   0.0013 0.0144 encoded  -0.03290       0.8940   30 0.0128  | 0.9082   30 0.0129
checkerboard__rrect-md           0.5000 0.5000 0.000 0.0468 0.0927 0.9053 0.0000 YES  0.0013 0.0486 encoded  -0.15170       0.8388    0 0.0073  | 0.5181    0 0.0473
photo__rrect-md                  0.2141 0.4255 0.000 0.0386 0.0656 0.9053 0.0201 no   0.0013 0.0398 encoded  0.00054 DEGEN 0.9053   39 0.0269  | 0.7649   39 0.0387
photo__rrect-lg                  0.2141 0.4255 0.000 0.0386 0.0656 0.9052 0.0202 no   0.0008 0.0393 encoded  0.00068 DEGEN 0.9052   39 0.0269  | 0.7646   39 0.0387
dark-solid__capsule-button       0.0117 0.1104 1.000 0.0111 0.0462 1.0000 0.0117 no   0.0000 0.0117 encoded  -0.04132       1.0000   28 0.0117  | 1.0000   28 0.0117
checkerboard__capsule-button     0.5000 0.5000 0.000 0.0671 0.0948 0.9008 0.0192 no   0.0024 0.0693 encoded  -0.00369       0.8996   38 0.0284  | 0.6057   38 0.0672
photo__capsule-button            0.2141 0.4255 0.000 0.0531 0.0663 0.9008 0.0352 no   0.0024 0.0554 encoded  0.05503       0.9139   53 0.0420  | 0.7784   53 0.0533
mid-dark-solid__capsule-button   0.0595 0.2706 0.000 0.0283 0.0509 0.9008 0.0248 no   0.0024 0.0306 encoded  0.01920       0.9061   44 0.0277  | 0.8734   44 0.0286
impulse__capsule-button          0.0037 0.0037 1.000 0.0111 0.0454 1.0000 0.0037 no   0.0000 0.0037 encoded  -0.10380       1.0000   12 0.0037  | 1.0000   12 0.0037

== apple-macos-26.5-1x-dark-standard
scene                            bgLin  bgEnc  k      target nominal alpha  tint   clamp X      gpuBody form     span     cssA_now tintN cssBody_now | cssA_fix tintF cssBody_fix
dark-solid__rrect-md             0.0117 0.1104 0.000 0.0131 0.0464 0.9053 0.0132 no   0.0013 0.0144 encoded  -0.03290       0.8940   30 0.0128  | 0.9082   30 0.0129
checkerboard__rrect-md           0.5000 0.5000 0.000 0.0468 0.0927 0.9053 0.0000 YES  0.0013 0.0486 encoded  -0.15170       0.8388    0 0.0073  | 0.5181    0 0.0473
photo__rrect-md                  0.2140 0.4255 0.000 0.0386 0.0656 0.9053 0.0201 no   0.0013 0.0398 encoded  0.00054 DEGEN 0.9053   39 0.0269  | 0.7649   39 0.0387
photo__rrect-lg                  0.2140 0.4255 0.000 0.0386 0.0656 0.9052 0.0202 no   0.0008 0.0393 encoded  0.00068 DEGEN 0.9052   39 0.0269  | 0.7647   39 0.0387
dark-solid__capsule-button       0.0117 0.1104 1.000 0.0111 0.0462 1.0000 0.0117 no   0.0000 0.0117 encoded  -0.04132       1.0000   28 0.0117  | 1.0000   28 0.0117
checkerboard__capsule-button     0.5000 0.5000 0.000 0.0671 0.0948 0.9008 0.0192 no   0.0024 0.0693 encoded  -0.00369       0.8996   38 0.0284  | 0.6057   38 0.0672
photo__capsule-button            0.2140 0.4255 0.000 0.0531 0.0663 0.9008 0.0352 no   0.0024 0.0554 encoded  0.05502       0.9139   53 0.0420  | 0.7785   53 0.0533
mid-dark-solid__capsule-button   0.0595 0.2706 0.000 0.0283 0.0509 0.9008 0.0248 no   0.0024 0.0306 encoded  0.01920       0.9061   44 0.0277  | 0.8734   44 0.0286
impulse__capsule-button          0.0037 0.0037 1.000 0.0111 0.0454 1.0000 0.0037 no   0.0000 0.0037 encoded  -0.10380       1.0000   12 0.0037  | 1.0000   12 0.0037

== apple-macos-26.5-1x-light-standard
scene                            bgLin  bgEnc  k      target nominal alpha  tint   clamp X      gpuBody form     span     cssA_now tintN cssBody_now | cssA_fix tintF cssBody_fix
dark-solid__rrect-md             0.0117 0.1104 0.000 0.4953 0.4930 0.4912 0.9927 no   0.0046 0.4981 linear   0.84507       0.6889  254 0.4778  | 0.7002  254 0.4928
