W22 G0 (d) — every GPU-tier row that moved when the resting sweep was gated

before = the canonical matrix at the 0.10.0 landing (the W21 bed); after = this gate's
scratch matrix, the same profile documents and the same bed, the sweep gone. Only the
cells the gate recaptured appear: the four standard profiles, GPU tier, calibration and
validation. The holdout is not read at this gate (X5).

profile                                scene                                        row                        before      after      delta
apple-macos-26.5-1x-dark-standard      checkerboard__capsule-button__rest           rimPeakLuminanceWeb      0.057212   0.044598  -0.012615
apple-macos-26.5-1x-dark-standard      checkerboard__capsule-button__rest           rimFwhmWeb               0.984318   0.977611  -0.006708
apple-macos-26.5-1x-dark-standard      checkerboard__capsule-button__rest           ssimMean                 0.991675   0.991715  +0.000040
apple-macos-26.5-1x-dark-standard      checkerboard__capsule-button__rest           oklabDeltaEMean          0.005034   0.005045  +0.000012
apple-macos-26.5-1x-dark-standard      checkerboard__capsule-button__rest           interiorMeanWeb          0.070809   0.069963  -0.000846
apple-macos-26.5-1x-dark-standard      checkerboard__capsule-button__rest-tint-orange rimPeakLuminanceWeb      0.021881   0.011587  -0.010294
apple-macos-26.5-1x-dark-standard      checkerboard__capsule-button__rest-tint-orange rimFwhmWeb               0.818807   0.701124  -0.117683
apple-macos-26.5-1x-dark-standard      checkerboard__capsule-button__rest-tint-orange ssimMean                 0.998743   0.998753  +0.000010
apple-macos-26.5-1x-dark-standard      checkerboard__capsule-button__rest-tint-orange oklabDeltaEMean          0.001009   0.001017  +0.000008
apple-macos-26.5-1x-dark-standard      checkerboard__capsule-button__rest-tint-orange interiorMeanWeb          0.428270   0.427580  -0.000690
apple-macos-26.5-1x-dark-standard      checkerboard__glass-over-glass__rest         rimPeakLuminanceWeb      0.014572   0.005531  -0.009041
apple-macos-26.5-1x-dark-standard      checkerboard__glass-over-glass__rest         rimFwhmWeb               1.056747   0.379851  -0.676896
apple-macos-26.5-1x-dark-standard      checkerboard__glass-over-glass__rest         ssimMean                 0.851035   0.867066  +0.016031
apple-macos-26.5-1x-dark-standard      checkerboard__glass-over-glass__rest         oklabDeltaEMean          0.039751   0.031735  -0.008016
apple-macos-26.5-1x-dark-standard      checkerboard__glass-over-glass__rest         interiorMeanWeb          0.047741   0.042079  -0.005662
apple-macos-26.5-1x-dark-standard      checkerboard__glass-over-glass__rest         rimPeakLuminanceWeb      0.041601   0.016489  -0.025112
apple-macos-26.5-1x-dark-standard      checkerboard__glass-over-glass__rest         rimFwhmWeb               0.987588   0.643100  -0.344488
apple-macos-26.5-1x-dark-standard      checkerboard__glass-over-glass__rest         ssimMean                 0.958614   0.980081  +0.021467
apple-macos-26.5-1x-dark-standard      checkerboard__glass-over-glass__rest         oklabDeltaEMean          0.017651   0.009365  -0.008286
apple-macos-26.5-1x-dark-standard      checkerboard__glass-over-glass__rest         interiorMeanWeb          0.049929   0.043918  -0.006012
