W23 finding — the rim read at the contour, per pixel, from the committed fixtures and the captures on hand (2026-09-08).
Columns: native = the committed fixture; rim004 / rim018 = W22 G0's fit captures at specularGain 0 and rimAlpha 0.04 / 0.18 (scratch); landed = the canonical web-captures at the 0.11.0 landing (rimAlpha 0.18, specularGain 0).
Rows are encoded luma (Rec.709 luma of the linearised pixels, re-encoded); y/x = 0 is the declared box's first row/column inside the shape.

== apple-macos-26.5-1x-light-standard dark-solid__rrect-md__rest box=(80,52)-(240,148)  columns: native  rim004  rim018  landed
-- top edge, column mean over x in [cx-10, cx+10], rows y0-4 .. y0+9 (encoded luma)
  y= -4   0.1065   0.1062   0.1062   0.1062
  y= -3   0.1065   0.1025   0.1025   0.1025
  y= -2   0.1065   0.1025   0.1025   0.1025
  y= -1   0.1065   0.1025   0.1025   0.1025
  y= +0   0.8506   0.7373   0.7765   0.7765
  y= +1   0.7336   0.7258   0.7258   0.7258
  y= +2   0.7219   0.7294   0.7294   0.7294
  y= +3   0.7219   0.7294   0.7294   0.7294
  y= +4   0.7219   0.7294   0.7294   0.7294
  y= +5   0.7219   0.7294   0.7294   0.7294
  y= +6   0.7219   0.7294   0.7294   0.7294
  y= +7   0.7219   0.7294   0.7294   0.7294
  y= +8   0.7219   0.7294   0.7294   0.7294
  y= +9   0.7219   0.7294   0.7294   0.7294
-- left edge, row mean over y in [cy-6, cy+6], columns x0-4 .. x0+9
  x= -4   0.1065   0.1022   0.1022   0.1022
  x= -3   0.1065   0.0986   0.0986   0.0986
  x= -2   0.1065   0.0986   0.0986   0.0986
  x= -1   0.1065   0.0986   0.0986   0.0986
  x= +0   0.8507   0.7373   0.7765   0.7765
  x= +1   0.7336   0.7258   0.7258   0.7258
  x= +2   0.7219   0.7294   0.7294   0.7294
  x= +3   0.7219   0.7294   0.7294   0.7294
  x= +4   0.7219   0.7294   0.7294   0.7294
  x= +5   0.7219   0.7294   0.7294   0.7294
  x= +6   0.7219   0.7294   0.7294   0.7294
