== apple-macos-26.5-2x-light-standard / webgpu  fixtures=/Users/new/Developer/GitHub/designer/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w23/g0/ladder/light-levelgain-2x/web-captures
scene                                        set           bodyN   bodyW |                  rim native T/B/L/R |                     rim web T/B/L/R | clipN
light-solid__capsule-button__rest            calibration  0.9666  0.9721 | +0.0292 +0.0292     -       -   | -0.0818 -0.0818     -       -   |  1.00  1.00   -     -  
dark-solid__capsule-button__rest             calibration  0.0110  0.0118 | +0.0204 +0.0204     -       -   | +0.0244 +0.0244     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest           calibration  0.6152  0.6801 | +0.1633 +0.1570     -       -   | -0.0283 -0.0269     -       -   |  0.00  0.00   -     -  
impulse__capsule-button__rest                validation   0.0067  0.0034 | +0.0159 +0.0161     -       -   | +0.0244 +0.0244     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest                  calibration  0.5772  0.6112 | +0.1134 +0.1144     -       -   | -0.0594 -0.0603     -       -   |  0.00  0.00   -     -  
light-solid__rrect-md__rest                  calibration  0.9344  0.9317 | +0.0542 +0.0542 +0.0542 +0.0542 | -0.0715 -0.0678 -0.0715 -0.0678 |  1.00  1.00  1.00  1.00
dark-solid__rrect-md__rest                   calibration  0.4798  0.4955 | +0.2052 +0.2052 +0.2065 +0.2065 | +0.0002 +0.0002 +0.0002 +0.0002 |  0.00  0.00  0.00  0.00
checkerboard__rrect-md__rest                 calibration  0.6800  0.6993 | +0.1417 +0.1414 +0.2248 +0.0633 | -0.0331 -0.0332 +0.2355 -0.3016 |  0.00  0.00  0.00  0.00
impulse__rrect-md__rest                      validation   0.4311  0.4644 | +0.2178 +0.2228 +0.2160 +0.2160 | +0.0046 +0.0148 +0.0041 +0.0041 |  0.00  0.00  0.00  0.00
photo__rrect-md__rest                        calibration  0.6619  0.6563 | +0.0678 +0.0910 +0.1301 +0.2017 | -0.0715 -0.0447 -0.0322 +0.0480 |  0.00  0.00  0.00  0.00
light-solid__rrect-ml__rest                  calibration  0.9325  0.9315 | +0.0553 +0.0553 +0.0553 +0.0553 | -0.0674 -0.0674 -0.0674 -0.0674 |  1.00  1.00  1.00  1.00
checkerboard__rrect-ml__rest                 calibration  0.6902  0.6992 | +0.1416 +0.1408 +0.1476 +0.1357 | -0.0327 -0.0332 +0.1484 -0.2140 |  0.00  0.00  0.00  0.00
photo__rrect-ml__rest                        calibration  0.6709  0.6577 | +0.0622 +0.1002 +0.1251 +0.2743 | -0.0785 -0.0207 -0.0897 +0.2481 |  0.00  0.00  0.00  0.00
checkerboard__rrect-sm__rest                 calibration  0.6163  0.6798 | +0.1606 +0.1523 +0.0417 +0.2791 | -0.0283 -0.0282 -0.1749 +0.1178 |  0.00  0.00  0.00  0.00
photo__rrect-sm__rest                        validation   0.5408  0.5867 | +0.1632 +0.1576 +0.1598 +0.2111 | -0.0143 -0.0206 -0.0033 -0.0063 |  0.00  0.00  0.00  0.00
dark-solid__capsule-button__rest-tint-orange calibration  0.4243  0.4273 | +0.1179 +0.1179     -       -   | +0.0201 +0.0201     -       -   |  0.00  0.00   -     -  
impulse__capsule-button__rest-tint-orange    calibration  0.4243  0.4273 | +0.1178 +0.1182     -       -   | +0.0201 +0.0201     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest-tint-orange calibration  0.3522  0.3682 | +0.1632 +0.1630     -       -   | +0.0244 +0.0251     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest-tint-orange      calibration  0.3442  0.3537 | +0.1579 +0.1577     -       -   | +0.0183 +0.0185     -       -   |  0.00  0.00   -     -  
light-solid__capsule-button__rest-tint-orange calibration  0.4229  0.4277 | +0.1378 +0.1378     -       -   | +0.0112 +0.0112     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest-tint-blue        calibration  0.1909  0.1970 | +0.2131 +0.2131     -       -   | +0.0486 +0.0483     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest-tint-orange-half calibration  0.4306  0.4526 | +0.1504 +0.1513     -       -   | -0.0101 -0.0105     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest-tint-blue validation   0.1954  0.2050 | +0.2168 +0.2172     -       -   | +0.0518 +0.0519     -       -   |  0.00  0.00   -     -  
photo__rrect-md__rest-tint-orange            validation   0.3609  0.3628 | +0.1523 +0.1552 +0.1638 +0.1797 | +0.0160 +0.0217 +0.0243 +0.0401 |  0.00  0.00  0.00  0.00

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/agent-aa0ee5ea92534c3fd/packages/calibration/results/2026-09-08-w23-collapsed-rim/g0/ladder/light-levelgain-2x.json
