== apple-macos-26.5-1x-dark-standard / webgpu  fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-aa0ee5ea92534c3fd/packages/calibration/results/2026-09-06-w21-dark-scheme/probe captures=/Users/new/.claude/jobs/5c70e47f/tmp/w23/g0/probe/probe21-fit/web-captures
scene                                        set           bodyN   bodyW |                  rim native T/B/L/R |                     rim web T/B/L/R | clipN
checkerboard-4__rrect-sm__rest               calibration  0.0994  0.0677 | +0.1033 +0.1033 +0.1032 +0.1032 | +0.0792 +0.0792 +0.0790 +0.0790 |  0.00  0.00  0.00  0.00
checkerboard-4__capsule-button__rest         calibration  0.0998  0.0672 | +0.1014 +0.1014     -       -   | +0.0789 +0.0789     -       -   |  0.00  0.00   -     -  
checkerboard-4__rrect-md__rest               calibration  0.0451  0.0474 | +0.0560 +0.0560 +0.0564 +0.0564 | +0.0591 +0.0591 +0.0587 +0.0588 |  0.00  0.00  0.00  0.00
checkerboard-4__rrect-ml__rest               validation   0.0458  0.0479 | +0.0558 +0.0559 +0.0556 +0.0558 | +0.0580 +0.0580 +0.0578 +0.0578 |  0.00  0.00  0.00  0.00
checkerboard-4__rrect-lg__rest               calibration  0.0468  0.0487 | +0.0547 +0.0548 +0.0546 +0.0545 | +0.0564 +0.0564 +0.0564 +0.0564 |  0.00  0.00  0.00  0.00
checkerboard__rrect-sm__rest                 calibration  0.1070  0.0673 | +0.1013 +0.0923 +0.1136 +0.0932 | +0.0793 +0.0792 +0.0637 +0.0961 |  0.00  0.00  0.00  0.00
checkerboard__capsule-button__rest           calibration  0.1059  0.0674 | +0.0978 +0.1051     -       -   | +0.0771 +0.0775     -       -   |  0.00  0.00   -     -  
checkerboard__rrect-md__rest                 calibration  0.0468  0.0475 | +0.0547 +0.0558 +0.0676 +0.0420 | +0.0587 +0.0583 +0.1304 -0.0137 |  0.00  0.00  0.00  0.00
checkerboard__rrect-ml__rest                 calibration  0.0468  0.0480 | +0.0548 +0.0551 +0.0513 +0.0591 | +0.0577 +0.0580 +0.1073 +0.0089 |  0.00  0.00  0.00  0.00
checkerboard__rrect-lg__rest                 calibration  0.0474  0.0487 | +0.0536 +0.0543 +0.0386 +0.0718 | +0.0559 +0.0558 +0.0735 +0.0379 |  0.00  0.00  0.00  0.00
checkerboard-32__rrect-sm__rest              calibration  0.1114  0.0676 | +0.1129 +0.0874 +0.2565 -0.0504 | +0.0787 +0.0791 +0.1806 -0.0229 |  0.00  0.00  0.00  0.00
checkerboard-32__capsule-button__rest        calibration  0.1124  0.0673 | +0.0974 +0.0891     -       -   | +0.0779 +0.0777     -       -   |  0.00  0.00   -     -  
checkerboard-32__rrect-md__rest              calibration  0.0496  0.0474 | +0.0596 +0.0530 +0.0323 +0.0696 | +0.0589 +0.0588 -0.0184 +0.1358 |  0.00  0.00  0.00  0.00
checkerboard-32__rrect-ml__rest              calibration  0.0503  0.0480 | +0.0559 +0.0608 +0.0602 +0.0476 | +0.0579 +0.0579 +0.1117 +0.0036 |  0.00  0.00  0.00  0.00
checkerboard-32__rrect-lg__rest              calibration  0.0508  0.0488 | +0.0569 +0.0528 +0.0403 +0.0723 | +0.0561 +0.0564 +0.0337 +0.0786 |  0.00  0.00  0.00  0.00
checkerboard-64__rrect-sm__rest              calibration  0.1611  0.1111 | +0.1591 +0.1591 +0.1217 +0.1217 | +0.1253 +0.1252 +0.1194 +0.1194 |  0.00  0.00  0.00  0.00
checkerboard-64__capsule-button__rest        validation   0.1317  0.0735 | +0.3597 +0.3597     -       -   | +0.1961 +0.1961     -       -   |  0.00  0.00   -     -  
checkerboard-64__rrect-md__rest              calibration  0.0482  0.0427 | +0.1417 +0.1400 -0.0016 -0.0015 | +0.1558 +0.1581 -0.0345 -0.0344 |  0.00  0.00  0.00  0.00
