== apple-macos-26.5-1x-light-standard / webgpu  fixtures=/Users/new/.claude/jobs/5c70e47f/tmp/w9-probe-fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w23/g0/probe/probe9-base/web-captures
scene                                        set           bodyN   bodyW |                  rim native T/B/L/R |                     rim web T/B/L/R | clipN
checkerboard-4__rrect-sm__rest               calibration  0.6053  0.6729 | +0.1973 +0.1973 +0.1974 +0.1974 | +0.0615 +0.0634 +0.0615 +0.0640 |  0.00  0.00  0.00  0.00
checkerboard-4__capsule-button__rest         calibration  0.6059  0.6742 | +0.1928 +0.1928     -       -   | +0.0635 +0.0635     -       -   |  0.00  0.00   -     -  
checkerboard-4__rrect-md__rest               calibration  0.6781  0.6929 | +0.1766 +0.1766 +0.1762 +0.1762 | +0.0597 +0.0616 +0.0609 +0.0614 |  0.00  0.00  0.00  0.00
checkerboard-4__rrect-ml__rest               validation   0.6921  0.6930 | +0.1724 +0.1724 +0.1740 +0.1741 | +0.0594 +0.0594 +0.0599 +0.0601 |  0.00  0.00  0.00  0.00
checkerboard-4__rrect-lg__rest               calibration  0.7057  0.6929 | +0.1701 +0.1703 +0.1716 +0.1713 | +0.0613 +0.0612 +0.0614 +0.0614 |  0.00  0.00  0.00  0.00
checkerboard-32__rrect-sm__rest              calibration  0.6202  0.6732 | +0.1915 +0.1697 +0.4689 -0.0951 | +0.0623 +0.0621 +0.4212 -0.2998 |  0.00  0.00  0.00  0.00
checkerboard-32__capsule-button__rest        calibration  0.6214  0.6742 | +0.1830 +0.1707     -       -   | +0.0615 +0.0627     -       -   |  0.00  0.00   -     -  
checkerboard-32__rrect-md__rest              calibration  0.6823  0.6932 | +0.1688 +0.1750 +0.0793 +0.2682 | +0.0607 +0.0606 -0.2126 +0.3347 |  0.00  0.00  0.00  0.00
checkerboard-32__rrect-ml__rest              calibration  0.6887  0.6931 | +0.1762 +0.1729 +0.2366 +0.1107 | +0.0594 +0.0595 +0.2456 -0.1258 |  0.00  0.00  0.00  0.00
checkerboard-32__rrect-lg__rest              calibration  0.6972  0.6926 | +0.1698 +0.1767 +0.1485 +0.1974 | +0.0615 +0.0604 -0.0206 +0.1438 |  0.00  0.00  0.00  0.00
