== apple-macos-26.5-1x-light-standard / webgpu  fixtures=/Users/new/.claude/jobs/5c70e47f/tmp/w9-probe-fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w23/g0/probe/probe9-fit/web-captures
scene                                        set           bodyN   bodyW |                  rim native T/B/L/R |                     rim web T/B/L/R | clipN
checkerboard-4__rrect-sm__rest               calibration  0.6053  0.6729 | +0.1973 +0.1973 +0.1974 +0.1974 | +0.1747 +0.1747 +0.1748 +0.1748 |  0.00  0.00  0.00  0.00
checkerboard-4__capsule-button__rest         calibration  0.6059  0.6745 | +0.1928 +0.1928     -       -   | +0.1723 +0.1723     -       -   |  0.00  0.00   -     -  
checkerboard-4__rrect-md__rest               calibration  0.6781  0.6929 | +0.1766 +0.1766 +0.1762 +0.1762 | +0.1645 +0.1650 +0.1650 +0.1655 |  0.00  0.00  0.00  0.00
checkerboard-4__rrect-ml__rest               validation   0.6921  0.6931 | +0.1724 +0.1724 +0.1740 +0.1741 | +0.1648 +0.1648 +0.1652 +0.1652 |  0.00  0.00  0.00  0.00
checkerboard-4__rrect-lg__rest               calibration  0.7057  0.6931 | +0.1701 +0.1703 +0.1716 +0.1713 | +0.1648 +0.1649 +0.1650 +0.1650 |  0.00  0.00  0.00  0.00
checkerboard-32__rrect-sm__rest              calibration  0.6202  0.6732 | +0.1915 +0.1697 +0.4689 -0.0951 | +0.1705 +0.1704 +0.4818 -0.1397 |  0.00  0.00  0.00  0.00
checkerboard-32__capsule-button__rest        calibration  0.6214  0.6745 | +0.1830 +0.1707     -       -   | +0.1719 +0.1712     -       -   |  0.00  0.00   -     -  
checkerboard-32__rrect-md__rest              calibration  0.6823  0.6932 | +0.1688 +0.1750 +0.0793 +0.2682 | +0.1655 +0.1650 -0.0685 +0.3966 |  0.00  0.00  0.00  0.00
checkerboard-32__rrect-ml__rest              calibration  0.6887  0.6932 | +0.1762 +0.1729 +0.2366 +0.1107 | +0.1642 +0.1641 +0.3216 +0.0075 |  0.00  0.00  0.00  0.00
checkerboard-32__rrect-lg__rest              calibration  0.6972  0.6927 | +0.1698 +0.1767 +0.1485 +0.1974 | +0.1667 +0.1647 +0.0940 +0.2382 |  0.00  0.00  0.00  0.00
checkerboard-64__rrect-sm__rest              calibration  0.9660  0.9151 | +0.0679 +0.0679 +0.0338 +0.0338 | +0.0821 +0.0839 +0.0661 +0.0661 |  1.00  1.00  0.00  0.00
checkerboard-64__capsule-button__rest        validation   0.6224  0.7161 | +0.4912 +0.4912     -       -   | +0.4711 +0.4750     -       -   |  0.00  0.00   -     -  
checkerboard-64__rrect-md__rest              calibration  0.6571  0.6672 | +0.5166 +0.5170 -0.0684 -0.0684 | +0.4581 +0.4661 -0.1076 -0.1066 |  0.00  0.00  0.00  0.00
checkerboard-64__rrect-ml__rest              calibration  0.6760  0.6810 | +0.2568 +0.2508 -0.1702 -0.1702 | +0.2274 +0.2254 -0.2140 -0.2140 |  0.00  0.00  0.00  0.00
checkerboard-lc16__rrect-sm__rest            calibration  0.8013  0.8058 | +0.1378 +0.1367 +0.1001 +0.1804 | +0.1302 +0.1322 +0.0725 +0.1874 |  0.00  0.00  0.00  0.00
checkerboard-lc16__capsule-button__rest      calibration  0.8964  0.8059 | +0.1119 +0.1135     -       -   | +0.1333 +0.1314     -       -   |  0.00  0.38   -     -  
checkerboard-lc16__rrect-md__rest            validation   0.7891  0.7997 | +0.1453 +0.1431 +0.1695 +0.1212 | +0.1326 +0.1325 +0.2269 +0.0387 |  0.00  0.00  0.00  0.00
checkerboard-lc16__rrect-ml__rest            calibration  0.7993  0.8003 | +0.1424 +0.1425 +0.1461 +0.1405 | +0.1316 +0.1313 +0.1918 +0.0710 |  0.00  0.00  0.00  0.00
hc-text-7__rrect-sm__rest                    calibration  0.6710  0.7567 | +0.1204 +0.1799 +0.1174 +0.1359 | +0.0821 +0.1287 +0.1324 +0.1494 |  0.00  0.00  0.00  0.00
hc-text-7__rrect-md__rest                    validation   0.7422  0.7567 | +0.1332 +0.1114 +0.1116 +0.2454 | +0.1002 +0.1841 +0.1463 +0.2033 |  0.00  0.00  0.00  0.00
hc-text-7__rrect-lg__rest                    calibration  0.8099  0.7924 | +0.1544 +0.1393 +0.0723 +0.3235 | +0.0948 +0.0541 +0.0356 +0.3357 |  0.00  0.00  0.00  0.34
hc-text__rrect-sm__rest                      calibration  0.7437  0.7813 | +0.0721 -0.0141 -0.1078 -0.1078 | +0.0286 -0.1050 -0.1423 -0.1386 |  0.00  0.00  0.00  0.00
hc-text__rrect-lg__rest                      calibration  0.8091  0.7921 | +0.0252 +0.0555 +0.0739 +0.2975 | -0.0350 +0.0186 +0.0607 +0.3210 |  0.00  0.03  0.00  0.44
hc-text-28__rrect-sm__rest                   calibration  0.7195  0.6760 | -0.0216 +0.1284 -0.0518 -0.0518 | -0.0917 +0.0588 -0.0659 -0.0646 |  0.00  0.00  0.00  0.00
