== apple-macos-26.5-1x-light-standard / webgpu  fixtures=/Users/new/.claude/jobs/5c70e47f/tmp/w9-probe-fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w23/g0/probe/probe9-levelgain/web-captures
scene                                        set           bodyN   bodyW |                  rim native T/B/L/R |                     rim web T/B/L/R | clipN
checkerboard-4__rrect-sm__rest               calibration  0.6053  0.6729 | +0.1973 +0.1973 +0.1974 +0.1974 | -0.0272 -0.0254 -0.0276 -0.0253 |  0.00  0.00  0.00  0.00
checkerboard-4__capsule-button__rest         calibration  0.6059  0.6740 | +0.1928 +0.1928     -       -   | -0.0267 -0.0267     -       -   |  0.00  0.00   -     -  
checkerboard-4__rrect-md__rest               calibration  0.6781  0.6929 | +0.1766 +0.1766 +0.1762 +0.1762 | -0.0309 -0.0306 -0.0313 -0.0302 |  0.00  0.00  0.00  0.00
checkerboard-4__rrect-ml__rest               validation   0.6921  0.6929 | +0.1724 +0.1724 +0.1740 +0.1741 | -0.0302 -0.0301 -0.0296 -0.0298 |  0.00  0.00  0.00  0.00
checkerboard-4__rrect-lg__rest               calibration  0.7057  0.6928 | +0.1701 +0.1703 +0.1716 +0.1713 | -0.0297 -0.0297 -0.0300 -0.0300 |  0.00  0.00  0.00  0.00
checkerboard-32__rrect-sm__rest              calibration  0.6202  0.6732 | +0.1915 +0.1697 +0.4689 -0.0951 | -0.0262 -0.0263 +0.3092 -0.3635 |  0.00  0.00  0.00  0.00
checkerboard-32__capsule-button__rest        calibration  0.6214  0.6740 | +0.1830 +0.1707     -       -   | -0.0264 -0.0268     -       -   |  0.00  0.00   -     -  
checkerboard-32__rrect-md__rest              calibration  0.6823  0.6932 | +0.1688 +0.1750 +0.0793 +0.2682 | -0.0309 -0.0302 -0.2847 +0.2227 |  0.00  0.00  0.00  0.00
checkerboard-32__rrect-ml__rest              calibration  0.6887  0.6930 | +0.1762 +0.1729 +0.2366 +0.1107 | -0.0307 -0.0321 +0.1414 -0.2031 |  0.00  0.00  0.00  0.00
checkerboard-32__rrect-lg__rest              calibration  0.6972  0.6925 | +0.1698 +0.1767 +0.1485 +0.1974 | -0.0300 -0.0299 -0.1064 +0.0482 |  0.00  0.00  0.00  0.00
checkerboard-64__rrect-sm__rest              calibration  0.9660  0.9151 | +0.0679 +0.0679 +0.0338 +0.0338 | -0.0517 -0.0495 -0.0775 -0.0721 |  1.00  1.00  0.00  0.00
checkerboard-64__capsule-button__rest        validation   0.6224  0.7157 | +0.4912 +0.4912     -       -   | +0.3338 +0.3377     -       -   |  0.00  0.00   -     -  
checkerboard-64__rrect-md__rest              calibration  0.6571  0.6672 | +0.5166 +0.5170 -0.0684 -0.0684 | +0.3032 +0.3132 -0.3294 -0.3281 |  0.00  0.00  0.00  0.00
checkerboard-64__rrect-ml__rest              calibration  0.6760  0.6808 | +0.2568 +0.2508 -0.1702 -0.1702 | +0.0361 +0.0382 -0.4451 -0.4451 |  0.00  0.00  0.00  0.00
checkerboard-lc16__rrect-sm__rest            calibration  0.8013  0.8058 | +0.1378 +0.1367 +0.1001 +0.1804 | -0.0487 -0.0447 -0.1012 +0.0086 |  0.00  0.00  0.00  0.00
checkerboard-lc16__capsule-button__rest      calibration  0.8964  0.8055 | +0.1119 +0.1135     -       -   | -0.0456 -0.0487     -       -   |  0.00  0.38   -     -  
checkerboard-lc16__rrect-md__rest            validation   0.7891  0.7997 | +0.1453 +0.1431 +0.1695 +0.1212 | -0.0466 -0.0476 +0.0595 -0.1502 |  0.00  0.00  0.00  0.00
checkerboard-lc16__rrect-ml__rest            calibration  0.7993  0.8001 | +0.1424 +0.1425 +0.1461 +0.1405 | -0.0494 -0.0481 +0.0161 -0.1148 |  0.00  0.00  0.00  0.00
hc-text-7__rrect-sm__rest                    calibration  0.6710  0.7567 | +0.1204 +0.1799 +0.1174 +0.1359 | -0.1026 -0.0461 -0.0537 -0.0376 |  0.00  0.00  0.00  0.00
hc-text-7__rrect-md__rest                    validation   0.7422  0.7567 | +0.1332 +0.1114 +0.1116 +0.2454 | -0.0869 +0.0045 -0.0383 +0.0221 |  0.00  0.00  0.00  0.00
hc-text-7__rrect-lg__rest                    calibration  0.8099  0.7922 | +0.1544 +0.1393 +0.0723 +0.3235 | -0.0956 -0.1331 -0.1532 +0.1975 |  0.00  0.00  0.00  0.34
hc-text__rrect-sm__rest                      calibration  0.7437  0.7813 | +0.0721 -0.0141 -0.1078 -0.1078 | -0.1862 -0.3132 -0.3493 -0.3449 |  0.00  0.00  0.00  0.00
hc-text__rrect-lg__rest                      calibration  0.8091  0.7919 | +0.0252 +0.0555 +0.0739 +0.2975 | -0.2278 -0.1585 -0.1265 +0.1859 |  0.00  0.03  0.00  0.44
hc-text-28__rrect-sm__rest                   calibration  0.7195  0.6760 | -0.0216 +0.1284 -0.0518 -0.0518 | -0.3156 -0.1642 -0.2858 -0.2817 |  0.00  0.00  0.00  0.00
hc-text-28__rrect-md__rest                   calibration  0.7028  0.7274 | +0.1791 +0.2723 +0.1124 +0.1361 | +0.0018 +0.1687 -0.2937 -0.2726 |  0.00  0.00  0.00  0.00
light-solid__rrect-sm__rest                  calibration  0.9666  0.9740 | +0.0586 +0.0586 +0.0586 +0.0586 | -0.0850 -0.0850 -0.0850 -0.0850 |  1.00  1.00  1.00  1.00
light-solid__rrect-md__rest                  calibration  0.9345  0.9317 | +0.1002 +0.1002 +0.1002 +0.1002 | -0.0675 -0.0598 -0.0675 -0.0598 |  1.00  1.00  1.00  1.00
light-solid__rrect-lg__rest                  calibration  0.9324  0.9312 | +0.0962 +0.0962 +0.0962 +0.0962 | -0.0587 -0.0587 -0.0587 -0.0587 |  0.00  0.00  0.00  0.00
dark-solid__rrect-sm__rest                   calibration  0.0110  0.0117 | +0.0201 +0.0201 +0.0201 +0.0201 | +0.0227 +0.0227 +0.0227 +0.0227 |  0.00  0.00  0.00  0.00
dark-solid__rrect-md__rest                   calibration  0.4798  0.4955 | +0.2293 +0.2293 +0.2305 +0.2305 | -0.0025 -0.0025 -0.0025 -0.0025 |  0.00  0.00  0.00  0.00
