== apple-macos-26.5-1x-light-increased-contrast / css  fixtures=/Users/new/Developer/GitHub/designer/apps/reference-apple/fixtures captures=/Users/new/Developer/GitHub/designer/packages/calibration/web-captures
scene                                        set           bodyN   bodyW |                  rim native T/B/L/R |                     rim web T/B/L/R | clipN
checkerboard__capsule-button__rest           calibration  0.9783  0.9520 | -0.9614 -0.9614     -       -   | +0.0924 +0.0161     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest                  calibration  0.9820  0.9140 | -0.9689 -0.9689     -       -   | +0.1583 +0.0059     -       -   |  0.00  0.00   -     -  
hc-text__capsule-button__rest                holdout      0.9406  0.9713 | -0.9126 -0.8862     -       -   | +0.0574 +0.0396     -       -   |  0.00  0.00   -     -  
checkerboard__rrect-md__rest                 calibration  0.9853  0.9453 | -0.9755 -0.9755 -0.9755 -0.9755 | +0.1093 -0.0007 +0.1038 +0.0019 |  0.00  0.00  0.00  0.00
photo__rrect-md__rest                        calibration  0.9915  0.9086 | -0.9879 -0.9879 -0.9879 -0.9907 | +0.1658 +0.0007 +0.1658 +0.0563 |  0.00  0.00  0.00  0.00
photo__rrect-lg__rest                        holdout      0.9860  0.9031 | -0.9769 -0.9770 -0.9769 -0.9866 | +0.1777 -0.0077 +0.1873 +0.0559 |  0.00  0.00  0.00  0.00
photo__capsule-button__pressed               recorded     0.9820       - | -0.9689 -0.9689     -       -   |                                     |  0.00  0.00   -     -  
checkerboard__capsule-button__rest-tint-orange calibration  0.4217  0.4267 | -0.3542 -0.3542     -       -   | +1.0675 -0.0021     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest-tint-orange      calibration  0.4222  0.4235 | -0.3552 -0.3552     -       -   | +1.0739 -0.0020     -       -   |  0.00  0.00   -     -  

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/agent-aa0ee5ea92534c3fd/packages/calibration/results/2026-09-08-w23-collapsed-rim/g0/reads/canonical-apple-macos-26.5-1x-light-increased-contrast-css.json
