== apple-macos-26.5-1x-light-reduced-transparency / css  fixtures=/Users/new/Developer/GitHub/designer/apps/reference-apple/fixtures captures=/Users/new/Developer/GitHub/designer/packages/calibration/web-captures
scene                                        set           bodyN   bodyW |                  rim native T/B/L/R |                     rim web T/B/L/R | clipN
checkerboard__capsule-button__rest           calibration  0.8880  0.9256 | +0.1191 +0.1191     -       -   | +0.0339 +0.0110     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest                  calibration  0.8917  0.8846 | +0.1114 +0.1122     -       -   | +0.0403 +0.0043     -       -   |  0.00  0.00   -     -  
hc-text__capsule-button__rest                holdout      0.8879  0.9415 | +0.1193 +0.1193     -       -   | +0.0852 +0.0464     -       -   |  0.00  0.00   -     -  
checkerboard__rrect-md__rest                 calibration  0.8880  0.9301 | +0.1191 +0.1191 +0.1191 +0.1191 | +0.0262 +0.0013 +0.0194 -0.0049 |  0.00  0.00  0.00  0.00
photo__rrect-md__rest                        calibration  0.8921  0.8914 | +0.1094 +0.1066 +0.1008 +0.1047 | +0.0230 +0.0024 +0.0221 +0.0549 |  0.00  0.00  0.00  0.00
photo__rrect-lg__rest                        holdout      0.8893  0.8911 | +0.1143 +0.1132 +0.1153 +0.1098 | +0.0229 -0.0076 +0.0670 +0.0539 |  0.00  0.00  0.00  0.00
photo__capsule-button__pressed               recorded     0.8917       - | +0.1114 +0.1122     -       -   |                                     |  0.00  0.00   -     -  
photo__capsule-button__rest-tint-orange      calibration  0.4091  0.4138 | +0.1546 +0.1549     -       -   | +0.1474 -0.0002     -       -   |  0.00  0.00   -     -  

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/agent-aa0ee5ea92534c3fd/packages/calibration/results/2026-09-08-w23-collapsed-rim/g0/reads/canonical-apple-macos-26.5-1x-light-reduced-transparency-css.json
