== apple-macos-26.5-1x-dark-standard / native only  fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-aa0ee5ea92534c3fd/packages/calibration/results/2026-09-06-w21-dark-scheme/probe captures=None
scene                                        set           bodyN   bodyW |                  rim native T/B/L/R |                     rim web T/B/L/R | clipN
checkerboard-4__rrect-sm__rest               calibration  0.0994       - | +0.1033 +0.1033 +0.1032 +0.1032 |                                     |  0.00  0.00  0.00  0.00
checkerboard-4__capsule-button__rest         calibration  0.0998       - | +0.1014 +0.1014     -       -   |                                     |  0.00  0.00   -     -  
checkerboard-4__rrect-md__rest               calibration  0.0451       - | +0.0560 +0.0560 +0.0564 +0.0564 |                                     |  0.00  0.00  0.00  0.00
checkerboard-4__rrect-ml__rest               validation   0.0458       - | +0.0558 +0.0559 +0.0556 +0.0558 |                                     |  0.00  0.00  0.00  0.00
checkerboard-4__rrect-lg__rest               calibration  0.0468       - | +0.0547 +0.0548 +0.0546 +0.0545 |                                     |  0.00  0.00  0.00  0.00
checkerboard-8__rrect-sm__rest               holdout      0.1045       - | +0.1050 +0.1050 +0.1364 +0.0753 |                                     |  0.00  0.00  0.00  0.00
checkerboard-8__capsule-button__rest         holdout      0.1036       - | +0.0956 +0.0956     -       -   |                                     |  0.00  0.00   -     -  
checkerboard-8__rrect-md__rest               holdout      0.0467       - | +0.0564 +0.0566 +0.0560 +0.0534 |                                     |  0.00  0.00  0.00  0.00
checkerboard-8__rrect-ml__rest               holdout      0.0470       - | +0.0561 +0.0561 +0.0465 +0.0611 |                                     |  0.00  0.00  0.00  0.00
checkerboard-8__rrect-lg__rest               holdout      0.0478       - | +0.0545 +0.0553 +0.0394 +0.0727 |                                     |  0.00  0.00  0.00  0.00
checkerboard__rrect-sm__rest                 calibration  0.1070       - | +0.1013 +0.0923 +0.1136 +0.0932 |                                     |  0.00  0.00  0.00  0.00
checkerboard__capsule-button__rest           calibration  0.1059       - | +0.0978 +0.1051     -       -   |                                     |  0.00  0.00   -     -  
checkerboard__rrect-md__rest                 calibration  0.0468       - | +0.0547 +0.0558 +0.0676 +0.0420 |                                     |  0.00  0.00  0.00  0.00
checkerboard__rrect-ml__rest                 calibration  0.0468       - | +0.0548 +0.0551 +0.0513 +0.0591 |                                     |  0.00  0.00  0.00  0.00
checkerboard__rrect-lg__rest                 calibration  0.0474       - | +0.0536 +0.0543 +0.0386 +0.0718 |                                     |  0.00  0.00  0.00  0.00
checkerboard-32__rrect-sm__rest              calibration  0.1114       - | +0.1129 +0.0874 +0.2565 -0.0504 |                                     |  0.00  0.00  0.00  0.00
checkerboard-32__capsule-button__rest        calibration  0.1124       - | +0.0974 +0.0891     -       -   |                                     |  0.00  0.00   -     -  
checkerboard-32__rrect-md__rest              calibration  0.0496       - | +0.0596 +0.0530 +0.0323 +0.0696 |                                     |  0.00  0.00  0.00  0.00
checkerboard-32__rrect-ml__rest              calibration  0.0503       - | +0.0559 +0.0608 +0.0602 +0.0476 |                                     |  0.00  0.00  0.00  0.00
checkerboard-32__rrect-lg__rest              calibration  0.0508       - | +0.0569 +0.0528 +0.0403 +0.0723 |                                     |  0.00  0.00  0.00  0.00
checkerboard-64__rrect-sm__rest              calibration  0.1611       - | +0.1591 +0.1591 +0.1217 +0.1217 |                                     |  0.00  0.00  0.00  0.00
checkerboard-64__capsule-button__rest        validation   0.1317       - | +0.3597 +0.3597     -       -   |                                     |  0.00  0.00   -     -  
checkerboard-64__rrect-md__rest              calibration  0.0482       - | +0.1417 +0.1400 -0.0016 -0.0015 |                                     |  0.00  0.00  0.00  0.00
checkerboard-64__rrect-ml__rest              calibration  0.0505       - | +0.0727 +0.0725 -0.0199 -0.0200 |                                     |  0.00  0.00  0.00  0.00
checkerboard-64__rrect-lg__rest              holdout      0.0531       - | +0.0700 +0.0392 +0.0467 +0.0463 |                                     |  0.00  0.00  0.00  0.00
checkerboard-lc16__rrect-sm__rest            calibration  0.1253       - | +0.1266 +0.1249 +0.1299 +0.1207 |                                     |  0.00  0.00  0.00  0.00
checkerboard-lc16__capsule-button__rest      calibration  0.1256       - | +0.1244 +0.1259     -       -   |                                     |  0.00  0.00   -     -  
checkerboard-lc16__rrect-md__rest            validation   0.0657       - | +0.0747 +0.0746 +0.0814 +0.0687 |                                     |  0.00  0.00  0.00  0.00
checkerboard-lc16__rrect-ml__rest            calibration  0.0680       - | +0.0752 +0.0757 +0.0743 +0.0770 |                                     |  0.00  0.00  0.00  0.00
checkerboard-lc16__rrect-lg__rest            holdout      0.0707       - | +0.0757 +0.0755 +0.0698 +0.0823 |                                     |  0.00  0.00  0.00  0.00
hc-text-7__rrect-sm__rest                    calibration  0.1161       - | +0.0613 +0.1187 +0.0829 +0.0924 |                                     |  0.00  0.00  0.00  0.00
hc-text-7__rrect-md__rest                    validation   0.0587       - | +0.0658 +0.0544 +0.0515 +0.0993 |                                     |  0.00  0.00  0.00  0.00
hc-text-7__rrect-lg__rest                    calibration  0.0802       - | +0.0863 +0.0879 +0.0701 +0.1470 |                                     |  0.00  0.00  0.00  0.00
hc-text__rrect-sm__rest                      calibration  0.1250       - | +0.0512 +0.0469 +0.0098 +0.0098 |                                     |  0.00  0.00  0.00  0.00
hc-text__rrect-md__rest                      calibration  0.0574       - | +0.0572 +0.0595 +0.0634 +0.0897 |                                     |  0.00  0.00  0.00  0.00
hc-text__rrect-lg__rest                      calibration  0.0804       - | +0.0742 +0.0834 +0.0711 +0.1405 |                                     |  0.00  0.00  0.00  0.00
hc-text-28__rrect-sm__rest                   calibration  0.1163       - | +0.0737 +0.0982 +0.0591 +0.0591 |                                     |  0.00  0.00  0.00  0.00
hc-text-28__rrect-md__rest                   calibration  0.0556       - | +0.0406 +0.0628 +0.0407 +0.0613 |                                     |  0.00  0.00  0.00  0.00
hc-text-28__rrect-lg__rest                   holdout      0.0827       - | +0.0904 +0.0942 +0.0781 +0.1612 |                                     |  0.00  0.00  0.00  0.00
light-solid__rrect-sm__rest                  calibration  0.9666       - | +0.0586 +0.0586 +0.0586 +0.0586 |                                     |  1.00  1.00  1.00  1.00
light-solid__rrect-md__rest                  calibration  0.0960       - | +0.1032 +0.1032 +0.1039 +0.1039 |                                     |  0.00  0.00  0.00  0.00
light-solid__rrect-lg__rest                  calibration  0.1052       - | +0.1042 +0.1042 +0.1050 +0.1050 |                                     |  0.00  0.00  0.00  0.00
dark-solid__rrect-sm__rest                   calibration  0.0110       - | +0.0201 +0.0201 +0.0201 +0.0201 |                                     |  0.00  0.00  0.00  0.00
dark-solid__rrect-md__rest                   calibration  0.0153       - | +0.0256 +0.0256 +0.0258 +0.0258 |                                     |  0.00  0.00  0.00  0.00
dark-solid__rrect-lg__rest                   calibration  0.0110       - | +0.0196 +0.0196 +0.0197 +0.0197 |                                     |  0.00  0.00  0.00  0.00
mid-dark-solid__rrect-sm__rest               calibration  0.0284       - | +0.0412 +0.0412 +0.0412 +0.0412 |                                     |  0.00  0.00  0.00  0.00
mid-dark-solid__rrect-md__rest               calibration  0.0252       - | +0.0385 +0.0385 +0.0388 +0.0388 |                                     |  0.00  0.00  0.00  0.00
