== apple-macos-26.5-1x-light-standard / webgpu  fixtures=/Users/new/.claude/jobs/5c70e47f/tmp/w9-probe-fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w9-web-captures
scene                                        set           bodyN   bodyW |                  rim native T/B/L/R |                     rim web T/B/L/R | clipN
checkerboard-4__rrect-sm__rest               calibration  0.6053  0.2159 | +0.1973 +0.1973 +0.1974 +0.1974 | -0.0036 -0.0000 -0.0036 -0.0000 |  0.00  0.00  0.00  0.00
checkerboard-4__capsule-button__rest         calibration  0.6059  0.2159 | +0.1928 +0.1928     -       -   | -0.0000 -0.0000     -       -   |  0.00  0.00   -     -  
checkerboard-4__rrect-md__rest               calibration  0.6781  0.2159 | +0.1766 +0.1766 +0.1762 +0.1762 | -0.0036 -0.0036 -0.0036 -0.0000 |  0.00  0.00  0.00  0.00
checkerboard-4__rrect-ml__rest               validation   0.6921  0.7436 | +0.1724 +0.1724 +0.1740 +0.1741 | +0.2101 +0.0563 +0.1249 +0.0563 |  0.00  0.00  0.00  0.00
checkerboard-4__rrect-lg__rest               calibration  0.7057  0.2165 | +0.1701 +0.1703 +0.1716 +0.1713 | -0.0013 -0.0013 -0.0013 -0.0013 |  0.00  0.00  0.00  0.00
checkerboard-8__rrect-sm__rest               holdout      0.6116       - | +0.1848 +0.1848 +0.3382 +0.0593 |                                     |  0.00  0.00  0.00  0.00
checkerboard-8__capsule-button__rest         holdout      0.6104       - | +0.1865 +0.1865     -       -   |                                     |  0.00  0.00   -     -  
checkerboard-8__rrect-md__rest               holdout      0.6791       - | +0.1755 +0.1747 +0.1934 +0.1571 |                                     |  0.00  0.00  0.00  0.00
checkerboard-8__rrect-ml__rest               holdout      0.6905       - | +0.1737 +0.1738 +0.1758 +0.1754 |                                     |  0.00  0.00  0.00  0.00
checkerboard-8__rrect-lg__rest               holdout      0.7033       - | +0.1709 +0.1709 +0.1713 +0.1695 |                                     |  0.00  0.00  0.00  0.00
checkerboard__rrect-sm__rest                 recorded     0.6149       - | +0.1888 +0.1792 +0.1030 +0.2829 |                                     |  0.00  0.00  0.00  0.00
checkerboard__capsule-button__rest           recorded     0.6133       - | +0.1930 +0.1876     -       -   |                                     |  0.00  0.00   -     -  
checkerboard__rrect-md__rest                 recorded     0.6792       - | +0.1763 +0.1737 +0.2358 +0.1129 |                                     |  0.00  0.00  0.00  0.00
checkerboard__rrect-ml__rest                 recorded     0.6906       - | +0.1741 +0.1736 +0.1806 +0.1669 |                                     |  0.00  0.00  0.00  0.00
checkerboard__rrect-lg__rest                 recorded     0.7037       - | +0.1719 +0.1713 +0.1563 +0.1859 |                                     |  0.00  0.00  0.00  0.00
checkerboard-32__rrect-sm__rest              calibration  0.6202  0.2159 | +0.1915 +0.1697 +0.4689 -0.0951 | -0.0036 -0.0000 -0.0036 -0.0000 |  0.00  0.00  0.00  0.00
checkerboard-32__capsule-button__rest        calibration  0.6214  0.2159 | +0.1830 +0.1707     -       -   | -0.0000 -0.0000     -       -   |  0.00  0.00   -     -  
checkerboard-32__rrect-md__rest              calibration  0.6823  0.2159 | +0.1688 +0.1750 +0.0793 +0.2682 | -0.0036 -0.0036 -0.0036 -0.0000 |  0.00  0.00  0.00  0.00
checkerboard-32__rrect-ml__rest              calibration  0.6887  0.2161 | +0.1762 +0.1729 +0.2366 +0.1107 | -0.0028 -0.0004 -0.0004 -0.0004 |  0.00  0.00  0.00  0.00
checkerboard-32__rrect-lg__rest              calibration  0.6972  0.2165 | +0.1698 +0.1767 +0.1485 +0.1974 | -0.0013 -0.0013 -0.0013 -0.0013 |  0.00  0.00  0.00  0.00
checkerboard-64__rrect-sm__rest              calibration  0.9660  0.9986 | +0.0679 +0.0679 +0.0338 +0.0338 | -0.0062 -0.0062 -0.0672 -0.0672 |  1.00  1.00  0.00  0.00
checkerboard-64__capsule-button__rest        validation   0.6224  0.7808 | +0.4912 +0.4912     -       -   | +0.4206 +0.4287     -       -   |  0.00  0.00   -     -  
checkerboard-64__rrect-md__rest              calibration  0.6571  0.1878 | +0.5166 +0.5170 -0.0684 -0.0684 | +0.0000 +0.0000 -0.0000 -0.0000 |  0.00  0.00  0.00  0.00
checkerboard-64__rrect-ml__rest              calibration  0.6760  0.1876 | +0.2568 +0.2508 -0.1702 -0.1702 | +0.0005 +0.0005 +0.0005 +0.0005 |  0.00  0.00  0.00  0.00
