== apple-macos-26.5-1x-light-increased-contrast / webgpu  fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/w23-g1/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w23/g1/dryrun/web-captures
scene                                        set           bodyN   bodyW |                  rim native T/B/L/R |                     rim web T/B/L/R | clipN
checkerboard__capsule-button__rest           calibration  0.9783  0.9322 | -0.9614 -0.9614     -       -   | +0.0805 +0.0816     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest                  calibration  0.9820  0.8933 | -0.9689 -0.9689     -       -   | +0.1143 +0.1163     -       -   |  0.00  0.00   -     -  
hc-text__capsule-button__rest                holdout      0.9406  0.9423 | -0.9126 -0.8862     -       -   | +0.0713 +0.0454     -       -   |  0.00  0.00   -     -  
checkerboard__rrect-md__rest                 calibration  0.9853  0.9331 | -0.9755 -0.9755 -0.9755 -0.9755 | +0.0790 +0.0779 +0.0859 +0.0730 |  0.00  0.00  0.00  0.00
photo__rrect-md__rest                        calibration  0.9915  0.8958 | -0.9879 -0.9879 -0.9879 -0.9907 | +0.1077 +0.1163 +0.1111 +0.1524 |  0.00  0.00  0.00  0.00
photo__rrect-lg__rest                        holdout      0.9860  0.8953 | -0.9769 -0.9770 -0.9769 -0.9866 | +0.1060 +0.1116 +0.1345 +0.1411 |  0.00  0.00  0.00  0.00
checkerboard__capsule-button__rest-tint-orange calibration  0.4217  0.4256 | -0.3542 -0.3542     -       -   | +0.1787 +0.1789     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest-tint-orange      calibration  0.4222  0.4224 | -0.3552 -0.3552     -       -   | +0.1967 +0.1965     -       -   |  0.00  0.00   -     -  

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/w23-g1/packages/calibration/results/2026-09-08-w23-collapsed-rim/g1/canonical-reads/apple-macos-26.5-1x-light-increased-contrast-webgpu-after.json
