== apple-macos-26.5-2x-dark-standard / webgpu  fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/w23-g1/apps/reference-apple/fixtures captures=/Users/new/Developer/GitHub/designer/packages/calibration/web-captures
scene                                        set           bodyN   bodyW |                  rim native T/B/L/R |                     rim web T/B/L/R | clipN
dark-solid__capsule-button__rest             calibration  0.0110  0.0117 | +0.0204 +0.0204     -       -   | -0.0000 -0.0000     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest           calibration  0.1074  0.0685 | +0.0982 +0.1040     -       -   | +0.0374 +0.0377     -       -   |  0.00  0.00   -     -  
impulse__capsule-button__rest                validation   0.0067  0.0033 | +0.0159 +0.0161     -       -   | +0.0000 +0.0000     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest                  calibration  0.0966  0.0527 | +0.0758 +0.0754     -       -   | +0.0287 +0.0285     -       -   |  0.00  0.00   -     -  
dark-solid__rrect-md__rest                   calibration  0.0153  0.0130 | +0.0255 +0.0255 +0.0256 +0.0256 | +0.0399 +0.0399 +0.0399 +0.0399 |  0.00  0.00  0.00  0.00
checkerboard__rrect-md__rest                 calibration  0.0475  0.0478 | +0.0518 +0.0540 +0.0653 +0.0427 | +0.0384 +0.0385 +0.0924 -0.0154 |  0.00  0.00  0.00  0.00
photo__rrect-md__rest                        calibration  0.0470  0.0391 | +0.0492 +0.0557 +0.0466 +0.1074 | +0.0280 +0.0342 +0.0379 +0.0556 |  0.00  0.00  0.00  0.00
photo__rrect-lg__rest                        holdout      0.0455  0.0405 | +0.0392 +0.0567 +0.0529 +0.1656 | +0.0206 +0.0340 +0.0241 +0.0717 |  0.00  0.00  0.00  0.00
mid-dark-solid__capsule-button__rest         holdout      0.0285  0.0285 | +0.0398 +0.0398     -       -   | +0.0388 +0.0388     -       -   |  0.00  0.00   -     -  
dark-solid__capsule-button__rest-tint-orange calibration  0.4243  0.4273 | +0.1179 +0.1179     -       -   | +0.0005 +0.0005     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest-tint-orange calibration  0.4345  0.4275 | +0.1270 +0.1278     -       -   | +0.0242 +0.0242     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest-tint-orange      calibration  0.4344  0.4274 | +0.1268 +0.1267     -       -   | +0.0243 +0.0243     -       -   |  0.00  0.00   -     -  

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/w23-g1/packages/calibration/results/2026-09-08-w23-collapsed-rim/g1/canonical-reads/apple-macos-26.5-2x-dark-standard-webgpu-before.json
