== apple-macos-26.5-1x-dark-standard / webgpu  fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/w23-g1/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w23/g1/ladder/confirm-dark-1x/web-captures
scene                                        set           bodyN   bodyW |                  rim native T/B/L/R |                     rim web T/B/L/R | clipN
dark-solid__capsule-button__rest             calibration  0.0110  0.0118 | +0.0200 +0.0200     -       -   | +0.0167 +0.0167     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest           calibration  0.1059  0.0674 | +0.0978 +0.1051     -       -   | +0.0771 +0.0775     -       -   |  0.00  0.00   -     -  
impulse__capsule-button__rest                validation   0.0066  0.0037 | +0.0166 +0.0158     -       -   | +0.0165 +0.0165     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest                  calibration  0.0961  0.0528 | +0.0797 +0.0787     -       -   | +0.0502 +0.0504     -       -   |  0.00  0.00   -     -  
dark-solid__rrect-md__rest                   calibration  0.0153  0.0130 | +0.0256 +0.0256 +0.0258 +0.0258 | +0.0252 +0.0252 +0.0252 +0.0252 |  0.00  0.00  0.00  0.00
checkerboard__rrect-md__rest                 calibration  0.0468  0.0475 | +0.0547 +0.0558 +0.0676 +0.0420 | +0.0587 +0.0583 +0.1304 -0.0137 |  0.00  0.00  0.00  0.00
photo__rrect-md__rest                        calibration  0.0466  0.0389 | +0.0486 +0.0558 +0.0500 +0.1019 | +0.0362 +0.0442 +0.0467 +0.0740 |  0.00  0.00  0.00  0.00
dark-solid__capsule-button__rest-tint-orange calibration  0.4243  0.4275 | +0.1149 +0.1149     -       -   | +0.1053 +0.1053     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest-tint-orange calibration  0.4343  0.4282 | +0.1286 +0.1283     -       -   | +0.3444 +0.3444     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest-tint-orange      calibration  0.4343  0.4282 | +0.1278 +0.1275     -       -   | +0.3443 +0.3443     -       -   |  0.00  0.00   -     -  

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/w23-g1/packages/calibration/results/2026-09-08-w23-collapsed-rim/g1/ladder/confirm-dark-1x.json
