== apple-macos-26.5-1x-light-standard / webgpu  fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/w23-g1/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w23/g1/ladder/confirm-light-1x/web-captures
scene                                        set           bodyN   bodyW |                  rim native T/B/L/R |                     rim web T/B/L/R | clipN
light-solid__capsule-button__rest            calibration  0.9668  0.9724 | +0.0582 +0.0582     -       -   | +0.0117 +0.0117     -       -   |  1.00  1.00   -     -  
dark-solid__capsule-button__rest             calibration  0.0110  0.0118 | +0.0200 +0.0200     -       -   | +0.0167 +0.0167     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest           calibration  0.6133  0.6743 | +0.1930 +0.1876     -       -   | +0.1704 +0.1744     -       -   |  0.00  0.00   -     -  
impulse__capsule-button__rest                validation   0.0066  0.0037 | +0.0166 +0.0158     -       -   | +0.0165 +0.0165     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest                  calibration  0.5766  0.6119 | +0.1404 +0.1428     -       -   | +0.1542 +0.1524     -       -   |  0.00  0.00   -     -  
light-solid__rrect-md__rest                  calibration  0.9345  0.9318 | +0.1002 +0.1002 +0.1002 +0.1002 | +0.0593 +0.0593 +0.0593 +0.0593 |  1.00  1.00  1.00  1.00
dark-solid__rrect-md__rest                   calibration  0.4798  0.4955 | +0.2293 +0.2293 +0.2305 +0.2305 | +0.2176 +0.2181 +0.2176 +0.2181 |  0.00  0.00  0.00  0.00
checkerboard__rrect-md__rest                 calibration  0.6792  0.6929 | +0.1763 +0.1737 +0.2358 +0.1129 | +0.1666 +0.1655 +0.3871 -0.0518 |  0.00  0.00  0.00  0.00
impulse__rrect-md__rest                      validation   0.4311  0.4642 | +0.2400 +0.2429 +0.2380 +0.2380 | +0.2218 +0.2275 +0.2218 +0.2218 |  0.00  0.00  0.00  0.00
photo__rrect-md__rest                        calibration  0.6610  0.6555 | +0.1056 +0.1256 +0.1567 +0.2338 | +0.1383 +0.1604 +0.1679 +0.2421 |  0.00  0.00  0.00  0.00
light-solid__rrect-ml__rest                  calibration  0.9326  0.9317 | +0.1021 +0.1021 +0.1021 +0.1021 | +0.0594 +0.0594 +0.0594 +0.0594 |  1.00  1.00  1.00  1.00
checkerboard__rrect-ml__rest                 calibration  0.6906  0.6932 | +0.1741 +0.1736 +0.1806 +0.1669 | +0.1634 +0.1641 +0.3072 +0.0193 |  0.00  0.00  0.00  0.00
photo__rrect-ml__rest                        calibration  0.6707  0.6578 | +0.0979 +0.1329 +0.1551 +0.2955 | +0.1283 +0.1782 +0.1197 +0.3843 |  0.00  0.00  0.00  0.00
checkerboard__rrect-sm__rest                 calibration  0.6149  0.6731 | +0.1888 +0.1792 +0.1030 +0.2829 | +0.1713 +0.1726 +0.0271 +0.3170 |  0.00  0.00  0.00  0.00
photo__rrect-sm__rest                        validation   0.5411  0.5889 | +0.1882 +0.1828 +0.1843 +0.2300 | +0.1950 +0.1912 +0.2012 +0.2066 |  0.00  0.00  0.00  0.00
dark-solid__capsule-button__rest-tint-orange calibration  0.4243  0.4275 | +0.1149 +0.1149     -       -   | +0.1053 +0.1053     -       -   |  0.00  0.00   -     -  
impulse__capsule-button__rest-tint-orange    calibration  0.4242  0.4274 | +0.1150 +0.1150     -       -   | +0.1054 +0.1054     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest-tint-orange calibration  0.3519  0.3672 | +0.1684 +0.1687     -       -   | +0.2384 +0.2378     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest-tint-orange      calibration  0.3441  0.3544 | +0.1618 +0.1610     -       -   | +0.2415 +0.2415     -       -   |  0.00  0.00   -     -  
light-solid__capsule-button__rest-tint-orange calibration  0.4229  0.4282 | +0.1414 +0.1414     -       -   | +0.1922 +0.1922     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest-tint-blue        calibration  0.1908  0.1976 | +0.2115 +0.2112     -       -   | +0.3019 +0.3015     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest-tint-orange-half calibration  0.4303  0.4532 | +0.1644 +0.1648     -       -   | +0.2198 +0.2188     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest-tint-blue validation   0.1950  0.2050 | +0.2167 +0.2163     -       -   | +0.3004 +0.2980     -       -   |  0.00  0.00   -     -  
photo__rrect-md__rest-tint-orange            validation   0.3607  0.3627 | +0.1583 +0.1610 +0.1690 +0.1846 | +0.2354 +0.2391 +0.2407 +0.2507 |  0.00  0.00  0.00  0.00

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/w23-g1/packages/calibration/results/2026-09-08-w23-collapsed-rim/g1/ladder/confirm-light-1x.json
