== apple-macos-26.5-2x-light-standard / webgpu  fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/w23-g1/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w23/g1/ladder/w2x12-light-2x/web-captures
scene                                        set           bodyN   bodyW |                  rim native T/B/L/R |                     rim web T/B/L/R | clipN
light-solid__capsule-button__rest            calibration  0.9666  0.9724 | +0.0292 +0.0292     -       -   | +0.0081 +0.0081     -       -   |  1.00  1.00   -     -  
dark-solid__capsule-button__rest             calibration  0.0110  0.0117 | +0.0204 +0.0204     -       -   | +0.0145 +0.0145     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest           calibration  0.6152  0.6805 | +0.1633 +0.1570     -       -   | +0.1428 +0.1334     -       -   |  0.00  0.00   -     -  
impulse__capsule-button__rest                validation   0.0067  0.0034 | +0.0159 +0.0161     -       -   | +0.0145 +0.0145     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest                  calibration  0.5772  0.6116 | +0.1134 +0.1144     -       -   | +0.1209 +0.1189     -       -   |  0.00  0.00   -     -  
light-solid__rrect-md__rest                  calibration  0.9344  0.9318 | +0.0542 +0.0542 +0.0542 +0.0542 | +0.0379 +0.0379 +0.0379 +0.0379 |  1.00  1.00  1.00  1.00
dark-solid__rrect-md__rest                   calibration  0.4798  0.4955 | +0.2052 +0.2052 +0.2065 +0.2065 | +0.1883 +0.1883 +0.1883 +0.1883 |  0.00  0.00  0.00  0.00
checkerboard__rrect-md__rest                 calibration  0.6800  0.6993 | +0.1417 +0.1414 +0.2248 +0.0633 | +0.1290 +0.1374 +0.3731 -0.1166 |  0.00  0.00  0.00  0.00
impulse__rrect-md__rest                      validation   0.4311  0.4644 | +0.2178 +0.2228 +0.2160 +0.2160 | +0.1899 +0.1986 +0.1899 +0.1899 |  0.00  0.00  0.00  0.00
photo__rrect-md__rest                        calibration  0.6619  0.6563 | +0.0678 +0.0910 +0.1301 +0.2017 | +0.1050 +0.1305 +0.1443 +0.2202 |  0.00  0.00  0.00  0.00
light-solid__rrect-ml__rest                  calibration  0.9325  0.9317 | +0.0553 +0.0553 +0.0553 +0.0553 | +0.0381 +0.0381 +0.0381 +0.0381 |  1.00  1.00  1.00  1.00
checkerboard__rrect-ml__rest                 calibration  0.6902  0.6993 | +0.1416 +0.1408 +0.1476 +0.1357 | +0.1311 +0.1374 +0.2950 -0.0316 |  0.00  0.00  0.00  0.00
photo__rrect-ml__rest                        calibration  0.6709  0.6579 | +0.0622 +0.1002 +0.1251 +0.2743 | +0.0974 +0.1492 +0.0878 +0.3679 |  0.00  0.00  0.00  0.00
checkerboard__rrect-sm__rest                 calibration  0.6163  0.6798 | +0.1606 +0.1523 +0.0417 +0.2791 | +0.1377 +0.1345 -0.0289 +0.3034 |  0.00  0.00  0.00  0.00
photo__rrect-sm__rest                        validation   0.5408  0.5867 | +0.1632 +0.1576 +0.1598 +0.2111 | +0.1667 +0.1595 +0.1746 +0.1751 |  0.00  0.00  0.00  0.00
dark-solid__capsule-button__rest-tint-orange calibration  0.4243  0.4273 | +0.1179 +0.1179     -       -   | +0.0112 +0.0112     -       -   |  0.00  0.00   -     -  
impulse__capsule-button__rest-tint-orange    calibration  0.4243  0.4273 | +0.1178 +0.1182     -       -   | +0.0112 +0.0112     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest-tint-orange calibration  0.3522  0.3685 | +0.1632 +0.1630     -       -   | +0.2000 +0.1999     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest-tint-orange      calibration  0.3442  0.3541 | +0.1579 +0.1577     -       -   | +0.2006 +0.2011     -       -   |  0.00  0.00   -     -  
light-solid__capsule-button__rest-tint-orange calibration  0.4229  0.4280 | +0.1378 +0.1378     -       -   | +0.1651 +0.1651     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest-tint-blue        calibration  0.1909  0.1975 | +0.2131 +0.2131     -       -   | +0.2562 +0.2559     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest-tint-orange-half calibration  0.4306  0.4530 | +0.1504 +0.1513     -       -   | +0.1756 +0.1751     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest-tint-blue validation   0.1954  0.2054 | +0.2168 +0.2172     -       -   | +0.2568 +0.2572     -       -   |  0.00  0.00   -     -  
photo__rrect-md__rest-tint-orange            validation   0.3609  0.3628 | +0.1523 +0.1552 +0.1638 +0.1797 | +0.1957 +0.2001 +0.2016 +0.2176 |  0.00  0.00  0.00  0.00

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/w23-g1/packages/calibration/results/2026-09-08-w23-collapsed-rim/g1/ladder/w2x12-light-2x.json
