W23 G1 — the backdrop tone each group is handed, per scene, per bed
========================================================================================================
`level` is the ENCODED-space tone level the collapse's argument is taken from; `linear` is the
linear mean the rim's law reads where the material's own layer does not cover the pixel.

=== light scheme at dpr 1 ===
  scene                                                background       group                level     linear
  light-solid__capsule-button__rest                    light-solid      component           0.8910    0.89097
  dark-solid__capsule-button__rest                     dark-solid       component           0.0117    0.01171
  checkerboard__capsule-button__rest                   checkerboard     component           0.2140    0.50000
  impulse__capsule-button__rest                        impulse          component           0.0003    0.00375
  photo__capsule-button__rest                          photo            component           0.1515    0.21407
  hc-text__capsule-button__rest                        hc-text          component           0.5071    0.74003
  light-solid__rrect-md__rest                          light-solid      component           0.8910    0.89097
  dark-solid__rrect-md__rest                           dark-solid       component           0.0117    0.01171
  checkerboard__rrect-md__rest                         checkerboard     component           0.2140    0.50000
  impulse__rrect-md__rest                              impulse          component           0.0003    0.00375
  photo__rrect-md__rest                                photo            component           0.1515    0.21407
  hc-text__rrect-md__rest                              hc-text          component           0.5071    0.74003
  light-solid__rrect-ml__rest                          light-solid      component           0.8910    0.89097
  checkerboard__rrect-ml__rest                         checkerboard     component           0.2140    0.50000
  photo__rrect-ml__rest                                photo            component           0.1515    0.21407
  checkerboard__rrect-sm__rest                         checkerboard     component           0.2140    0.50000
  photo__rrect-sm__rest                                photo            component           0.1515    0.21407
  checkerboard__rrect-lg__rest                         checkerboard     component           0.2140    0.50000
  photo__rrect-lg__rest                                photo            component           0.1515    0.21407
  checkerboard__toolbar-group__rest                    checkerboard     component           0.2140    0.50000
  photo__toolbar-group__rest                           photo            component           0.1515    0.21407
  checkerboard__glass-over-glass__rest                 checkerboard     component           0.2140    0.50000
  checkerboard__glass-over-glass__rest                 checkerboard     component-over      0.6970    0.69699
  photo__glass-over-glass__rest                        photo            component           0.1515    0.21407
  photo__glass-over-glass__rest                        photo            component-over      0.6588    0.65882
  checkerboard__capsule-button__pressed                checkerboard     component           0.2140    0.50000
  photo__capsule-button__pressed                       photo            component           0.1515    0.21407
  checkerboard__rrect-md__pressed                      checkerboard     component           0.2140    0.50000
  photo__rrect-md__pressed                             photo            component           0.1515    0.21407
  mid-dark-solid__capsule-button__rest                 mid-dark-solid   component           0.0595    0.05951
  dark-solid__capsule-button__rest-tint-orange         dark-solid       component           0.0117    0.01171
  impulse__capsule-button__rest-tint-orange            impulse          component           0.0003    0.00375
  checkerboard__capsule-button__rest-tint-orange       checkerboard     component           0.2140    0.50000
  photo__capsule-button__rest-tint-orange              photo            component           0.1515    0.21407
  light-solid__capsule-button__rest-tint-orange        light-solid      component           0.8910    0.89097
  photo__capsule-button__rest-tint-blue                photo            component           0.1515    0.21407
  photo__capsule-button__rest-tint-orange-half         photo            component           0.1515    0.21407
