== apple-macos-26.5-2x-light-standard / webgpu  fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/w23-g1/apps/reference-apple/fixtures captures=/Users/new/Developer/GitHub/designer/packages/calibration/web-captures
scene                                        set           bodyN   bodyW |                  rim native T/B/L/R |                     rim web T/B/L/R | clipN
light-solid__capsule-button__rest            calibration  0.9666  0.9724 | +0.0292 +0.0292     -       -   | +0.0165 +0.0165     -       -   |  1.00  1.00   -     -  
dark-solid__capsule-button__rest             calibration  0.0110  0.0117 | +0.0204 +0.0204     -       -   | -0.0000 -0.0000     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest           calibration  0.6152  0.6803 | +0.1633 +0.1570     -       -   | +0.0687 +0.0683     -       -   |  0.00  0.00   -     -  
impulse__capsule-button__rest                validation   0.0067  0.0033 | +0.0159 +0.0161     -       -   | +0.0000 +0.0000     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest                  calibration  0.5772  0.6114 | +0.1134 +0.1144     -       -   | +0.0247 +0.0241     -       -   |  0.00  0.00   -     -  
hc-text__capsule-button__rest                holdout      0.6551  0.7533 | +0.1064 +0.0264     -       -   | -0.0660 -0.1013     -       -   |  0.00  0.00   -     -  
light-solid__rrect-md__rest                  calibration  0.9344  0.9318 | +0.0542 +0.0542 +0.0542 +0.0542 | +0.0426 +0.0426 +0.0426 +0.0426 |  1.00  1.00  1.00  1.00
dark-solid__rrect-md__rest                   calibration  0.4798  0.4955 | +0.2052 +0.2052 +0.2065 +0.2065 | +0.0692 +0.0692 +0.0692 +0.0692 |  0.00  0.00  0.00  0.00
checkerboard__rrect-md__rest                 calibration  0.6800  0.6993 | +0.1417 +0.1414 +0.2248 +0.0633 | +0.0670 +0.0672 +0.3578 -0.2235 |  0.00  0.00  0.00  0.00
impulse__rrect-md__rest                      validation   0.4311  0.4644 | +0.2178 +0.2228 +0.2160 +0.2160 | +0.0661 +0.0794 +0.0645 +0.0677 |  0.00  0.00  0.00  0.00
