== apple-macos-26.5-1x-dark-standard / css  fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/w23-g1/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w23/g3/dryrun/web-captures
scene                                        set           bodyN   bodyW |                  rim native T/B/L/R |                     rim web T/B/L/R | clipN
dark-solid__capsule-button__rest             calibration  0.0110  0.0117 | +0.0200 +0.0200     -       -   | +0.0036 -0.0000     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest           calibration  0.1059  0.0744 | +0.0978 +0.1051     -       -   | +0.0391 -0.0033     -       -   |  0.00  0.00   -     -  
impulse__capsule-button__rest                validation   0.0066  0.0037 | +0.0166 +0.0158     -       -   | +0.0024 -0.0000     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest                  calibration  0.0961  0.0558 | +0.0797 +0.0787     -       -   | +0.0208 -0.0074     -       -   |  0.00  0.00   -     -  
dark-solid__rrect-md__rest                   calibration  0.0153  0.0152 | +0.0256 +0.0256 +0.0258 +0.0258 | +0.0070 -0.0000 +0.0070 -0.0000 |  0.00  0.00  0.00  0.00
checkerboard__rrect-md__rest                 calibration  0.0468  0.0481 | +0.0547 +0.0558 +0.0676 +0.0420 | +0.0273 -0.0029 +0.0256 +0.0040 |  0.00  0.00  0.00  0.00
photo__rrect-md__rest                        calibration  0.0466  0.0398 | +0.0486 +0.0558 +0.0500 +0.1019 | +0.0028 -0.0058 +0.0107 +0.0539 |  0.00  0.00  0.00  0.00
dark-solid__capsule-button__rest-tint-orange calibration  0.4243  0.4275 | +0.1149 +0.1149     -       -   | +0.0331 +0.0001     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest-tint-orange calibration  0.4343  0.4275 | +0.1286 +0.1283     -       -   | +0.0129 +0.0000     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest-tint-orange      calibration  0.4343  0.4275 | +0.1278 +0.1275     -       -   | +0.0097 +0.0001     -       -   |  0.00  0.00   -     -  

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/w23-g1/packages/calibration/results/2026-09-08-w23-collapsed-rim/g3/reads/g3-apple-macos-26.5-1x-dark-standard-css.json
