== apple-macos-26.5-2x-dark-standard / css  fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/w23-g1/apps/reference-apple/fixtures captures=/Users/new/Developer/GitHub/designer/packages/calibration/web-captures
scene                                        set           bodyN   bodyW |                  rim native T/B/L/R |                     rim web T/B/L/R | clipN
dark-solid__capsule-button__rest             calibration  0.0110  0.0117 | +0.0204 +0.0204     -       -   | -0.0000 -0.0000     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest           calibration  0.1074  0.0702 | +0.0982 +0.1040     -       -   | +0.0601 -0.0039     -       -   |  0.00  0.00   -     -  
impulse__capsule-button__rest                validation   0.0067  0.0033 | +0.0159 +0.0161     -       -   | +0.0000 +0.0000     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest                  calibration  0.0966  0.0537 | +0.0758 +0.0754     -       -   | +0.0491 -0.0078     -       -   |  0.00  0.00   -     -  
dark-solid__rrect-md__rest                   calibration  0.0153  0.0130 | +0.0255 +0.0255 +0.0256 +0.0256 | +0.0415 -0.0000 +0.0415 -0.0000 |  0.00  0.00  0.00  0.00
checkerboard__rrect-md__rest                 calibration  0.0475  0.0487 | +0.0518 +0.0540 +0.0653 +0.0427 | +0.0553 -0.0014 +0.0552 +0.0001 |  0.00  0.00  0.00  0.00
photo__rrect-md__rest                        calibration  0.0470  0.0381 | +0.0492 +0.0557 +0.0466 +0.1074 | +0.0325 -0.0057 +0.0421 +0.0577 |  0.00  0.00  0.00  0.00
dark-solid__capsule-button__rest-tint-orange calibration  0.4243  0.4275 | +0.1179 +0.1179     -       -   | +0.0001 +0.0001     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest-tint-orange calibration  0.4345  0.4276 | +0.1270 +0.1278     -       -   | +0.0592 -0.0002     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest-tint-orange      calibration  0.4344  0.4275 | +0.1268 +0.1267     -       -   | +0.0594 +0.0000     -       -   |  0.00  0.00   -     -  

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/w23-g1/packages/calibration/results/2026-09-08-w23-collapsed-rim/g3/reads/landed-apple-macos-26.5-2x-dark-standard-css.json
