== dark-lit2-2x / apple-macos-26.5-2x-dark-standard  fixtures=/Users/new/Developer/GitHub/designer/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w24/g0/ladder/dark-lit2-2x/web-captures
scene                                        set           bodyN   bodyW |                  rim native T/B/L/R |                     rim web T/B/L/R | clipN
dark-solid__capsule-button__rest             calibration  0.0110  0.0117 | +0.0204 +0.0204     -       -   | +0.0164 +0.0164     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest           calibration  0.1074  0.0685 | +0.0982 +0.1040     -       -   | +0.0768 +0.0770     -       -   |  0.00  0.00   -     -  
impulse__capsule-button__rest                validation   0.0067  0.0034 | +0.0159 +0.0161     -       -   | +0.0164 +0.0164     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest                  calibration  0.0966  0.0527 | +0.0758 +0.0754     -       -   | +0.0475 +0.0476     -       -   |  0.00  0.00   -     -  
dark-solid__rrect-md__rest                   calibration  0.0153  0.0130 | +0.0255 +0.0255 +0.0256 +0.0256 | +0.0240 +0.0240 +0.0240 +0.0240 |  0.00  0.00  0.00  0.00
checkerboard__rrect-md__rest                 calibration  0.0475  0.0478 | +0.0518 +0.0540 +0.0653 +0.0427 | +0.0577 +0.0578 +0.1400 -0.0243 |  0.00  0.00  0.00  0.00
photo__rrect-md__rest                        calibration  0.0470  0.0391 | +0.0492 +0.0557 +0.0466 +0.1074 | +0.0335 +0.0422 +0.0468 +0.0733 |  0.00  0.00  0.00  0.00
dark-solid__capsule-button__rest-tint-orange calibration  0.4243  0.4276 | +0.1179 +0.1179     -       -   | +0.1129 +0.1129     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest-tint-orange calibration  0.4345  0.4275 | +0.1270 +0.1278     -       -   | +0.0312 +0.0312     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest-tint-orange      calibration  0.4344  0.4274 | +0.1268 +0.1267     -       -   | +0.0207 +0.0210     -       -   |  0.00  0.00   -     -  

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a22f98cf20d905337/packages/calibration/results/2026-09-09-w24-lit-edge/g0/ladder/dark-lit2-2x-contour.json
