== dark-lit2-2x / apple-macos-26.5-2x-dark-standard   fixtures=/Users/new/Developer/GitHub/designer/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w24/g0/ladder/dark-lit2-2x/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
dark-solid__capsule-button__rest         calibration native  0.0110  0.0256  0.0101  0.0022  0.0101  0.0227  0.0305  0.0333  0.0307  0.0256  0.0101  0.0021  0.0101  0.0227  0.0305  0.0333  0.0307   15.97      NW  0.063
dark-solid__capsule-button__rest         calibration web     0.0117  0.0248  0.0064  0.0006  0.0064  0.0215  0.0339  0.0383  0.0347  0.0248  0.0064  0.0006  0.0064  0.0215  0.0339  0.0383  0.0347   69.58      SE  0.014
checkerboard__capsule-button__rest       calibration native  0.1074  0.4917  0.5929 -0.0412  0.8169  0.8343  0.0600  0.0648  0.2390  0.4607  0.8345  0.8489  0.8572  0.1971  0.2623  0.8661  0.4070     inf      NW -0.048
checkerboard__capsule-button__rest       calibration web     0.0685  0.5368  0.6068 -0.0300  0.8531  0.8663  0.0499  0.0579  0.1957  0.4662  0.8755  0.8874  0.8934  0.1979  0.2932  0.9049  0.4620     inf      NW -0.033
impulse__capsule-button__rest            validation  native  0.0067  0.0191  0.0064  0.0012  0.0065  0.0203  0.0227  0.0231  0.0211  0.0179  0.0064  0.0012  0.0079  0.0194  0.0210  0.0231  0.0211   19.11      SE  0.052
impulse__capsule-button__rest            validation  web     0.0034  0.0245  0.0059  0.0004  0.0059  0.0201  0.0320  0.0365  0.0327  0.0245  0.0059  0.0004  0.0059  0.0201  0.0320  0.0365  0.0327   82.78      SE  0.012
photo__capsule-button__rest              calibration native  0.0966  0.1297  0.1413  0.2799  0.3651  0.3881  0.3388  0.4156  0.3291  0.1327  0.1045  0.0986  0.1060  0.1256  0.1533  0.1499  0.1465    4.21      SE  0.237
photo__capsule-button__rest              calibration web     0.0527  0.1123  0.1638  0.3275  0.4111  0.4319  0.3830  0.4594  0.3704  0.1414  0.1488  0.1424  0.1488  0.1343  0.1628  0.1664  0.1495    4.09      SE  0.245
dark-solid__rrect-md__rest               calibration native  0.0153  0.0328  0.0047  0.0016  0.0059  0.0312  0.0418  0.0408  0.0420  0.0328  0.0047  0.0016  0.0059  0.0312  0.0418  0.0408  0.0420   25.86     NNW  0.039
dark-solid__rrect-md__rest               calibration web     0.0130  0.0360  0.0106  0.0007  0.0107  0.0352  0.0475  0.0589  0.0477  0.0360  0.0105  0.0007  0.0106  0.0352  0.0476  0.0592  0.0479   84.51      NW  0.012
checkerboard__rrect-md__rest             calibration native  0.0475  0.4731  0.8731  0.2652  0.2446  0.4631  0.6696  0.8008  0.7881  0.4358  0.0055  0.0036  0.4389  0.5298  0.8488  0.7291  0.1191  242.02     NNE  0.004
checkerboard__rrect-md__rest             calibration web     0.0478  0.4801  0.8686  0.2736  0.2558  0.4270  0.6731  0.8007  0.7884  0.4388  0.0374  0.0324  0.4474  0.5543  0.8463  0.7224  0.0975   26.78     NNE  0.037
photo__rrect-md__rest                    calibration native  0.0470  0.0928  0.0811  0.1794  0.2355  0.3680  0.2517  0.1858  0.1805  0.1236  0.1394  0.1466  0.1888  0.1032  0.1021  0.1083  0.1078    4.54       E  0.220
photo__rrect-md__rest                    calibration web     0.0391  0.0783  0.0912  0.1836  0.2400  0.3694  0.2344  0.1952  0.1740  0.1256  0.1448  0.1519  0.1931  0.1025  0.1052  0.1318  0.1027    4.72       E  0.212
dark-solid__capsule-button__rest-tint-orange calibration native  0.4243  0.1358  0.0556  0.0131  0.0571  0.1121  0.1533  0.1644  0.1519  0.1358  0.0556  0.0131  0.0571  0.1121  0.1533  0.1644  0.1519   12.52      SE  0.080
dark-solid__capsule-button__rest-tint-orange calibration web     0.4276  0.1695  0.0336  0.0023  0.0343  0.1203  0.2004  0.2378  0.2043  0.1695  0.0336  0.0023  0.0343  0.1200  0.2004  0.2378  0.2043  105.69      SE  0.009
checkerboard__capsule-button__rest-tint-orange calibration native  0.4345  0.3473  0.3781  0.0115  0.5038  0.5178  0.1630  0.1750  0.2220  0.3315  0.5109  0.5218  0.5301  0.1545  0.2127  0.5390  0.3041   46.81      NW  0.021
checkerboard__capsule-button__rest-tint-orange calibration web     0.4275  0.3085  0.3713 -0.0018  0.5160  0.5197  0.0330  0.0419  0.1210  0.2795  0.5210  0.5285  0.5344  0.0804  0.1335  0.5459  0.2500     inf      NW -0.003
photo__capsule-button__rest-tint-orange  calibration native  0.4344  0.1498  0.0604  0.0152  0.0656  0.1371  0.1776  0.1972  0.1796  0.1499  0.0603  0.0135  0.0618  0.1254  0.1682  0.1810  0.1683   14.65      SE  0.068
photo__capsule-button__rest-tint-orange  calibration web     0.4274  0.0430  0.0079 -0.0015  0.0364  0.0670  0.0821  0.1148  0.0877  0.0422  0.0062 -0.0018  0.0064  0.0313  0.0553  0.0637  0.0525     inf      SE -0.015

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a22f98cf20d905337/packages/calibration/results/2026-09-09-w24-lit-edge/g0/ladder/dark-lit2-2x.json
