== light-lit1-1x / apple-macos-26.5-1x-light-standard   fixtures=/Users/new/Developer/GitHub/designer/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w24/g0/ladder/light-lit1-1x/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
light-solid__capsule-button__rest        calibration native  0.9668  0.0332  0.0330  0.0332  0.0328  0.0332  0.0330  0.0325  0.0330  0.0332  0.0330  0.0325  0.0330  0.0332  0.0328  0.0332  0.0328    1.02       N  0.979
light-solid__capsule-button__rest        calibration web     0.9723  0.0277  0.0152 -0.0044  0.0139  0.0272  0.0269  0.0265  0.0277  0.0276  0.0118 -0.0045  0.0130  0.0272  0.0265  0.0272  0.0260     inf     SSE -0.163
dark-solid__capsule-button__rest         calibration native  0.0110  0.0192  0.0070  0.0019  0.0067  0.0182  0.0189  0.0203  0.0199  0.0192  0.0070  0.0017  0.0064  0.0181  0.0193  0.0208  0.0196   12.38      NW  0.081
dark-solid__capsule-button__rest         calibration web     0.0117  0.0168  0.0074  0.0020  0.0076  0.0172  0.0183  0.0204  0.0188  0.0168  0.0078  0.0020  0.0076  0.0171  0.0183  0.0208  0.0178   10.54      NW  0.095
checkerboard__capsule-button__rest       calibration native  0.6133  0.2275  0.1686 -0.1277  0.2177  0.2090  0.0121  0.1762  0.1806  0.2166  0.2163  0.2119  0.2216  0.2101  0.2255  0.2882  0.2354     inf      NW -0.443
checkerboard__capsule-button__rest       calibration web     0.6742  0.2360  0.1056 -0.1608  0.1602  0.1608  0.0227  0.1559  0.1869  0.2299  0.2205  0.1879  0.2316  0.2240  0.2522  0.3219  0.2691     inf      NW -0.499
impulse__capsule-button__rest            validation  native  0.0066  0.0139  0.0029  0.0002  0.0023  0.0115  0.0099  0.0098  0.0105  0.0129  0.0028  0.0002  0.0026  0.0113  0.0092  0.0099  0.0100   85.88       N  0.012
impulse__capsule-button__rest            validation  web     0.0037  0.0165  0.0061  0.0017  0.0062  0.0154  0.0159  0.0167  0.0163  0.0165  0.0065  0.0017  0.0063  0.0154  0.0157  0.0168  0.0153    9.96      NW  0.100
photo__capsule-button__rest              calibration native  0.5766  0.1329  0.0910  0.0810  0.0949  0.1334  0.1277  0.1419  0.1379  0.1311  0.0607  0.0401  0.0584  0.1022  0.0964  0.1123  0.0926    3.54      SE  0.283
photo__capsule-button__rest              calibration web     0.6118  0.1843  0.0810  0.0666  0.0868  0.1774  0.1863  0.2126  0.1913  0.1821  0.0409  0.0087  0.0409  0.1183  0.1267  0.1843  0.1196   24.41      SE  0.041
light-solid__rrect-md__rest              calibration native  0.9345  0.0634  0.0570  0.0610  0.0573  0.0608  0.0578  0.0609  0.0561  0.0629  0.0538  0.0609  0.0550  0.0608  0.0594  0.0604  0.0597    1.18       N  0.849
light-solid__rrect-md__rest              calibration web     0.9317  0.0676  0.0337 -0.0040  0.0355  0.0666  0.0618  0.0645  0.0641  0.0670  0.0342 -0.0036  0.0326  0.0667  0.0640  0.0665  0.0643     inf       N -0.060
