== probe21-base / apple-macos-26.5-1x-dark-standard   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a22f98cf20d905337/packages/calibration/results/2026-09-06-w21-dark-scheme/probe captures=/Users/new/.claude/jobs/5c70e47f/tmp/w24/g0/ladder/probe21-base/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
checkerboard-4__rrect-sm__rest           calibration native  0.0994  0.5004  0.8829  0.8383  0.8054  0.5048  0.5318  0.0288  0.4614  0.4874  0.8566  0.8271  0.7974  0.5044  0.5351  0.0288  0.4646   30.67     NNE  0.033
checkerboard-4__rrect-sm__rest           calibration web     0.0677  0.5001  0.9119  0.9078  0.8348  0.5037  0.4710  0.0246  0.3868  0.4871  0.8883  0.8970  0.8268  0.5038  0.4743  0.0246  0.3933   37.13     NNE  0.027
checkerboard-4__capsule-button__rest     calibration native  0.0998  0.4819  0.7090  0.5125  0.6855  0.5504  0.4048  0.5064  0.3731  0.4690  0.6587  0.4890  0.6717  0.5221  0.4409  0.5221  0.3492    2.03     NNE  0.493
checkerboard-4__capsule-button__rest     calibration web     0.0672  0.4860  0.7236  0.5693  0.7219  0.5527  0.4144  0.5272  0.3633  0.4760  0.6815  0.5460  0.7091  0.5226  0.4552  0.5469  0.3356    2.16     NNE  0.464
checkerboard-4__rrect-md__rest           calibration native  0.0451  0.4769  0.6908  0.6057  0.6852  0.4717  0.4084  0.4204  0.4030  0.4330  0.6114  0.5461  0.6612  0.4687  0.4433  0.4133  0.4421    1.71     NNE  0.583
checkerboard-4__rrect-md__rest           calibration web     0.0474  0.4743  0.7004  0.6795  0.6880  0.4628  0.4052  0.4271  0.3974  0.4313  0.6206  0.6127  0.6653  0.4623  0.4433  0.4188  0.4371    1.76     NNE  0.567
checkerboard-4__rrect-ml__rest           validation  native  0.0458  0.4631  0.5144  0.2285  0.5091  0.4533  0.5067  0.6564  0.4724  0.4010  0.4362  0.2117  0.4661  0.4516  0.5258  0.7254  0.5211    3.43      NW  0.292
checkerboard-4__rrect-ml__rest           validation  web     0.0479  0.4759  0.5478  0.2684  0.5511  0.4724  0.5379  0.6943  0.5106  0.4337  0.4980  0.2674  0.5158  0.4707  0.5472  0.7466  0.5429    2.79      NW  0.358
checkerboard-4__rrect-lg__rest           calibration native  0.0468  0.4607  0.4257  0.2037  0.4035  0.4509  0.5461  0.6508  0.5243  0.3895  0.3481  0.1774  0.3775  0.4486  0.5803  0.7332  0.5903    4.13      NW  0.242
checkerboard-4__rrect-lg__rest           calibration web     0.0487  0.4752  0.4716  0.2439  0.4541  0.4704  0.5763  0.6765  0.5653  0.4279  0.4223  0.2318  0.4369  0.4685  0.6021  0.7408  0.6033    3.20      NW  0.313
checkerboard__rrect-sm__rest             calibration native  0.1070  0.5096  0.0745  0.0685  0.3993  0.3047  0.6800  0.0549  0.0888  0.4991  0.8490  0.8195  0.5514  0.6469  0.7948  0.8197  0.8752   15.95     NNW  0.063
checkerboard__rrect-sm__rest             calibration web     0.0673  0.5265  0.0967  0.0710  0.4371  0.3188  0.6868  0.0466  0.0954  0.5133  0.8887  0.8974  0.5945  0.6634  0.8338  0.9082  0.9123   19.57     NNW  0.051
checkerboard__capsule-button__rest       calibration native  0.1059  0.4853  0.6048 -0.0523  0.7929  0.8190  0.0004  0.0674  0.2228  0.4561  0.7904  0.8396  0.8451  0.1656  0.2009  0.8544  0.3726     inf      NW -0.061
checkerboard__capsule-button__rest       calibration web     0.0674  0.5157  0.6265 -0.0047  0.8368  0.8511  0.0027  0.0281  0.1901  0.4613  0.8397  0.8885  0.8921  0.1631  0.1888  0.9009  0.3707     inf      NW -0.005
checkerboard__rrect-md__rest             calibration native  0.0468  0.4622  0.8584  0.2520  0.2520  0.4459  0.6613  0.7831  0.7840  0.4201  0.0085  0.0072  0.3855  0.4813  0.8074  0.6852  0.0587  119.37     NNE  0.008
checkerboard__rrect-md__rest             calibration web     0.0475  0.4655  0.8623  0.2794  0.2813  0.4236  0.6600  0.7999  0.7839  0.4196  0.0742  0.0565  0.4190  0.4974  0.8099  0.6803  0.0432   19.94     NNE  0.050
checkerboard__rrect-ml__rest             calibration native  0.0468  0.4425  0.5049  0.7964  0.8106  0.4876  0.7501  0.0324  0.4254  0.3840  0.3363  0.7035  0.1908  0.4253  0.1411  0.0504  0.3907   25.06     ENE  0.040
checkerboard__rrect-ml__rest             calibration web     0.0480  0.4648  0.5424  0.8470  0.8479  0.4975  0.7912  0.0435  0.4442  0.4192  0.4139  0.7989  0.2182  0.4385  0.1660  0.0817  0.4067   19.50     ENE  0.051
checkerboard__rrect-lg__rest             calibration native  0.0474  0.4341  0.1606  0.2188  0.4604  0.4323  0.0341  0.4154  0.0335  0.3681  0.6551  0.3220  0.7056  0.3641  0.3617  0.6005  0.7193   21.46     NNW  0.047
checkerboard__rrect-lg__rest             calibration web     0.0487  0.4587  0.1654  0.2226  0.4875  0.4693  0.0067  0.4438  0.0602  0.4108  0.7679  0.4173  0.7983  0.4013  0.3997  0.6737  0.7684  118.58     WSW  0.008
checkerboard-32__rrect-sm__rest          calibration native  0.1114  0.4271 -0.0680 -0.0684  0.6323  0.6331  0.5766  0.7987  0.8446  0.5015  0.0296  0.0127  0.6558  0.4111  0.6506  0.8153  0.8709     inf     NNW -0.079
checkerboard-32__rrect-sm__rest          calibration web     0.0676  0.4620 -0.0092 -0.0206  0.6778  0.6886  0.6442  0.8971  0.8883  0.5180  0.0958  0.0591  0.6833  0.3842  0.6756  0.9079  0.9119     inf     NNW -0.023
checkerboard-32__capsule-button__rest    calibration native  0.1124  0.4484  0.8691  0.8458  0.8509  0.8122  0.1125  0.1285  0.1158  0.4950  0.8429  0.8368  0.8418  0.0451 -0.0227 -0.0301 -0.0082     inf     NNE -0.035
