== probe9-base / apple-macos-26.5-1x-light-standard   fixtures=/Users/new/.claude/jobs/5c70e47f/tmp/w9-probe-fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w24/g0/ladder/probe9-base/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
checkerboard-4__rrect-sm__rest           calibration native  0.6053  0.2309  0.2769  0.2623  0.2434  0.1959  0.2240  0.0626  0.2085  0.1741  0.1694  0.1897  0.2006  0.1929  0.2443  0.0626  0.2404    4.42     NNE  0.226
checkerboard-4__rrect-sm__rest           calibration web     0.6729  0.2018  0.2185  0.2765  0.1963  0.1822  0.2047  0.0413  0.1983  0.1780  0.1266  0.2445  0.1585  0.1813  0.2261  0.0413  0.2333    6.70      NE  0.149
checkerboard-4__capsule-button__rest     calibration native  0.6059  0.2118  0.2460  0.1978  0.2097  0.1970  0.1596  0.1577  0.1398  0.1631  0.1502  0.1456  0.1703  0.1972  0.1802  0.2007  0.1745    1.76     NNE  0.568
checkerboard-4__capsule-button__rest     calibration web     0.6745  0.1796  0.2042  0.2268  0.1897  0.1858  0.1432  0.1363  0.1275  0.1769  0.1629  0.1939  0.1719  0.1870  0.1622  0.1733  0.1499    1.78      NE  0.562
checkerboard-4__rrect-md__rest           calibration native  0.6781  0.1877  0.1813  0.1726  0.1724  0.1636  0.1209  0.0989  0.1179  0.1489  0.0994  0.1214  0.1395  0.1613  0.1331  0.1286  0.1486    1.90       N  0.527
checkerboard-4__rrect-md__rest           calibration web     0.6929  0.1932  0.1966  0.2556  0.1780  0.1779  0.1538  0.0741  0.1498  0.1716  0.1538  0.2174  0.1580  0.1765  0.1722  0.1050  0.1721    3.45      NE  0.290
checkerboard-4__rrect-ml__rest           validation  native  0.6921  0.1706  0.1294  0.0728  0.1066  0.1466  0.1430  0.1600  0.1381  0.1399  0.0581  0.0455  0.0811  0.1452  0.1599  0.1906  0.1558    4.19      NW  0.238
checkerboard-4__rrect-ml__rest           validation  web     0.6931  0.1853  0.1683  0.1170  0.1542  0.1724  0.1395  0.1987  0.1329  0.1690  0.1409  0.1048  0.1547  0.1713  0.1546  0.2362  0.1656    2.25      NW  0.444
checkerboard-4__rrect-lg__rest           calibration native  0.7057  0.1653  0.1158  0.0690  0.0964  0.1412  0.1397  0.1676  0.1290  0.1362  0.0574  0.0427  0.0750  0.1393  0.1590  0.1940  0.1673    4.55      NW  0.220
checkerboard-4__rrect-lg__rest           calibration web     0.6931  0.1793  0.1608  0.0977  0.1424  0.1681  0.1565  0.1871  0.1459  0.1677  0.1228  0.0831  0.1296  0.1677  0.1718  0.2334  0.1872    2.81      NW  0.356
checkerboard-32__rrect-sm__rest          calibration native  0.6202  0.1577 -0.1740 -0.1684  0.1414  0.1923  0.1947  0.1996  0.2026  0.2092  0.0885  0.0661  0.1811  0.2385  0.2831  0.2872  0.3065     inf     NNW -0.568
checkerboard-32__rrect-sm__rest          calibration web     0.6732  0.1721 -0.0966 -0.1375  0.1336  0.1951  0.2548  0.2077  0.2058  0.2423  0.2177  0.0772  0.1300  0.2610  0.3122  0.3134  0.3159     inf     NNW -0.435
