== apple-macos-26.5-1x-dark-standard / webgpu / before   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/w24-g2/apps/reference-apple/fixtures captures=/Users/new/Developer/GitHub/designer/packages/calibration/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
dark-solid__capsule-button__rest         calibration native  0.0110  0.0192  0.0070  0.0019  0.0067  0.0182  0.0189  0.0203  0.0199  0.0192  0.0070  0.0017  0.0064  0.0181  0.0193  0.0208  0.0196   12.38      NW  0.081
dark-solid__capsule-button__rest         calibration web     0.0118  0.0168  0.0134  0.0150  0.0140  0.0173  0.0141  0.0147  0.0144  0.0168  0.0144  0.0147  0.0141  0.0173  0.0140  0.0150  0.0137    1.29       E  0.778
checkerboard__capsule-button__rest       calibration native  0.1059  0.4853  0.6048 -0.0523  0.7929  0.8190  0.0004  0.0674  0.2228  0.4561  0.7904  0.8396  0.8451  0.1656  0.2009  0.8544  0.3726     inf      NW -0.061
checkerboard__capsule-button__rest       calibration web     0.0674  0.5157  0.6265 -0.0047  0.8368  0.8511  0.0027  0.0281  0.1901  0.4613  0.8397  0.8885  0.8921  0.1631  0.1888  0.9009  0.3707     inf      NW -0.005
impulse__capsule-button__rest            validation  native  0.0066  0.0139  0.0029  0.0002  0.0023  0.0115  0.0099  0.0098  0.0105  0.0129  0.0028  0.0002  0.0026  0.0113  0.0092  0.0099  0.0100   85.88       N  0.012
impulse__capsule-button__rest            validation  web     0.0037  0.0165  0.0115  0.0119  0.0118  0.0154  0.0120  0.0119  0.0123  0.0165  0.0123  0.0119  0.0120  0.0154  0.0118  0.0119  0.0116    1.43       S  0.698
photo__capsule-button__rest              calibration native  0.0961  0.1024  0.1266  0.2642  0.3588  0.3756  0.3333  0.4097  0.3229  0.1164  0.1037  0.0988  0.1074  0.1087  0.1270  0.0978  0.0995    4.19      SE  0.239
photo__capsule-button__rest              calibration web     0.0528  0.1065  0.1567  0.3119  0.4060  0.4201  0.3778  0.4562  0.3626  0.1408  0.1474  0.1427  0.1482  0.1246  0.1125  0.0869  0.0855    5.34      SE  0.187
dark-solid__rrect-md__rest               calibration native  0.0153  0.0244  0.0028  0.0012  0.0035  0.0234  0.0230  0.0234  0.0243  0.0244  0.0027  0.0012  0.0032  0.0235  0.0246  0.0245  0.0238   21.07     WNW  0.047
dark-solid__rrect-md__rest               calibration web     0.0130  0.0251  0.0210  0.0205  0.0215  0.0248  0.0203  0.0201  0.0215  0.0250  0.0216  0.0205  0.0211  0.0248  0.0215  0.0212  0.0206    1.25       N  0.803
checkerboard__rrect-md__rest             calibration native  0.0468  0.4622  0.8584  0.2520  0.2520  0.4459  0.6613  0.7831  0.7840  0.4201  0.0085  0.0072  0.3855  0.4813  0.8074  0.6852  0.0587  119.37     NNE  0.008
