== apple-macos-26.5-1x-light-increased-contrast / css / after   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/w24-g2/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w24/g2/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
checkerboard__capsule-button__rest       calibration native  0.9783  0.0087  0.0129  0.0129  0.0129  0.0129  0.0129  0.0129  0.0129  0.0086 -0.0039 -0.0150 -0.0138 -0.0155 -0.0145 -0.0148 -0.0010     inf     NNE -1.208
checkerboard__capsule-button__rest       calibration web     0.9511  0.0467  0.0474  0.0230  0.0143  0.0108 -0.0337 -0.0292  0.0157  0.0204  0.0080  0.0370  0.0489  0.0436  0.0430  0.0489  0.0453     inf     WSW -0.690
photo__capsule-button__rest              calibration native  0.9820  0.0066 -0.0041 -0.0089 -0.0104 -0.0119 -0.0108 -0.0102 -0.0059  0.0063  0.0091  0.0091  0.0091  0.0091  0.0091  0.0091  0.0091     inf     SSW -1.300
photo__capsule-button__rest              calibration web     0.9128  0.0797  0.0846  0.0649  0.0249  0.0211  0.0166  0.0258  0.0198  0.0044 -0.0036  0.0560  0.0798  0.0785  0.0787  0.0789  0.0787     inf     NNE -0.042
hc-text__capsule-button__rest            holdout     native  0.9406  0.0126  0.0067  0.0000  0.0076  0.0092  0.0179  0.0151  0.0297  0.0385  0.0313  0.0226  0.0195  0.0156  0.0114  0.0065  0.0117 1246.25       S  0.001
hc-text__capsule-button__rest            holdout     web     0.9700  0.0300  0.0300  0.0279  0.0229 -0.0043  0.0193  0.0005  0.0195  0.0211  0.0154  0.0181  0.0300  0.0300  0.0297  0.0300  0.0300     inf       N -0.143
checkerboard__rrect-md__rest             calibration native  0.9853  0.0030 -0.0147 -0.0090 -0.0186 -0.0086 -0.0178 -0.0115 -0.0152  0.0030  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058     inf     SSW -3.226
checkerboard__rrect-md__rest             calibration web     0.9448  0.0552  0.0549  0.0332 -0.0045  0.0136 -0.0009  0.0198  0.0155 -0.0016 -0.0283  0.0253  0.0521  0.0521  0.0552  0.0546  0.0546     inf       N -0.512
photo__rrect-md__rest                    calibration native  0.9915 -0.0013 -0.0099 -0.0104 -0.0109 -0.0067 -0.0059 -0.0052 -0.0041 -0.0014 -0.0034 -0.0047 -0.0028 -0.0013 -0.0004 -0.0004 -0.0004     inf     WNW 26.029
photo__rrect-md__rest                    calibration web     0.9083  0.0832  0.0825  0.0618  0.0159  0.0239  0.0016 -0.0035 -0.0023 -0.0002 -0.0049  0.0641  0.0842  0.0837  0.0835  0.0829  0.0830     inf     WSW -0.058
photo__rrect-lg__rest                    holdout     native  0.9860  0.0040 -0.0087 -0.0113 -0.0128 -0.0074 -0.0056 -0.0039 -0.0014  0.0045  0.0051  0.0051  0.0051  0.0051  0.0051  0.0051  0.0051     inf     SSW -2.525
photo__rrect-lg__rest                    holdout     web     0.9029  0.0889  0.0880  0.0509 -0.0144  0.0183 -0.0176 -0.0356 -0.0244 -0.0049 -0.0264  0.0464  0.0880  0.0911  0.0881  0.0882  0.0874     inf       W -0.391
checkerboard__capsule-button__rest-tint-orange calibration native  0.4217  0.0265  0.2808  0.0027  0.3059  0.0455  0.0027  0.0027  0.0801  0.2149  0.2708  0.2531  0.3124  0.0184  0.0550  0.2747  0.1315  116.79     WSW  0.009
checkerboard__capsule-button__rest-tint-orange calibration web     0.4267  0.5337  0.5337  0.3784  0.0407 -0.0010 -0.0010 -0.0010 -0.0010 -0.0010  0.0398  0.3756  0.5337  0.5337  0.5306  0.5337  0.5334     inf     NNE -0.002
photo__capsule-button__rest-tint-orange  calibration native  0.4222  0.0018  0.0002 -0.0023  0.0073 -0.0021 -0.0022  0.0159  0.0031  0.0018  0.0022  0.0022  0.0022  0.0022  0.0022  0.0022  0.0022     inf      SE -0.142
photo__capsule-button__rest-tint-orange  calibration web     0.4235  0.5369  0.5369  0.3811  0.0412 -0.0010 -0.0010 -0.0010 -0.0010 -0.0010  0.0401  0.3783  0.5369  0.5369  0.5338  0.5369  0.5348     inf       N -0.002

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/w24-g2/packages/calibration/results/2026-09-09-w24-lit-edge/g2/canonical-reads/apple-macos-26.5-1x-light-increased-contrast-css-after-angular.json
