== apple-macos-26.5-1x-light-increased-contrast / css / before   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/w24-g2/apps/reference-apple/fixtures captures=/Users/new/Developer/GitHub/designer/packages/calibration/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
checkerboard__capsule-button__rest       calibration native  0.9783  0.0087  0.0129  0.0129  0.0129  0.0129  0.0129  0.0129  0.0129  0.0086 -0.0039 -0.0150 -0.0138 -0.0155 -0.0145 -0.0148 -0.0010     inf     NNE -1.208
checkerboard__capsule-button__rest       calibration web     0.9520  0.0458  0.0475  0.0226  0.0135  0.0100 -0.0323 -0.0286  0.0161  0.0198  0.0076  0.0362  0.0480  0.0427  0.0422  0.0480  0.0445     inf     WSW -0.673
photo__capsule-button__rest              calibration native  0.9820  0.0066 -0.0041 -0.0089 -0.0104 -0.0119 -0.0108 -0.0102 -0.0059  0.0063  0.0091  0.0091  0.0091  0.0091  0.0091  0.0091  0.0091     inf     SSW -1.300
photo__capsule-button__rest              calibration web     0.9140  0.0796  0.0834  0.0653  0.0258  0.0210  0.0189  0.0257  0.0196  0.0041 -0.0043  0.0552  0.0788  0.0775  0.0775  0.0777  0.0775     inf     NNE -0.052
hc-text__capsule-button__rest            holdout     native  0.9406  0.0126  0.0067  0.0000  0.0076  0.0092  0.0179  0.0151  0.0297  0.0385  0.0313  0.0226  0.0195  0.0156  0.0114  0.0065  0.0117 1246.25       S  0.001
hc-text__capsule-button__rest            holdout     web     0.9713  0.0287  0.0287  0.0266  0.0216 -0.0046  0.0180 -0.0001  0.0198  0.0198  0.0190  0.0178  0.0287  0.0287  0.0285  0.0287  0.0287     inf       N -0.159
checkerboard__rrect-md__rest             calibration native  0.9853  0.0030 -0.0147 -0.0090 -0.0186 -0.0086 -0.0178 -0.0115 -0.0152  0.0030  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058     inf     SSW -3.226
checkerboard__rrect-md__rest             calibration web     0.9453  0.0547  0.0544  0.0327 -0.0049  0.0137 -0.0013  0.0194  0.0161 -0.0014 -0.0274  0.0248  0.0516  0.0516  0.0547  0.0541  0.0541     inf     WNW -0.501
photo__rrect-md__rest                    calibration native  0.9915 -0.0013 -0.0099 -0.0104 -0.0109 -0.0067 -0.0059 -0.0052 -0.0041 -0.0014 -0.0034 -0.0047 -0.0028 -0.0013 -0.0004 -0.0004 -0.0004     inf     WNW 26.029
photo__rrect-md__rest                    calibration web     0.9086  0.0829  0.0821  0.0614  0.0165  0.0239  0.0020 -0.0039 -0.0025 -0.0004 -0.0045  0.0638  0.0839  0.0833  0.0831  0.0826  0.0826     inf     WSW -0.054
photo__rrect-lg__rest                    holdout     native  0.9860  0.0040 -0.0087 -0.0113 -0.0128 -0.0074 -0.0056 -0.0039 -0.0014  0.0045  0.0051  0.0051  0.0051  0.0051  0.0051  0.0051  0.0051     inf     SSW -2.525
photo__rrect-lg__rest                    holdout     web     0.9031  0.0887  0.0878  0.0507 -0.0146  0.0182 -0.0178 -0.0352 -0.0246 -0.0049 -0.0266  0.0462  0.0878  0.0909  0.0879  0.0880  0.0872     inf       W -0.387
checkerboard__capsule-button__rest-tint-orange calibration native  0.4217  0.0265  0.2808  0.0027  0.3059  0.0455  0.0027  0.0027  0.0801  0.2149  0.2708  0.2531  0.3124  0.0184  0.0550  0.2747  0.1315  116.79     WSW  0.009
checkerboard__capsule-button__rest-tint-orange calibration web     0.4267  0.5337  0.5337  0.3784  0.0407 -0.0010 -0.0010 -0.0010 -0.0010 -0.0010  0.0398  0.3756  0.5337  0.5337  0.5306  0.5337  0.5334     inf     NNE -0.002
photo__capsule-button__rest-tint-orange  calibration native  0.4222  0.0018  0.0002 -0.0023  0.0073 -0.0021 -0.0022  0.0159  0.0031  0.0018  0.0022  0.0022  0.0022  0.0022  0.0022  0.0022  0.0022     inf      SE -0.142
photo__capsule-button__rest-tint-orange  calibration web     0.4235  0.5369  0.5369  0.3811  0.0412 -0.0010 -0.0010 -0.0010 -0.0010 -0.0010  0.0401  0.3783  0.5369  0.5369  0.5338  0.5369  0.5348     inf       N -0.002

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/w24-g2/packages/calibration/results/2026-09-09-w24-lit-edge/g2/canonical-reads/apple-macos-26.5-1x-light-increased-contrast-css-before-angular.json
