== apple-macos-26.5-1x-light-reduced-transparency / css / before   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/w24-g2/apps/reference-apple/fixtures captures=/Users/new/Developer/GitHub/designer/packages/calibration/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
checkerboard__capsule-button__rest       calibration native  0.8880  0.0783  0.0705  0.0548  0.0683  0.0795  0.0663  0.0592  0.0681  0.0772  0.0621  0.0636  0.0672  0.0475  0.0646  0.0809  0.0634    1.70      NW  0.587
checkerboard__capsule-button__rest       calibration web     0.9310  0.0126  0.0154 -0.0162  0.0190  0.0158 -0.0374 -0.0338  0.0051  0.0217  0.0112  0.0319  0.0334 -0.0217 -0.0208  0.0298 -0.0037     inf     WSW -1.120
photo__capsule-button__rest              calibration native  0.8917  0.0683  0.0523  0.0530  0.0572  0.0443  0.0580  0.0556  0.0566  0.0685  0.0530  0.0489  0.0585  0.0463  0.0590  0.0588  0.0561    1.54       S  0.647
photo__capsule-button__rest              calibration web     0.8931  0.0168  0.0118  0.0213  0.0260  0.0191  0.0176  0.0253  0.0214  0.0194 -0.0008 -0.0017 -0.0064 -0.0060 -0.0057 -0.0075 -0.0089     inf     ENE -0.344
hc-text__capsule-button__rest            holdout     native  0.8879  0.0839  0.0716  0.0654  0.0684  0.0541  0.0772  0.0598  0.0777  0.0816  0.0678  0.0519  0.0674  0.0556  0.0752  0.0728  0.0831    1.62       N  0.619
hc-text__capsule-button__rest            holdout     web     0.9446  0.0413  0.0465  0.0465  0.0424 -0.0064  0.0183 -0.0010  0.0211  0.0363  0.0183 -0.0057  0.0106 -0.0098  0.0074 -0.0057  0.0231     inf     NNE -0.212
checkerboard__rrect-md__rest             calibration native  0.8880  0.0815  0.0694  0.0634  0.0583  0.0760  0.0673  0.0787  0.0776  0.0800  0.0549  0.0630  0.0608  0.0753  0.0829  0.0808  0.0611    1.51     WNW  0.661
checkerboard__rrect-md__rest             calibration web     0.9333  0.0143  0.0151 -0.0090 -0.0131  0.0138  0.0035  0.0297  0.0249  0.0092 -0.0323 -0.0411 -0.0031  0.0056  0.0289  0.0205 -0.0012     inf      SE -1.382
photo__rrect-md__rest                    calibration native  0.8921  0.0705  0.0522  0.0604  0.0543  0.0612  0.0550  0.0671  0.0536  0.0684  0.0412  0.0467  0.0422  0.0585  0.0534  0.0603  0.0520    1.71       N  0.584
photo__rrect-md__rest                    calibration web     0.8961  0.0090 -0.0014  0.0048  0.0121  0.0337  0.0040 -0.0054 -0.0032  0.0153 -0.0063 -0.0035  0.0003  0.0075 -0.0163 -0.0169 -0.0166     inf       E -0.500
photo__rrect-lg__rest                    holdout     native  0.8893  0.0736  0.0543  0.0578  0.0550  0.0640  0.0564  0.0595  0.0582  0.0737  0.0549  0.0557  0.0528  0.0698  0.0584  0.0620  0.0569    1.40       S  0.716
photo__rrect-lg__rest                    holdout     web     0.8940  0.0076 -0.0181 -0.0162 -0.0145  0.0313 -0.0154 -0.0325 -0.0217  0.0125 -0.0236 -0.0272 -0.0224  0.0188 -0.0349 -0.0425 -0.0400     inf       E -1.359
photo__capsule-button__rest-tint-orange  calibration native  0.4091  0.1438  0.0514  0.0226  0.0866  0.1582  0.1799  0.2191  0.1824  0.1459  0.0515  0.0123  0.0509  0.1392  0.1361  0.1296  0.1312   17.85      SE  0.056
photo__capsule-button__rest-tint-orange  calibration web     0.4138  0.0216  0.0268  0.0264  0.0175  0.0018  0.0021  0.0003  0.0023  0.0191  0.0157  0.0210  0.0282  0.0279  0.0240  0.0167  0.0210  107.74     WSW  0.009

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/w24-g2/packages/calibration/results/2026-09-09-w24-lit-edge/g2/canonical-reads/apple-macos-26.5-1x-light-reduced-transparency-css-before-angular.json
