== apple-macos-26.5-1x-light-reduced-transparency / webgpu / before   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/w24-g2/apps/reference-apple/fixtures captures=/Users/new/Developer/GitHub/designer/packages/calibration/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
checkerboard__capsule-button__rest       calibration native  0.8880  0.0783  0.0705  0.0548  0.0683  0.0795  0.0663  0.0592  0.0681  0.0772  0.0621  0.0636  0.0672  0.0475  0.0646  0.0809  0.0634    1.70      NW  0.587
checkerboard__capsule-button__rest       calibration web     0.9321  0.0639  0.0612  0.0599  0.0672  0.0667  0.0192  0.0459  0.0578  0.0666  0.0412  0.0654  0.0646 -0.0035  0.0060  0.0674  0.0290     inf      NW -0.052
photo__capsule-button__rest              calibration native  0.8917  0.0683  0.0523  0.0530  0.0572  0.0443  0.0580  0.0556  0.0566  0.0685  0.0530  0.0489  0.0585  0.0463  0.0590  0.0588  0.0561    1.54       S  0.647
photo__capsule-button__rest              calibration web     0.8930  0.0987  0.0526  0.0837  0.0637  0.0595  0.0611  0.0823  0.0618  0.0986  0.0420  0.0662  0.0433  0.0411  0.0437  0.0667  0.0383    2.57       N  0.388
hc-text__capsule-button__rest            holdout     native  0.8879  0.0839  0.0716  0.0654  0.0684  0.0541  0.0772  0.0598  0.0777  0.0816  0.0678  0.0519  0.0674  0.0556  0.0752  0.0728  0.0831    1.62       N  0.619
hc-text__capsule-button__rest            holdout     web     0.9422  0.0578  0.0570  0.0578  0.0576  0.0229  0.0557  0.0510  0.0484  0.0578  0.0474  0.0500  0.0547  0.0195  0.0528  0.0490  0.0502    2.96       N  0.338
checkerboard__rrect-md__rest             calibration native  0.8880  0.0815  0.0694  0.0634  0.0583  0.0760  0.0673  0.0787  0.0776  0.0800  0.0549  0.0630  0.0608  0.0753  0.0829  0.0808  0.0611    1.51     WNW  0.661
checkerboard__rrect-md__rest             calibration web     0.9331  0.0649  0.0655  0.0131  0.0314  0.0537  0.0340  0.0581  0.0606  0.0610  0.0408  0.0444  0.0622  0.0604  0.0635  0.0642  0.0369    4.98     NNE  0.201
photo__rrect-md__rest                    calibration native  0.8921  0.0705  0.0522  0.0604  0.0543  0.0612  0.0550  0.0671  0.0536  0.0684  0.0412  0.0467  0.0422  0.0585  0.0534  0.0603  0.0520    1.71       N  0.584
photo__rrect-md__rest                    calibration web     0.8957  0.0889  0.0607  0.0540  0.0706  0.0836  0.0670  0.0481  0.0596  0.0897  0.0558  0.0408  0.0581  0.0807  0.0464  0.0253  0.0465    3.55       S  0.282
photo__rrect-lg__rest                    holdout     native  0.8893  0.0736  0.0543  0.0578  0.0550  0.0640  0.0564  0.0595  0.0582  0.0737  0.0549  0.0557  0.0528  0.0698  0.0584  0.0620  0.0569    1.40       S  0.716
photo__rrect-lg__rest                    holdout     web     0.8952  0.0885  0.0485  0.0616  0.0521  0.0831  0.0602  0.0605  0.0549  0.0898  0.0460  0.0519  0.0437  0.0818  0.0427  0.0424  0.0334    2.68       S  0.372
photo__capsule-button__rest-tint-orange  calibration native  0.4091  0.1438  0.0514  0.0226  0.0866  0.1582  0.1799  0.2191  0.1824  0.1459  0.0515  0.0123  0.0509  0.1392  0.1361  0.1296  0.1312   17.85      SE  0.056
photo__capsule-button__rest-tint-orange  calibration web     0.4126  0.0668  0.0390  0.0485  0.0650  0.0861  0.0656  0.0803  0.0722  0.0681  0.0404  0.0449  0.0420  0.0538  0.0373  0.0467  0.0353    2.43       E  0.411

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/w24-g2/packages/calibration/results/2026-09-09-w24-lit-edge/g2/canonical-reads/apple-macos-26.5-1x-light-reduced-transparency-webgpu-before-angular.json
