== apple-macos-26.5-2x-dark-standard / webgpu / after   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/w24-g2/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w24/g2/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
dark-solid__capsule-button__rest         calibration native  0.0110  0.0256  0.0101  0.0022  0.0101  0.0227  0.0305  0.0333  0.0307  0.0256  0.0101  0.0021  0.0101  0.0227  0.0305  0.0333  0.0307   15.97      NW  0.063
dark-solid__capsule-button__rest         calibration web     0.0117  0.0248  0.0103  0.0023  0.0102  0.0214  0.0271  0.0289  0.0277  0.0248  0.0103  0.0023  0.0102  0.0214  0.0271  0.0289  0.0277   12.48      SE  0.080
checkerboard__capsule-button__rest       calibration native  0.1074  0.4917  0.5929 -0.0412  0.8169  0.8343  0.0600  0.0648  0.2390  0.4607  0.8345  0.8489  0.8572  0.1971  0.2623  0.8661  0.4070     inf      NW -0.048
checkerboard__capsule-button__rest       calibration web     0.0685  0.5363  0.6110 -0.0259  0.8538  0.8659  0.0330  0.0378  0.1902  0.4662  0.8759  0.8875  0.8934  0.1960  0.2583  0.9049  0.4406     inf      NW -0.029
impulse__capsule-button__rest            validation  native  0.0067  0.0191  0.0064  0.0012  0.0065  0.0203  0.0227  0.0231  0.0211  0.0179  0.0064  0.0012  0.0079  0.0194  0.0210  0.0231  0.0211   19.11      SE  0.052
impulse__capsule-button__rest            validation  web     0.0034  0.0262  0.0092  0.0016  0.0091  0.0195  0.0253  0.0269  0.0259  0.0247  0.0092  0.0016  0.0091  0.0195  0.0253  0.0269  0.0259   16.58      SE  0.060
photo__capsule-button__rest              calibration native  0.0966  0.1297  0.1413  0.2799  0.3651  0.3881  0.3388  0.4156  0.3291  0.1327  0.1045  0.0986  0.1060  0.1256  0.1533  0.1499  0.1465    4.21      SE  0.237
photo__capsule-button__rest              calibration web     0.0527  0.1124  0.1641  0.3276  0.4111  0.4320  0.3830  0.4594  0.3705  0.1414  0.1488  0.1425  0.1488  0.1322  0.1402  0.1308  0.1227    4.09      SE  0.245
dark-solid__rrect-md__rest               calibration native  0.0153  0.0328  0.0047  0.0016  0.0059  0.0312  0.0418  0.0408  0.0420  0.0328  0.0047  0.0016  0.0059  0.0312  0.0418  0.0408  0.0420   25.86     NNW  0.039
dark-solid__rrect-md__rest               calibration web     0.0130  0.0360  0.0159  0.0034  0.0159  0.0352  0.0389  0.0442  0.0391  0.0360  0.0158  0.0032  0.0159  0.0352  0.0390  0.0445  0.0393   13.73      NW  0.073
checkerboard__rrect-md__rest             calibration native  0.0475  0.4731  0.8731  0.2652  0.2446  0.4631  0.6696  0.8008  0.7881  0.4358  0.0055  0.0036  0.4389  0.5298  0.8488  0.7291  0.1191  242.02     NNE  0.004
checkerboard__rrect-md__rest             calibration web     0.0478  0.4803  0.8686  0.2766  0.2618  0.4271  0.6686  0.8007  0.7884  0.4384  0.0489  0.0328  0.4481  0.5544  0.8463  0.7161  0.0805   26.49     NNE  0.038
photo__rrect-md__rest                    calibration native  0.0470  0.0928  0.0811  0.1794  0.2355  0.3680  0.2517  0.1858  0.1805  0.1236  0.1394  0.1466  0.1888  0.1032  0.1021  0.1083  0.1078    4.54       E  0.220
photo__rrect-md__rest                    calibration web     0.0391  0.0783  0.0957  0.1836  0.2400  0.3694  0.2276  0.1595  0.1530  0.1255  0.1448  0.1519  0.1931  0.1019  0.0866  0.1011  0.0841    4.72       E  0.212
photo__rrect-lg__rest                    holdout     native  0.0455  0.0810  0.0954  0.1563  0.1427  0.2812  0.1959  0.1557  0.1569  0.0971  0.1233  0.1215  0.1284  0.2301  0.1028  0.0817  0.0698    4.03       E  0.248
photo__rrect-lg__rest                    holdout     web     0.0405  0.0785  0.1098  0.1645  0.1514  0.2977  0.1867  0.1660  0.1613  0.1061  0.1378  0.1316  0.1364  0.2462  0.0968  0.0926  0.0691    4.31       E  0.232
mid-dark-solid__capsule-button__rest     holdout     native  0.0285  0.0531  0.0320  0.0293  0.0324  0.0521  0.0666  0.0711  0.0662  0.0529  0.0315  0.0293  0.0323  0.0521  0.0667  0.0712  0.0665    2.43      NW  0.411
mid-dark-solid__capsule-button__rest     holdout     web     0.0285  0.0599  0.0344  0.0293  0.0344  0.0580  0.0723  0.0780  0.0733  0.0598  0.0342  0.0293  0.0343  0.0580  0.0724  0.0780  0.0734    2.66      SE  0.376
dark-solid__capsule-button__rest-tint-orange calibration native  0.4243  0.1358  0.0556  0.0131  0.0571  0.1121  0.1533  0.1644  0.1519  0.1358  0.0556  0.0131  0.0571  0.1121  0.1533  0.1644  0.1519   12.52      SE  0.080
dark-solid__capsule-button__rest-tint-orange calibration web     0.4275  0.1695  0.0541  0.0133  0.0550  0.1199  0.1585  0.1786  0.1611  0.1695  0.0541  0.0133  0.0550  0.1199  0.1585  0.1786  0.1611   13.42      SE  0.074
checkerboard__capsule-button__rest-tint-orange calibration native  0.4345  0.3473  0.3781  0.0115  0.5038  0.5178  0.1630  0.1750  0.2220  0.3315  0.5109  0.5218  0.5301  0.1545  0.2127  0.5390  0.3041   46.81      NW  0.021
checkerboard__capsule-button__rest-tint-orange calibration web     0.4275  0.3082  0.3730 -0.0003  0.5163  0.5195  0.0261  0.0302  0.1149  0.2795  0.5212  0.5285  0.5344  0.0796  0.1163  0.5460  0.2398     inf      NW -0.001
photo__capsule-button__rest-tint-orange  calibration native  0.4344  0.1498  0.0604  0.0152  0.0656  0.1371  0.1776  0.1972  0.1796  0.1499  0.0603  0.0135  0.0618  0.1254  0.1682  0.1810  0.1683   14.65      SE  0.068
photo__capsule-button__rest-tint-orange  calibration web     0.4274  0.0431  0.0145  0.0015  0.0368  0.0646  0.0631  0.0916  0.0692  0.0421  0.0116  0.0002  0.0120  0.0306  0.0425  0.0472  0.0397  379.27      SE  0.003

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/w24-g2/packages/calibration/results/2026-09-09-w24-lit-edge/g2/canonical-reads/apple-macos-26.5-2x-dark-standard-webgpu-after-angular.json
