== apple-macos-26.5-2x-light-standard / webgpu / after   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/w24-g2/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w24/g2/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
light-solid__capsule-button__rest        calibration native  0.9666  0.0334  0.0328  0.0328  0.0331  0.0334  0.0331  0.0328  0.0328  0.0334  0.0327  0.0324  0.0331  0.0334  0.0331  0.0328  0.0330    1.03       E  0.971
light-solid__capsule-button__rest        calibration web     0.9723  0.0277  0.0241 -0.0029  0.0239  0.0277  0.0277  0.0277  0.0277  0.0277  0.0234 -0.0029  0.0234  0.0277  0.0277  0.0277  0.0277     inf       E -0.106
dark-solid__capsule-button__rest         calibration native  0.0110  0.0256  0.0101  0.0022  0.0101  0.0227  0.0305  0.0333  0.0307  0.0256  0.0101  0.0021  0.0101  0.0227  0.0305  0.0333  0.0307   15.97      NW  0.063
dark-solid__capsule-button__rest         calibration web     0.0117  0.0248  0.0103  0.0023  0.0102  0.0214  0.0271  0.0289  0.0277  0.0248  0.0103  0.0023  0.0102  0.0214  0.0271  0.0289  0.0277   12.48      SE  0.080
checkerboard__capsule-button__rest       calibration native  0.6152  0.2325  0.1755 -0.0967  0.2195  0.2247  0.1368  0.1732  0.2114  0.2473  0.2292  0.2090  0.2370  0.2281  0.2561  0.3017  0.2511     inf      NW -0.320
checkerboard__capsule-button__rest       calibration web     0.6804  0.2620  0.1051 -0.1475  0.1552  0.2045  0.1301  0.2026  0.2179  0.2572  0.2623  0.1995  0.2482  0.2835  0.3077  0.3195  0.3072     inf      NW -0.462
impulse__capsule-button__rest            validation  native  0.0067  0.0191  0.0064  0.0012  0.0065  0.0203  0.0227  0.0231  0.0211  0.0179  0.0064  0.0012  0.0079  0.0194  0.0210  0.0231  0.0211   19.11      SE  0.052
impulse__capsule-button__rest            validation  web     0.0034  0.0262  0.0092  0.0016  0.0091  0.0195  0.0253  0.0269  0.0259  0.0247  0.0092  0.0016  0.0091  0.0195  0.0253  0.0269  0.0259   16.58      SE  0.060
photo__capsule-button__rest              calibration native  0.5772  0.1779  0.1235  0.0960  0.1369  0.1828  0.2128  0.2236  0.2200  0.1763  0.0957  0.0510  0.1066  0.1670  0.2123  0.2079  0.1942    4.38      SE  0.228
photo__capsule-button__rest              calibration web     0.6115  0.2850  0.1298  0.0719  0.1297  0.2462  0.3036  0.3206  0.3091  0.2795  0.0838  0.0104  0.0857  0.2064  0.2756  0.2986  0.2763   30.71      SE  0.033
