== apple-macos-26.5-2x-light-standard / webgpu / before   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/w24-g2/apps/reference-apple/fixtures captures=/Users/new/Developer/GitHub/designer/packages/calibration/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
light-solid__capsule-button__rest        calibration native  0.9666  0.0334  0.0328  0.0328  0.0331  0.0334  0.0331  0.0328  0.0328  0.0334  0.0327  0.0324  0.0331  0.0334  0.0331  0.0328  0.0330    1.03       E  0.971
light-solid__capsule-button__rest        calibration web     0.9724  0.0276  0.0276  0.0276  0.0276  0.0276  0.0276  0.0276  0.0276  0.0276  0.0276  0.0276  0.0276  0.0276  0.0276  0.0276  0.0276    1.00       N  1.000
dark-solid__capsule-button__rest         calibration native  0.0110  0.0256  0.0101  0.0022  0.0101  0.0227  0.0305  0.0333  0.0307  0.0256  0.0101  0.0021  0.0101  0.0227  0.0305  0.0333  0.0307   15.97      NW  0.063
dark-solid__capsule-button__rest         calibration web     0.0117  0.0248  0.0207  0.0198  0.0203  0.0216  0.0203  0.0198  0.0207  0.0248  0.0207  0.0198  0.0203  0.0216  0.0203  0.0198  0.0207    1.25       N  0.797
checkerboard__capsule-button__rest       calibration native  0.6152  0.2325  0.1755 -0.0967  0.2195  0.2247  0.1368  0.1732  0.2114  0.2473  0.2292  0.2090  0.2370  0.2281  0.2561  0.3017  0.2511     inf      NW -0.320
checkerboard__capsule-button__rest       calibration web     0.6805  0.2626  0.1912  0.0657  0.2107  0.2051  0.0560  0.1501  0.1978  0.2573  0.3129  0.3138  0.3135  0.2869  0.2897  0.3134  0.2918    5.60      SW  0.179
impulse__capsule-button__rest            validation  native  0.0067  0.0191  0.0064  0.0012  0.0065  0.0203  0.0227  0.0231  0.0211  0.0179  0.0064  0.0012  0.0079  0.0194  0.0210  0.0231  0.0211   19.11      SE  0.052
impulse__capsule-button__rest            validation  web     0.0034  0.0245  0.0194  0.0185  0.0189  0.0198  0.0190  0.0185  0.0194  0.0245  0.0194  0.0185  0.0189  0.0198  0.0190  0.0185  0.0194    1.32       N  0.757
photo__capsule-button__rest              calibration native  0.5772  0.1779  0.1235  0.0960  0.1369  0.1828  0.2128  0.2236  0.2200  0.1763  0.0957  0.0510  0.1066  0.1670  0.2123  0.2079  0.1942    4.38      SE  0.228
photo__capsule-button__rest              calibration web     0.6116  0.2850  0.2352  0.2387  0.2402  0.2465  0.2288  0.2276  0.2318  0.2797  0.1978  0.2020  0.1974  0.2095  0.1995  0.2058  0.1989    1.44       N  0.692
hc-text__capsule-button__rest            holdout     native  0.6551  0.2257  0.2283  0.2134  0.1980  0.0997  0.2116  0.2097  0.2666  0.1969  0.1647  0.1337  0.1549  0.0908  0.1746  0.2051  0.2308    2.94     SSE  0.340
hc-text__capsule-button__rest            holdout     web     0.7535  0.1554  0.1933  0.1904  0.1593  0.0753  0.1579  0.1351  0.2138  0.2440  0.2138  0.1346  0.1589  0.0745  0.1439  0.1508  0.1842    3.27       S  0.306
light-solid__rrect-md__rest              calibration native  0.9344  0.0640  0.0593  0.0563  0.0593  0.0622  0.0611  0.0604  0.0615  0.0638  0.0591  0.0557  0.0593  0.0622  0.0614  0.0607  0.0623    1.15       N  0.870
light-solid__rrect-md__rest              calibration web     0.9318  0.0682  0.0681  0.0680  0.0681  0.0682  0.0681  0.0677  0.0681  0.0682  0.0681  0.0680  0.0681  0.0682  0.0681  0.0677  0.0681    1.01       E  0.992
dark-solid__rrect-md__rest               calibration native  0.4798  0.2470  0.0602  0.0376  0.0692  0.2330  0.2855  0.2838  0.2901  0.2470  0.0606  0.0376  0.0694  0.2330  0.2855  0.2838  0.2896    7.72     SSE  0.130
dark-solid__rrect-md__rest               calibration web     0.4955  0.3317  0.2232  0.2396  0.2285  0.3116  0.2282  0.2402  0.2250  0.3315  0.2229  0.2395  0.2282  0.3116  0.2286  0.2403  0.2254    1.49       N  0.672
checkerboard__rrect-md__rest             calibration native  0.6800  0.2148  0.2213  0.1005  0.0801  0.2022  0.2275  0.2522  0.2317  0.1967  0.0220  0.0396  0.1140  0.1885  0.2473  0.2678  0.2188   12.17      NW  0.082
checkerboard__rrect-md__rest             calibration web     0.6993  0.2384  0.2718  0.2284  0.1766  0.1741  0.2218  0.2224  0.2203  0.2517  0.2080  0.2269  0.2150  0.2913  0.2769  0.2378  0.1896    1.67       W  0.597
impulse__rrect-md__rest                  validation  native  0.4311  0.2673  0.0596  0.0339  0.0689  0.2469  0.3068  0.3030  0.3083  0.2635  0.0596  0.0339  0.0689  0.2469  0.3068  0.3030  0.3083    9.10     SSE  0.110
impulse__rrect-md__rest                  validation  web     0.4644  0.3241  0.2199  0.2332  0.2251  0.3040  0.2250  0.2361  0.2218  0.3295  0.2199  0.2344  0.2251  0.3040  0.2250  0.2348  0.2218    1.50       S  0.667
photo__rrect-md__rest                    calibration native  0.6619  0.1138  0.0713  0.0854  0.0968  0.1432  0.1651  0.1660  0.1683  0.1242  0.0269  0.0230  0.0592  0.1396  0.1538  0.1515  0.1348    7.31     SSE  0.137
photo__rrect-md__rest                    calibration web     0.6563  0.2540  0.2320  0.2431  0.2328  0.2790  0.2273  0.2363  0.2286  0.2608  0.1730  0.1881  0.1839  0.2466  0.1801  0.1895  0.1744    1.61       E  0.620
