W25 G0 deliverable 2 (levels) — the body level on every thick cell, reference vs vitrea.

Instrument: the declared shape eroded 6 CSS px (the stack's base on W22's geometry),
mean linear Rec.709 luma over that mask. `dcode` is the web-minus-native difference
expressed in 8-bit display codes at that level (the sRGB OETF applied to each side),
which is the unit W23 and W24 recorded the thick body's miss in.
Sources: the reference fixtures and the canonical 0.13.0 web captures, read-only.

profile   scene                                       span    native       gpu       css   gpu-nat  dcode gpu   css-nat  dcode css   nat sd   gpu sd
1x-dark   checkerboard__capsule-button__rest            44   0.10557   0.06710   0.07373  -0.03847     -18.14  -0.03185     -14.65   0.0501   0.0252
1x-ic     checkerboard__capsule-button__rest            44   0.98214   0.93249   0.95157  -0.04965      -5.71  -0.03058      -3.50   0.0116   0.0283
1x-light  checkerboard__capsule-button__rest            44   0.61299   0.67435   0.67910   0.06137       8.90   0.06611       9.57   0.1363   0.1360
1x-rt     checkerboard__capsule-button__rest            44   0.88792   0.93249   0.93108   0.04457       5.28   0.04315       5.11   0.0000   0.0283
2x-dark   checkerboard__capsule-button__rest            44   0.10709   0.06822   0.07264  -0.03886     -18.16  -0.03444     -15.83   0.0552   0.0257
2x-light  checkerboard__capsule-button__rest            44   0.61507   0.68056   0.69470   0.06550       9.46   0.07964      11.43   0.1504   0.1387
1x-dark   checkerboard__glass-over-glass__rest         130   0.04651   0.04682   0.04674   0.00030       0.20   0.00023       0.16   0.0131   0.0170
1x-light  checkerboard__glass-over-glass__rest         130   0.66617   0.65938   0.66455  -0.00679      -0.97  -0.00162      -0.23   0.0934   0.0949
2x-dark   checkerboard__glass-over-glass__rest         130   0.04726   0.04732   0.04996   0.00006       0.04   0.00269       1.76   0.0159   0.0185
2x-light  checkerboard__glass-over-glass__rest         130   0.66586   0.66559   0.67332  -0.00027      -0.04   0.00746       1.06   0.1086   0.1022
1x-light  checkerboard__rrect-lg__rest                 160   0.70458   0.69378   0.69679  -0.01080      -1.49  -0.00779      -1.07   0.0598   0.0676
2x-light  checkerboard__rrect-lg__rest                 160   0.70329   0.69975   0.70648  -0.00354      -0.49   0.00319       0.44   0.0781   0.0666
1x-dark   checkerboard__rrect-md__rest                  96   0.04679   0.04748   0.04783   0.00069       0.46   0.00104       0.69   0.0166   0.0186
1x-ic     checkerboard__rrect-md__rest                  96   0.98571   0.93318   0.94496  -0.05254      -6.03  -0.04075      -4.66   0.0111   0.0246
1x-light  checkerboard__rrect-md__rest                  96   0.67915   0.69300   0.69612   0.01384       1.93   0.01696       2.37   0.1104   0.0997
1x-rt     checkerboard__rrect-md__rest                  96   0.88792   0.93318   0.93332   0.04526       5.36   0.04540       5.37   0.0000   0.0246
2x-dark   checkerboard__rrect-md__rest                  96   0.04746   0.04783   0.05081   0.00037       0.25   0.00335       2.18   0.0191   0.0203
