W25 G2 - fit-level: the body's level above the thickness knee
====================================================================================================

baseline rung r0 (all three constants at 0) against unit rung rC2 (`sizeToneLevelFar` = 1)

`resid` is native - web at the baseline, in 8-bit codes over the body eroded 6 CSS px.
`lever` is web(unit) - web(baseline) in the same unit: what one unit of the constant
actually moves this row. `gain` is the value of the constant that would close the row's
own residual. Rows at or below span 96 have lever 0 EXACTLY and are the control: the
term cannot reach them at any value, which is what makes the fit safe for the bed.

bed          scene                                     span   native     web0     web1    resid    lever  analytic     gain
canon-dark   checkerboard__capsule-button__rest          44  0.10557  0.06710  0.06710  +18.141   +0.000    +0.000        -
canon-dark   checkerboard__rrect-md__rest                96  0.04679  0.04748  0.04748   -0.460   +0.000    +0.000        -
canon-dark   dark-solid__capsule-button__rest            44  0.01101  0.01171  0.01171   -1.076   +0.000    +0.000        -
canon-dark   dark-solid__rrect-md__rest                  96  0.01527  0.01298  0.01298   +3.073   +0.000    +0.000        -
canon-dark   impulse__capsule-button__rest               44  0.00663  0.00373  0.00373   +7.087   +0.000    +0.000        -
canon-dark   photo__capsule-button__rest                 44  0.09485  0.05216  0.05216  +22.236   +0.000    +0.000        -
canon-dark   photo__rrect-md__rest                       96  0.04649  0.03883  0.03883   +5.410   +0.000    +0.000        -
canon-light  checkerboard__capsule-button__rest          44  0.61299  0.67435  0.67435   -8.898   +0.000    +0.000        -
canon-light  checkerboard__rrect-md__rest                96  0.67915  0.69300  0.69300   -1.933   +0.000    +0.000        -
canon-light  checkerboard__rrect-ml__rest               128  0.69083  0.69350  0.69566   -0.371   +0.299    -1.394   -1.242
canon-light  checkerboard__rrect-sm__rest                32  0.61484  0.67310  0.67310   -8.445   +0.000    +0.000        -
canon-light  checkerboard__toolbar-group__rest           44  0.61393  0.67443  0.67443   -8.769   +0.000    +0.000        -
canon-light  dark-solid__capsule-button__rest            44  0.01101  0.01171  0.01171   -1.076   +0.000    +0.000        -
canon-light  dark-solid__rrect-md__rest                  96  0.47974  0.49555  0.49555   -2.695   +0.000    +0.000        -
canon-light  impulse__capsule-button__rest               44  0.00663  0.00373  0.00373   +7.087   +0.000    +0.000        -
canon-light  impulse__rrect-md__rest                     96  0.43114  0.46426  0.46426   -5.934   +0.000    +0.000        -
canon-light  light-solid__capsule-button__rest           44  0.96659  0.97283  0.97283   -0.712   +0.000    +0.000        -
canon-light  light-solid__rrect-md__rest                 96  0.93443  0.93185  0.93185   +0.301   +0.000    +0.000        -
canon-light  light-solid__rrect-ml__rest                128  0.93261  0.93188  0.93831   +0.085   +0.749    -0.941   +0.113
canon-light  photo__capsule-button__rest                 44  0.57434  0.60993  0.60993   -5.417   +0.000    +0.000        -
canon-light  photo__rrect-md__rest                       96  0.66069  0.65522  0.65522   +0.782   +0.000    +0.000        -
canon-light  photo__rrect-ml__rest                      128  0.67084  0.65801  0.66005   +1.826   +0.291    -2.052   +6.268
canon-light  photo__rrect-sm__rest                       32  0.54106  0.58883  0.58883   -7.473   +0.000    +0.000        -
canon-light  photo__toolbar-group__rest                  44  0.59601  0.63506  0.63506   -5.810   +0.000    +0.000        -
w21          checkerboard-32__capsule-button__rest       44  0.11203  0.06703  0.06703  +20.819   +0.000    +0.000        -
w21          checkerboard-32__rrect-lg__rest            160  0.04951  0.04744  0.05375   +1.360   +4.034    -3.948   +0.337
w21          checkerboard-32__rrect-md__rest             96  0.04956  0.04738  0.04738   +1.426   +0.000    +0.000        -
w21          checkerboard-32__rrect-ml__rest            128  0.04979  0.04744  0.04879   +1.537   +0.886    -1.394   +1.734
w21          checkerboard-32__rrect-sm__rest             32  0.11138  0.06762  0.06762  +20.237   +0.000    +0.000        -
w21          checkerboard-4__capsule-button__rest        44  0.09952  0.06689  0.06689  +15.693   +0.000    +0.000        -
w21          checkerboard-4__rrect-lg__rest             160  0.04556  0.04743  0.05379   -1.258   +4.068    -3.948   -0.309
w21          checkerboard-4__rrect-md__rest              96  0.04510  0.04739  0.04739   -1.546   +0.000    +0.000        -
