bed          scene                                    span  bgLin    bgEnc   authority  farS    codes/unit
canon-light  light-solid__capsule-button__rest          44  0.8910  0.9505     1.0000  0.0000       0.000
canon-light  dark-solid__capsule-button__rest           44  0.0117  0.1104     1.0000  0.0000       0.000
canon-light  checkerboard__capsule-button__rest         44  0.5000  0.7354     1.0000  0.0000       0.000
canon-light  impulse__capsule-button__rest              44  0.0033  0.0424     0.0000  0.0000       0.000
canon-light  photo__capsule-button__rest                44  0.2119  0.4977     1.0000  0.0000       0.000
canon-light  light-solid__rrect-md__rest                96  0.8910  0.9505     1.0000  0.0000       0.000
canon-light  dark-solid__rrect-md__rest                 96  0.0117  0.1104     1.0000  0.0000       0.000
canon-light  checkerboard__rrect-md__rest               96  0.5000  0.7354     1.0000  0.0000       0.000
canon-light  impulse__rrect-md__rest                    96  0.0032  0.0413     0.0000  0.0000       0.000
canon-light  photo__rrect-md__rest                      96  0.2147  0.5008     1.0000  0.0000       0.000
canon-light  light-solid__rrect-ml__rest               128  0.8910  0.9505     1.0000  0.1040      -0.941
canon-light  checkerboard__rrect-ml__rest              128  0.5000  0.7354     1.0000  0.1040      -1.394
canon-light  photo__rrect-ml__rest                     128  0.2211  0.5076     1.0000  0.1040      -2.052
canon-light  checkerboard__rrect-sm__rest               32  0.5000  0.7354     1.0000  0.0000       0.000
canon-light  photo__rrect-sm__rest                      32  0.1682  0.4470     1.0000  0.0000       0.000
canon-light  checkerboard__toolbar-group__rest/m0       44  0.5445  0.7639     1.0000  0.0000       0.000
canon-light  checkerboard__toolbar-group__rest/m1       44  0.5000  0.7354     1.0000  0.0000       0.000
canon-light  checkerboard__toolbar-group__rest/m2       44  0.4555  0.7052     1.0000  0.0000       0.000
canon-light  photo__toolbar-group__rest/m0              44  0.1855  0.4678     1.0000  0.0000       0.000
canon-light  photo__toolbar-group__rest/m1              44  0.1531  0.4277     1.0000  0.0000       0.000
canon-light  photo__toolbar-group__rest/m2              44  0.4223  0.6816     1.0000  0.0000       0.000
canon-dark   light-solid__capsule-button__rest          44  0.8910  0.9505     1.0000  0.0000       0.000
canon-dark   dark-solid__capsule-button__rest           44  0.0117  0.1104     1.0000  0.0000       0.000
canon-dark   checkerboard__capsule-button__rest         44  0.5000  0.7354     1.0000  0.0000       0.000
canon-dark   impulse__capsule-button__rest              44  0.0033  0.0424     0.0000  0.0000       0.000
canon-dark   photo__capsule-button__rest                44  0.2119  0.4977     1.0000  0.0000       0.000
canon-dark   light-solid__rrect-md__rest                96  0.8910  0.9505     1.0000  0.0000       0.000
canon-dark   dark-solid__rrect-md__rest                 96  0.0117  0.1104     1.0000  0.0000       0.000
canon-dark   checkerboard__rrect-md__rest               96  0.5000  0.7354     1.0000  0.0000       0.000
canon-dark   impulse__rrect-md__rest                    96  0.0032  0.0413     0.0000  0.0000       0.000
canon-dark   photo__rrect-md__rest                      96  0.2147  0.5008     1.0000  0.0000       0.000
canon-dark   light-solid__rrect-ml__rest               128  0.8910  0.9505     1.0000  0.1040      -0.941
canon-dark   checkerboard__rrect-ml__rest              128  0.5000  0.7354     1.0000  0.1040      -1.394
canon-dark   photo__rrect-ml__rest                     128  0.2211  0.5076     1.0000  0.1040      -2.052
canon-dark   checkerboard__rrect-sm__rest               32  0.5000  0.7354     1.0000  0.0000       0.000
canon-dark   photo__rrect-sm__rest                      32  0.1682  0.4470     1.0000  0.0000       0.000
canon-dark   checkerboard__toolbar-group__rest/m0       44  0.5445  0.7639     1.0000  0.0000       0.000
canon-dark   checkerboard__toolbar-group__rest/m1       44  0.5000  0.7354     1.0000  0.0000       0.000
canon-dark   checkerboard__toolbar-group__rest/m2       44  0.4555  0.7052     1.0000  0.0000       0.000
canon-dark   photo__toolbar-group__rest/m0              44  0.1855  0.4678     1.0000  0.0000       0.000
canon-dark   photo__toolbar-group__rest/m1              44  0.1531  0.4277     1.0000  0.0000       0.000
canon-dark   photo__toolbar-group__rest/m2              44  0.4223  0.6816     1.0000  0.0000       0.000
w9           checkerboard-4__rrect-sm__rest             32  0.5000  0.7354     1.0000  0.0000       0.000
