== apple-macos-26.5-1x-light-reduced-transparency / webgpu / after   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a60d759ed0e4373f6/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w25/g3/dryrun/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
checkerboard__capsule-button__rest       calibration native  0.8880  0.0783  0.0705  0.0548  0.0683  0.0795  0.0663  0.0592  0.0681  0.0772  0.0621  0.0636  0.0672  0.0475  0.0646  0.0809  0.0634    1.70      NW  0.587
checkerboard__capsule-button__rest       calibration web     0.9320  0.0642  0.0464  0.0055  0.0587  0.0670  0.0342  0.0591  0.0613  0.0666 -0.0015  0.0161  0.0459 -0.0044  0.0223  0.0680  0.0406     inf      NW -0.065
photo__capsule-button__rest              calibration native  0.8917  0.0683  0.0523  0.0530  0.0572  0.0443  0.0580  0.0556  0.0566  0.0685  0.0530  0.0489  0.0585  0.0463  0.0590  0.0588  0.0561    1.54       S  0.647
photo__capsule-button__rest              calibration web     0.8930  0.0984  0.0271  0.0213  0.0413  0.0591  0.0735  0.0942  0.0757  0.0987  0.0140 -0.0041  0.0160  0.0413  0.0570  0.0917  0.0543     inf       S -0.042
checkerboard__rrect-md__rest             calibration native  0.8880  0.0815  0.0694  0.0634  0.0583  0.0760  0.0673  0.0787  0.0776  0.0800  0.0549  0.0630  0.0608  0.0753  0.0829  0.0808  0.0611    1.51     WNW  0.661
checkerboard__rrect-md__rest             calibration web     0.9331  0.0625  0.0320 -0.0315  0.0010  0.0547  0.0469  0.0660  0.0658  0.0610  0.0147  0.0065  0.0484  0.0598  0.0669  0.0655  0.0571     inf     WNW -0.471
photo__rrect-md__rest                    calibration native  0.8921  0.0705  0.0522  0.0604  0.0543  0.0612  0.0550  0.0671  0.0536  0.0684  0.0412  0.0467  0.0422  0.0585  0.0534  0.0603  0.0520    1.71       N  0.584
photo__rrect-md__rest                    calibration web     0.8957  0.0832  0.0170  0.0082  0.0357  0.0841  0.0851  0.0828  0.0798  0.0839  0.0093 -0.0100  0.0126  0.0777  0.0722  0.0677  0.0726     inf     ESE -0.117
photo__capsule-button__rest-tint-orange  calibration native  0.4091  0.1438  0.0514  0.0226  0.0866  0.1582  0.1799  0.2191  0.1824  0.1459  0.0515  0.0123  0.0509  0.1392  0.1361  0.1296  0.1312   17.85      SE  0.056
photo__capsule-button__rest-tint-orange  calibration web     0.4125  0.0672  0.0185  0.0090  0.0282  0.0856  0.0947  0.1242  0.1030  0.0684  0.0162  0.0035  0.0166  0.0540  0.0581  0.0708  0.0502   35.86      SE  0.028

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a60d759ed0e4373f6/packages/calibration/results/2026-09-09-w25-thick-span-composite/g3/canonical-reads/apple-macos-26.5-1x-light-reduced-transparency-webgpu-after-angular.json
