== apple-macos-26.5-1x-light-reduced-transparency / webgpu / before   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a60d759ed0e4373f6/apps/reference-apple/fixtures captures=/Users/new/Developer/GitHub/designer/packages/calibration/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
checkerboard__capsule-button__rest       calibration native  0.8880  0.0783  0.0705  0.0548  0.0683  0.0795  0.0663  0.0592  0.0681  0.0772  0.0621  0.0636  0.0672  0.0475  0.0646  0.0809  0.0634    1.70      NW  0.587
checkerboard__capsule-button__rest       calibration web     0.9320  0.0641  0.0476  0.0055  0.0587  0.0670  0.0329  0.0588  0.0605  0.0667 -0.0002  0.0161  0.0472 -0.0044  0.0193  0.0680  0.0396     inf      NW -0.065
photo__capsule-button__rest              calibration native  0.8917  0.0683  0.0523  0.0530  0.0572  0.0443  0.0580  0.0556  0.0566  0.0685  0.0530  0.0489  0.0585  0.0463  0.0590  0.0588  0.0561    1.54       S  0.647
photo__capsule-button__rest              calibration web     0.8930  0.0987  0.0276  0.0214  0.0416  0.0593  0.0734  0.0928  0.0748  0.0988  0.0144 -0.0041  0.0162  0.0413  0.0570  0.0917  0.0529     inf       S -0.041
checkerboard__rrect-md__rest             calibration native  0.8880  0.0815  0.0694  0.0634  0.0583  0.0760  0.0673  0.0787  0.0776  0.0800  0.0549  0.0630  0.0608  0.0753  0.0829  0.0808  0.0611    1.51     WNW  0.661
checkerboard__rrect-md__rest             calibration web     0.9331  0.0648  0.0467 -0.0307  0.0107  0.0540  0.0393  0.0641  0.0642  0.0612  0.0256  0.0082  0.0537  0.0603  0.0658  0.0655  0.0491     inf     WNW -0.467
photo__rrect-md__rest                    calibration native  0.8921  0.0705  0.0522  0.0604  0.0543  0.0612  0.0550  0.0671  0.0536  0.0684  0.0412  0.0467  0.0422  0.0585  0.0534  0.0603  0.0520    1.71       N  0.584
photo__rrect-md__rest                    calibration web     0.8957  0.0890  0.0302  0.0097  0.0473  0.0836  0.0783  0.0684  0.0714  0.0898  0.0225 -0.0081  0.0239  0.0804  0.0614  0.0483  0.0614     inf       S -0.091
photo__capsule-button__rest-tint-orange  calibration native  0.4091  0.1438  0.0514  0.0226  0.0866  0.1582  0.1799  0.2191  0.1824  0.1459  0.0515  0.0123  0.0509  0.1392  0.1361  0.1296  0.1312   17.85      SE  0.056
photo__capsule-button__rest-tint-orange  calibration web     0.4125  0.0671  0.0190  0.0090  0.0284  0.0855  0.0933  0.1213  0.1003  0.0684  0.0166  0.0039  0.0166  0.0540  0.0573  0.0690  0.0489   30.96      SE  0.032

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a60d759ed0e4373f6/packages/calibration/results/2026-09-09-w25-thick-span-composite/g3/canonical-reads/apple-macos-26.5-1x-light-reduced-transparency-webgpu-before-angular.json
