the along-side field — lever rung at rimAlongSideSlope 0.45

profile   scene                          side    span        nat       web0       web1  implied
1x-dark   dark-solid__rrect-lg__rest     bottom   160   0.000087   0.000003   0.000082    0.475
1x-dark   dark-solid__rrect-lg__rest     left     160  -0.000179  -0.000013  -0.000153    0.533
1x-dark   dark-solid__rrect-lg__rest     right    160   0.000180   0.000012   0.000153    0.537
1x-dark   dark-solid__rrect-lg__rest     top      160  -0.000087  -0.000002  -0.000082    0.476
1x-dark   dark-solid__rrect-ml__rest     bottom   128   0.000123   0.000003   0.000103    0.542
1x-dark   dark-solid__rrect-ml__rest     left     128  -0.000255  -0.000016  -0.000194    0.606
1x-dark   dark-solid__rrect-ml__rest     right    128   0.000253   0.000016   0.000194    0.601
1x-dark   dark-solid__rrect-ml__rest     top      128  -0.000123  -0.000003  -0.000103    0.542
1x-dark   light-solid__rrect-lg__rest    bottom   160   0.000471   0.000013   0.000397    0.537
1x-dark   light-solid__rrect-lg__rest    left     160  -0.001183  -0.000076  -0.000794    0.694
1x-dark   light-solid__rrect-lg__rest    right    160   0.001172   0.000072   0.000787    0.692
1x-dark   light-solid__rrect-lg__rest    top      160  -0.000482  -0.000014  -0.000400    0.546
1x-dark   mid-dark-solid__rrect-lg__rest bottom   160   0.000145   0.000004   0.000120    0.544
1x-dark   mid-dark-solid__rrect-lg__rest left     160  -0.000314  -0.000021  -0.000231    0.627
1x-dark   mid-dark-solid__rrect-lg__rest right    160   0.000314   0.000019   0.000228    0.633
1x-dark   mid-dark-solid__rrect-lg__rest top      160  -0.000146  -0.000004  -0.000121    0.548
1x-light  dark-solid__rrect-lg__rest     bottom   160   0.000568   0.000014   0.000740    0.343
1x-light  dark-solid__rrect-lg__rest     left     160  -0.001028  -0.000070  -0.001280    0.356
1x-light  dark-solid__rrect-lg__rest     right    160   0.001035   0.000070   0.001277    0.360
1x-light  dark-solid__rrect-lg__rest     top      160  -0.000568  -0.000014  -0.000742    0.343
1x-light  dark-solid__rrect-ml__rest     bottom   128   0.000781   0.000019   0.000952    0.368
1x-light  dark-solid__rrect-ml__rest     left     128  -0.001544  -0.000096  -0.001711    0.404
1x-light  dark-solid__rrect-ml__rest     right    128   0.001544   0.000096   0.001712    0.403
1x-light  dark-solid__rrect-ml__rest     top      128  -0.000783  -0.000019  -0.000953    0.368
1x-light  light-solid__rrect-lg__rest    bottom   160   0.000003   0.000005   0.000030   -0.039
1x-light  light-solid__rrect-lg__rest    left     160  -0.000009  -0.000011  -0.000075   -0.011
1x-light  light-solid__rrect-lg__rest    right    160   0.000007   0.000011   0.000070   -0.027
1x-light  light-solid__rrect-lg__rest    top      160  -0.000004  -0.000000  -0.000017    0.095
1x-light  mid-dark-solid__rrect-lg__rest bottom   160   0.000463   0.000014   0.000677    0.304
1x-light  mid-dark-solid__rrect-lg__rest left     160  -0.000838  -0.000086  -0.001181    0.309
1x-light  mid-dark-solid__rrect-lg__rest right    160   0.000841   0.000086   0.001177    0.311
1x-light  mid-dark-solid__rrect-lg__rest top      160  -0.000464  -0.000017  -0.000680    0.304
2x-dark   dark-solid__rrect-lg__rest     bottom   160   0.000069   0.000002   0.000042    0.751
2x-dark   dark-solid__rrect-lg__rest     left     160  -0.000179  -0.000012  -0.000193    0.416
2x-dark   dark-solid__rrect-lg__rest     right    160   0.000167   0.000010   0.000090    0.887
2x-dark   dark-solid__rrect-lg__rest     top      160  -0.000106  -0.000002  -0.000115    0.413
2x-dark   dark-solid__rrect-ml__rest     bottom   128   0.000092   0.000002   0.000050    0.833
2x-dark   dark-solid__rrect-ml__rest     left     128  -0.000271  -0.000016  -0.000254    0.482
2x-dark   dark-solid__rrect-ml__rest     right    128   0.000221   0.000010   0.000102    1.027
2x-dark   dark-solid__rrect-ml__rest     top      128  -0.000153  -0.000003  -0.000147    0.471
2x-dark   light-solid__rrect-lg__rest    bottom   160   0.000317   0.000008   0.000191    0.758
2x-dark   light-solid__rrect-lg__rest    left     160  -0.001237  -0.000092  -0.001063    0.531
2x-dark   light-solid__rrect-lg__rest    right    160   0.000772   0.000042   0.000404    0.908
2x-dark   light-solid__rrect-lg__rest    top      160  -0.000575  -0.000016  -0.000569    0.456
2x-dark   mid-dark-solid__rrect-lg__rest bottom   160   0.000108   0.000002   0.000060    0.831
2x-dark   mid-dark-solid__rrect-lg__rest left     160  -0.000321  -0.000022  -0.000293    0.497
2x-dark   mid-dark-solid__rrect-lg__rest right    160   0.000272   0.000013   0.000129    1.000
2x-dark   mid-dark-solid__rrect-lg__rest top      160  -0.000176  -0.000004  -0.000168    0.470
2x-light  dark-solid__rrect-lg__rest     bottom   160   0.000540   0.000018   0.000397    0.620
2x-light  dark-solid__rrect-lg__rest     left     160  -0.001060  -0.000061  -0.001589    0.294
2x-light  dark-solid__rrect-lg__rest     right    160   0.001289   0.000092   0.000842    0.718
2x-light  dark-solid__rrect-lg__rest     top      160  -0.000673  -0.000013  -0.001030    0.292
2x-light  dark-solid__rrect-ml__rest     bottom   128   0.000666   0.000021   0.000481    0.631
2x-light  dark-solid__rrect-ml__rest     left     128  -0.001503  -0.000098  -0.002088    0.318
2x-light  dark-solid__rrect-ml__rest     right    128   0.001570   0.000106   0.000983    0.751
2x-light  dark-solid__rrect-ml__rest     top      128  -0.000898  -0.000020  -0.001312    0.306
2x-light  light-solid__rrect-lg__rest    bottom   160   0.000005   0.000003   0.000162    0.004
2x-light  light-solid__rrect-lg__rest    left     160  -0.000076  -0.000022  -0.000090    0.358
2x-light  light-solid__rrect-lg__rest    right    160   0.000009   0.000016   0.000265   -0.012
2x-light  light-solid__rrect-lg__rest    top      160  -0.000024  -0.000002  -0.000019    0.592
2x-light  mid-dark-solid__rrect-lg__rest bottom   160   0.000451   0.000017   0.000356    0.575
2x-light  mid-dark-solid__rrect-lg__rest left     160  -0.000890  -0.000070  -0.001470    0.264
2x-light  mid-dark-solid__rrect-lg__rest right    160   0.001069   0.000087   0.000778    0.639
2x-light  mid-dark-solid__rrect-lg__rest top      160  -0.000562  -0.000014  -0.000939    0.266

rows fitted           64
implied slope         median 0.479  lever-weighted 0.425  quartiles 0.324 … 0.625
condition             lever 3.71e-05 … 4.42e-03 luma per CSS px per unit slope
