W26 G1 — `c1` against `r0`: what naming the chain's own 1x width costs
====================================================================================================

apple-macos-26.5-1x-light-standard
                                         scene   dE base   dE rung      move  max code
         checkerboard-32__capsule-button__rest   0.00213   0.00213   0.00000         0
               checkerboard-32__rrect-lg__rest   0.01376   0.01376   0.00000         0
               checkerboard-32__rrect-md__rest   0.00573   0.00573   0.00000         0
               checkerboard-32__rrect-ml__rest   0.00900   0.00900   0.00000         0
               checkerboard-32__rrect-sm__rest   0.00085   0.00085   0.00000         0
          checkerboard-4__capsule-button__rest   0.00253   0.00253   0.00000         0
         checkerboard-64__capsule-button__rest   0.00334   0.00334   0.00000         0
               checkerboard-64__rrect-lg__rest   0.01343   0.01343   0.00000         0
               checkerboard-64__rrect-md__rest   0.00743   0.00743   0.00000         0
               checkerboard-64__rrect-ml__rest   0.01283   0.01283   0.00000         0
                  checkerboard__rrect-sm__rest   0.00088   0.00088   0.00000         0
                       impulse__rrect-lg__rest   0.00449   0.00449   0.00000         0
                       impulse__rrect-md__rest   0.00447   0.00447   0.00000         0
                       impulse__rrect-ml__rest   0.00559   0.00559   0.00000         0
                       impulse__rrect-sm__rest   0.00099   0.00099   0.00000         0
                   light-solid__rrect-sm__rest   0.00021   0.00021   0.00000         0
                         photo__rrect-sm__rest   0.00106   0.00106   0.00000         0
  worst OKLab dE move on this profile: 0.00000

apple-macos-26.5-2x-light-standard
                                         scene   dE base   dE rung      move  max code
         checkerboard-32__capsule-button__rest   0.00212   0.00219   0.00007         7
               checkerboard-32__rrect-lg__rest   0.00922   0.01011   0.00089         5
               checkerboard-32__rrect-md__rest   0.00356   0.00516   0.00160         8
               checkerboard-32__rrect-ml__rest   0.00479   0.00551   0.00071         5
               checkerboard-32__rrect-sm__rest   0.00085   0.00087   0.00003         6
          checkerboard-4__capsule-button__rest   0.00332   0.00332   0.00000         0
         checkerboard-64__capsule-button__rest   0.00222   0.00227   0.00005         4
               checkerboard-64__rrect-lg__rest   0.01709   0.01816   0.00106         5
               checkerboard-64__rrect-md__rest   0.00516   0.00614   0.00097         7
               checkerboard-64__rrect-ml__rest   0.01062   0.01129   0.00067         5
                  checkerboard__rrect-sm__rest   0.00098   0.00102   0.00004         7
                       impulse__rrect-lg__rest   0.00470   0.00469   0.00001         1
                       impulse__rrect-md__rest   0.00453   0.00455   0.00001         4
                       impulse__rrect-ml__rest   0.00575   0.00576   0.00001         3
                       impulse__rrect-sm__rest   0.00109   0.00107   0.00002         3
                   light-solid__rrect-sm__rest   0.00020   0.00020   0.00000         1
                         photo__rrect-sm__rest   0.00106   0.00107   0.00001         2
  worst OKLab dE move on this profile: 0.00160

