W26 G1b — vitrea's own kernel at the 0.14.0 material, from the arithmetic that draws it
====================================================================================================

  chainMaxLod: 1x 4   2x 5     blurSigma 1.25   bodyChainLod 1.0589

    surface scale  span scatterLod  level sigma                    kScatter @ depth (CSS px)
   rrect-md     1    96     4.0000       13.418  8:0.484  16:0.488  24:0.492  32:0.496  48:0.503  80:0.519
   rrect-md     2    96     3.3219        8.848  8:0.824  16:0.857  24:0.891  32:0.924  48:0.992  80:1.000
   rrect-lg     1   160     4.0000       13.418  8:0.610  16:0.627  24:0.644  32:0.661  48:0.695  80:0.764
   rrect-lg     2   160     3.7803       11.938  8:0.824  16:0.857  24:0.891  32:0.924  48:0.992  80:1.000

`level sigma` is the linear blend of the two neighbouring chain levels' half-maximum sigmas
in level-0 texels (= device px), quoted for orientation only: the control's target is the
blended PSF itself, not a sigma of it.

The truth kernel on each control band, reduced by reader E's own statistics:

    surface scale   band CSS           kScatter  sigmaHWHM  sigmaRMS  sigmaMTF  MTF-fit
   rrect-md     1   16-24    0.490 [0.488,0.492]      1.267    10.923     2.367   58.23%
   rrect-md     1   24-40    0.496 [0.492,0.499]      1.267    10.987     2.381   59.48%
   rrect-md     1   16-48    0.496 [0.488,0.503]      1.267    10.987     2.381   59.48%
   rrect-md     2   16-24    0.874 [0.857,0.891]      1.389    10.108     3.633  149.72%
   rrect-md     2   24-40    0.924 [0.891,0.958]      1.485    10.391     3.991  197.65%
   rrect-md     2   16-48    0.924 [0.857,0.992]      1.485    10.391     3.991  197.65%
   rrect-lg     1   16-24    0.635 [0.627,0.644]      1.272    12.422     2.751   98.78%
   rrect-lg     1   24-40    0.661 [0.644,0.678]      1.273    12.668     2.827  108.87%
   rrect-lg     1   16-80    0.695 [0.627,0.764]      1.275    12.989     2.935  124.52%
   rrect-lg     2   16-24    0.874 [0.857,0.891]      1.333    13.272     3.677  219.17%
   rrect-lg     2   24-40    0.924 [0.891,0.958]      1.387    13.646     4.044  299.27%
   rrect-lg     2   16-80    0.961 [0.857,1.000]      1.512    13.911     4.467  409.46%
