== apple-macos-26.5-1x-dark-standard / webgpu / after   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w26/g2/cand/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
dark-solid__capsule-button__rest         calibration native  0.0110  0.0192  0.0070  0.0019  0.0067  0.0182  0.0189  0.0203  0.0199  0.0192  0.0070  0.0017  0.0064  0.0181  0.0193  0.0208  0.0196   12.38      NW  0.081
dark-solid__capsule-button__rest         calibration web     0.0117  0.0168  0.0081  0.0027  0.0084  0.0172  0.0177  0.0195  0.0183  0.0168  0.0086  0.0026  0.0084  0.0171  0.0176  0.0199  0.0174    7.65      NW  0.131
checkerboard__capsule-button__rest       calibration native  0.1059  0.4853  0.6048 -0.0523  0.7929  0.8190  0.0004  0.0674  0.2228  0.4561  0.7904  0.8396  0.8451  0.1656  0.2009  0.8544  0.3726     inf      NW -0.061
checkerboard__capsule-button__rest       calibration web     0.0674  0.5166  0.6189 -0.0288  0.8334  0.8515  0.0047  0.0290  0.1914  0.4614  0.8322  0.8886  0.8922  0.1631  0.2065  0.9014  0.3806     inf      NW -0.032
impulse__capsule-button__rest            validation  native  0.0066  0.0139  0.0029  0.0002  0.0023  0.0115  0.0099  0.0098  0.0105  0.0129  0.0028  0.0002  0.0026  0.0113  0.0092  0.0099  0.0100   85.88       N  0.012
impulse__capsule-button__rest            validation  web     0.0038  0.0167  0.0066  0.0022  0.0067  0.0154  0.0153  0.0160  0.0157  0.0164  0.0070  0.0022  0.0068  0.0153  0.0151  0.0161  0.0148    7.69       N  0.130
photo__capsule-button__rest              calibration native  0.0961  0.1024  0.1266  0.2642  0.3588  0.3756  0.3333  0.4097  0.3229  0.1164  0.1037  0.0988  0.1074  0.1087  0.1270  0.0978  0.0995    4.19      SE  0.239
photo__capsule-button__rest              calibration web     0.0528  0.1064  0.1520  0.3114  0.4061  0.4201  0.3779  0.4562  0.3626  0.1409  0.1474  0.1428  0.1480  0.1253  0.1238  0.1048  0.0981    4.65      SE  0.215
dark-solid__rrect-md__rest               calibration native  0.0153  0.0244  0.0028  0.0012  0.0035  0.0234  0.0230  0.0234  0.0243  0.0244  0.0027  0.0012  0.0032  0.0235  0.0246  0.0245  0.0238   21.07     WNW  0.047
dark-solid__rrect-md__rest               calibration web     0.0130  0.0248  0.0122  0.0032  0.0128  0.0246  0.0267  0.0288  0.0284  0.0248  0.0123  0.0030  0.0124  0.0246  0.0283  0.0304  0.0271   10.10      NW  0.099
checkerboard__rrect-md__rest             calibration native  0.0468  0.4622  0.8584  0.2520  0.2520  0.4459  0.6613  0.7831  0.7840  0.4201  0.0085  0.0072  0.3855  0.4813  0.8074  0.6852  0.0587  119.37     NNE  0.008
checkerboard__rrect-md__rest             calibration web     0.0473  0.4663  0.8615  0.2588  0.2669  0.4235  0.6633  0.8001  0.7843  0.4203  0.0510  0.0283  0.4011  0.4979  0.8138  0.6861  0.0538   30.47     NNE  0.033
photo__rrect-md__rest                    calibration native  0.0466  0.0750  0.0756  0.1714  0.2294  0.3686  0.2443  0.1715  0.1608  0.1240  0.1385  0.1447  0.1907  0.0963  0.0857  0.1082  0.0830    4.92       E  0.203
photo__rrect-md__rest                    calibration web     0.0390  0.0718  0.0858  0.1803  0.2343  0.3712  0.2273  0.1554  0.1461  0.1260  0.1428  0.1535  0.1942  0.0954  0.0692  0.0897  0.0663    5.60       E  0.179
dark-solid__capsule-button__rest-tint-orange calibration native  0.4243  0.0859  0.0249  0.0077  0.0181  0.0460  0.0486  0.0815  0.0558  0.0860  0.0243  0.0075  0.0186  0.0455  0.0472  0.0854  0.0530   11.41       S  0.088
dark-solid__capsule-button__rest-tint-orange calibration web     0.4275  0.1106  0.0309  0.0147  0.0305  0.0681  0.0727  0.1014  0.0733  0.1108  0.0311  0.0147  0.0315  0.0678  0.0702  0.1056  0.0720    7.55       S  0.132
