== apple-macos-26.5-1x-light-increased-contrast / css / after   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w26/g2/cand/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
checkerboard__capsule-button__rest       calibration native  0.9783  0.0087  0.0129  0.0129  0.0129  0.0129  0.0129  0.0129  0.0129  0.0086 -0.0039 -0.0150 -0.0138 -0.0155 -0.0145 -0.0148 -0.0010     inf     NNE -1.208
checkerboard__capsule-button__rest       calibration web     0.9569  0.0411  0.0403  0.0080  0.0021  0.0138 -0.0365 -0.0336  0.0171  0.0212 -0.0189  0.0232  0.0431  0.0377  0.0362  0.0431  0.0395     inf     WSW -0.848
photo__capsule-button__rest              calibration native  0.9820  0.0066 -0.0041 -0.0089 -0.0104 -0.0119 -0.0108 -0.0102 -0.0059  0.0063  0.0091  0.0091  0.0091  0.0091  0.0091  0.0091  0.0091     inf     SSW -1.300
photo__capsule-button__rest              calibration web     0.9182  0.0757  0.0736  0.0484  0.0135  0.0230  0.0229  0.0222  0.0236  0.0035 -0.0203  0.0393  0.0732  0.0734  0.0731  0.0736  0.0731     inf       N -0.268
checkerboard__rrect-md__rest             calibration native  0.9853  0.0030 -0.0147 -0.0090 -0.0186 -0.0086 -0.0178 -0.0115 -0.0152  0.0030  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058     inf     SSW -3.226
checkerboard__rrect-md__rest             calibration web     0.9475  0.0525  0.0522  0.0222 -0.0182  0.0151 -0.0223  0.0113  0.0142 -0.0011 -0.0597  0.0065  0.0470  0.0497  0.0525  0.0472  0.0430     inf     WNW -1.137
photo__rrect-md__rest                    calibration native  0.9915 -0.0013 -0.0099 -0.0104 -0.0109 -0.0067 -0.0059 -0.0052 -0.0041 -0.0014 -0.0034 -0.0047 -0.0028 -0.0013 -0.0004 -0.0004 -0.0004     inf     WNW 26.029
photo__rrect-md__rest                    calibration web     0.9106  0.0809  0.0798  0.0449 -0.0090  0.0310 -0.0051 -0.0208 -0.0167 -0.0010 -0.0309  0.0485  0.0819  0.0812  0.0805  0.0790  0.0796     inf     WSW -0.378
checkerboard__capsule-button__rest-tint-orange calibration native  0.4217  0.0265  0.2808  0.0027  0.3059  0.0455  0.0027  0.0027  0.0801  0.2149  0.2708  0.2531  0.3124  0.0184  0.0550  0.2747  0.1315  116.79     WSW  0.009
checkerboard__capsule-button__rest-tint-orange calibration web     0.4267  0.5337  0.5337  0.3784  0.0407 -0.0010 -0.0010 -0.0010 -0.0010 -0.0010  0.0398  0.3756  0.5337  0.5337  0.5306  0.5337  0.5334     inf     NNE -0.002
photo__capsule-button__rest-tint-orange  calibration native  0.4222  0.0018  0.0002 -0.0023  0.0073 -0.0021 -0.0022  0.0159  0.0031  0.0018  0.0022  0.0022  0.0022  0.0022  0.0022  0.0022  0.0022     inf      SE -0.142
photo__capsule-button__rest-tint-orange  calibration web     0.4235  0.5369  0.5369  0.3811  0.0412 -0.0010 -0.0010 -0.0010 -0.0010 -0.0010  0.0401  0.3783  0.5369  0.5369  0.5338  0.5369  0.5348     inf       N -0.002

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/packages/calibration/results/2026-09-10-w26-heavy-width/g2/canonical-reads/apple-macos-26.5-1x-light-increased-contrast-css-after-angular.json
