== apple-macos-26.5-1x-light-reduced-transparency / css / after   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w26/g2/cand/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
checkerboard__capsule-button__rest       calibration native  0.8880  0.0783  0.0705  0.0548  0.0683  0.0795  0.0663  0.0592  0.0681  0.0772  0.0621  0.0636  0.0672  0.0475  0.0646  0.0809  0.0634    1.70      NW  0.587
checkerboard__capsule-button__rest       calibration web     0.9357  0.0104  0.0023 -0.0413  0.0130  0.0199 -0.0471 -0.0486  0.0069  0.0221 -0.0118  0.0139  0.0275 -0.0314 -0.0359  0.0232 -0.0154     inf     WSW -1.766
photo__capsule-button__rest              calibration native  0.8917  0.0683  0.0523  0.0530  0.0572  0.0443  0.0580  0.0556  0.0566  0.0685  0.0530  0.0489  0.0585  0.0463  0.0590  0.0588  0.0561    1.54       S  0.647
photo__capsule-button__rest              calibration web     0.8978  0.0152 -0.0084 -0.0066  0.0100  0.0231  0.0153  0.0140  0.0148  0.0179 -0.0264 -0.0377 -0.0209 -0.0089 -0.0344 -0.0608 -0.0405     inf       E -2.634
checkerboard__rrect-md__rest             calibration native  0.8880  0.0815  0.0694  0.0634  0.0583  0.0760  0.0673  0.0787  0.0776  0.0800  0.0549  0.0630  0.0608  0.0753  0.0829  0.0808  0.0611    1.51     WNW  0.661
checkerboard__rrect-md__rest             calibration web     0.9351  0.0128  0.0111 -0.0316 -0.0328  0.0130 -0.0143  0.0192  0.0230  0.0095 -0.0657 -0.0879 -0.0192  0.0092  0.0253  0.0039 -0.0288     inf     WNW -3.469
photo__rrect-md__rest                    calibration native  0.8921  0.0705  0.0522  0.0604  0.0543  0.0612  0.0550  0.0671  0.0536  0.0684  0.0412  0.0467  0.0422  0.0585  0.0534  0.0603  0.0520    1.71       N  0.584
photo__rrect-md__rest                    calibration web     0.8986  0.0062 -0.0309 -0.0361 -0.0164  0.0392 -0.0140 -0.0355 -0.0256  0.0131 -0.0379 -0.0476 -0.0255  0.0081 -0.0575 -0.0812 -0.0587     inf       E -2.070
photo__capsule-button__rest-tint-orange  calibration native  0.4091  0.1438  0.0514  0.0226  0.0866  0.1582  0.1799  0.2191  0.1824  0.1459  0.0515  0.0123  0.0509  0.1392  0.1361  0.1296  0.1312   17.85      SE  0.056
photo__capsule-button__rest-tint-orange  calibration web     0.4138  0.0216  0.0248  0.0239  0.0171  0.0018  0.0021  0.0003  0.0023  0.0191  0.0153  0.0194  0.0274  0.0277  0.0218  0.0167  0.0184  104.60       W  0.010

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/packages/calibration/results/2026-09-10-w26-heavy-width/g2/canonical-reads/apple-macos-26.5-1x-light-reduced-transparency-css-after-angular.json
