== apple-macos-26.5-1x-light-standard / css / after   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w26/g2/cand/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
light-solid__capsule-button__rest        calibration native  0.9668  0.0332  0.0330  0.0332  0.0328  0.0332  0.0330  0.0325  0.0330  0.0332  0.0330  0.0325  0.0330  0.0332  0.0328  0.0332  0.0328    1.02       N  0.979
light-solid__capsule-button__rest        calibration web     0.9666  0.0077  0.0019  0.0000  0.0005  0.0005  0.0007  0.0000  0.0007  0.0074  0.0014  0.0000  0.0012  0.0042  0.0009  0.0000  0.0019 1022.49       N  0.001
dark-solid__capsule-button__rest         calibration native  0.0110  0.0192  0.0070  0.0019  0.0067  0.0182  0.0189  0.0203  0.0199  0.0192  0.0070  0.0017  0.0064  0.0181  0.0193  0.0208  0.0196   12.38      NW  0.081
dark-solid__capsule-button__rest         calibration web     0.0117  0.0036  0.0026  0.0027  0.0025  0.0004  0.0005  0.0001  0.0005  0.0033  0.0024  0.0028  0.0027  0.0033  0.0027  0.0029  0.0027   63.78       N  0.016
checkerboard__capsule-button__rest       calibration native  0.6133  0.2275  0.1686 -0.1277  0.2177  0.2090  0.0121  0.1762  0.1806  0.2166  0.2163  0.2119  0.2216  0.2101  0.2255  0.2882  0.2354     inf      NW -0.443
checkerboard__capsule-button__rest       calibration web     0.6798  0.0797  0.1616 -0.0208  0.1938  0.1731 -0.1478 -0.1536  0.1338  0.1484  0.1035  0.1991  0.2132 -0.0801 -0.0806  0.2219  0.0138     inf      NW -0.692
impulse__capsule-button__rest            validation  native  0.0066  0.0139  0.0029  0.0002  0.0023  0.0115  0.0099  0.0098  0.0105  0.0129  0.0028  0.0002  0.0026  0.0113  0.0092  0.0099  0.0100   85.88       N  0.012
impulse__capsule-button__rest            validation  web     0.0037  0.0023  0.0012  0.0016  0.0014  0.0002  0.0002  0.0000  0.0003  0.0022  0.0013  0.0016  0.0012  0.0018  0.0013  0.0018  0.0013   78.87       N  0.013
photo__capsule-button__rest              calibration native  0.5766  0.1329  0.0910  0.0810  0.0949  0.1334  0.1277  0.1419  0.1379  0.1311  0.0607  0.0401  0.0584  0.1022  0.0964  0.1123  0.0926    3.54      SE  0.283
photo__capsule-button__rest              calibration web     0.6214  0.0814  0.0581  0.1097  0.1356  0.1165  0.1071  0.1196  0.1048  0.0884  0.0395  0.0458  0.0396  0.0627  0.0307  0.0179  0.0098   13.79     ENE  0.073
light-solid__rrect-md__rest              calibration native  0.9345  0.0634  0.0570  0.0610  0.0573  0.0608  0.0578  0.0609  0.0561  0.0629  0.0538  0.0609  0.0550  0.0608  0.0594  0.0604  0.0597    1.18       N  0.849
light-solid__rrect-md__rest              calibration web     0.9332  0.0078  0.0042  0.0027  0.0039  0.0070  0.0000  0.0000  0.0000  0.0075  0.0038  0.0014  0.0038  0.0075  0.0040  0.0025  0.0049     inf       N  0.000
dark-solid__rrect-md__rest               calibration native  0.4798  0.1888  0.0360  0.0366  0.0381  0.1671  0.1259  0.1274  0.1258  0.1892  0.0347  0.0370  0.0362  0.1675  0.1269  0.1222  0.1281    5.46       S  0.183
dark-solid__rrect-md__rest               calibration web     0.5017  0.1455  0.0525  0.0366  0.0509  0.1288 -0.0104 -0.0306 -0.0125  0.1397  0.0496  0.0358  0.0517  0.1418  0.0574  0.0328  0.0565     inf       N -0.210
checkerboard__rrect-md__rest             calibration native  0.6792  0.1935  0.2195  0.1315  0.1085  0.1475  0.1788  0.2052  0.1916  0.1621 -0.0078  0.0563  0.1286  0.1683  0.2139  0.2264  0.1385     inf      NW -0.034
checkerboard__rrect-md__rest             calibration web     0.6979  0.1179  0.1940 -0.0137 -0.0145  0.1031  0.0419  0.1619  0.1423  0.0690 -0.0984 -0.1516  0.0773  0.1611  0.2035  0.1894  0.0513     inf     WNW -0.745
impulse__rrect-md__rest                  validation  native  0.4311  0.2003  0.0329  0.0319  0.0372  0.1749  0.1309  0.1333  0.1307  0.2009  0.0317  0.0323  0.0351  0.1753  0.1322  0.1275  0.1327    6.35       S  0.158
impulse__rrect-md__rest                  validation  web     0.4679  0.1450  0.0528  0.0374  0.0536  0.1286 -0.0088 -0.0328 -0.0109  0.1394  0.0521  0.0367  0.0520  0.1414  0.0601  0.0330  0.0586     inf       N -0.227
photo__rrect-md__rest                    calibration native  0.6610  0.0959  0.0770  0.0918  0.0953  0.1311  0.1453  0.1532  0.1416  0.1074  0.0246  0.0307  0.0337  0.1003  0.0629  0.0678  0.0520    6.23      SE  0.160
photo__rrect-md__rest                    calibration web     0.6570  0.0509  0.0101  0.0309  0.0660  0.1475  0.0314 -0.0095 -0.0052  0.0720  0.0082  0.0102  0.0337  0.0643 -0.0238 -0.0411 -0.0275     inf       E -0.279
light-solid__rrect-ml__rest              calibration native  0.9326  0.0651  0.0573  0.0631  0.0571  0.0621  0.0586  0.0609  0.0578  0.0648  0.0556  0.0601  0.0566  0.0621  0.0589  0.0623  0.0596    1.17       N  0.854
light-solid__rrect-ml__rest              calibration web     0.9331  0.0079  0.0013 -0.0005  0.0002  0.0071 -0.0005 -0.0027 -0.0005  0.0076 -0.0004 -0.0011  0.0020  0.0074  0.0004 -0.0003  0.0000     inf       N -0.341
checkerboard__rrect-ml__rest             calibration native  0.6906  0.1691  0.1616  0.1907  0.1773  0.1551  0.1831  0.0668  0.1202  0.1481  0.1167  0.1198  0.1226  0.1406  0.0529  0.0760  0.1439    3.61      NE  0.277
checkerboard__rrect-ml__rest             calibration web     0.6963  0.1080  0.1139  0.1483  0.0980  0.1025  0.1187 -0.0606  0.0627  0.0695  0.0346  0.1752 -0.0390  0.1449 -0.0545 -0.0839  0.1194     inf      SW -0.479
photo__rrect-ml__rest                    calibration native  0.6707  0.0971  0.1276  0.1470  0.1462  0.1473  0.1309  0.1321  0.1257  0.1058  0.0485  0.0561  0.0577  0.1192  0.0376  0.0263  0.0086   17.04       E  0.059
photo__rrect-ml__rest                    calibration web     0.6581  0.0487  0.0159  0.0350  0.0852  0.1393  0.0846  0.0348  0.0345  0.0636  0.0013  0.0124  0.0125  0.0737 -0.0055 -0.0147 -0.0181     inf       E -0.130
checkerboard__rrect-sm__rest             calibration native  0.6149  0.2443  0.2104  0.2012  0.2160  0.1942  0.2000  0.1145  0.1346  0.1985  0.1951  0.1921  0.1921  0.2163  0.2307  0.2540  0.2673    2.33     NNW  0.428
checkerboard__rrect-sm__rest             calibration web     0.6836  0.1324  0.0618  0.1098  0.1742  0.1527 -0.0032 -0.1526 -0.2180  0.0732  0.2570  0.2584  0.2550  0.2020  0.2124  0.2379  0.2379     inf      SW -0.844
photo__rrect-sm__rest                    validation  native  0.5411  0.1626  0.0431  0.0395  0.0425  0.1767  0.1480  0.1356  0.1519  0.1669  0.0410  0.0437  0.0431  0.1339  0.1030  0.0941  0.1150    4.48       E  0.223
photo__rrect-sm__rest                    validation  web     0.6037  0.1023  0.0576  0.0511  0.0454  0.1143  0.0935  0.0719  0.0584  0.0983  0.0496  0.0694  0.0793  0.1112  0.0565  0.0475  0.0636    2.52       E  0.397
dark-solid__capsule-button__rest-tint-orange calibration native  0.4243  0.0859  0.0249  0.0077  0.0181  0.0460  0.0486  0.0815  0.0558  0.0860  0.0243  0.0075  0.0186  0.0455  0.0472  0.0854  0.0530   11.41       S  0.088
dark-solid__capsule-button__rest-tint-orange calibration web     0.4275  0.0316  0.0177  0.0226  0.0208  0.0038  0.0040  0.0011  0.0043  0.0302  0.0199  0.0233  0.0177  0.0193  0.0200  0.0259  0.0204   29.84       N  0.034
impulse__capsule-button__rest-tint-orange calibration native  0.4242  0.0852  0.0250  0.0077  0.0173  0.0455  0.0475  0.0815  0.0559  0.0853  0.0243  0.0076  0.0178  0.0446  0.0462  0.0855  0.0531   11.30      NW  0.089
impulse__capsule-button__rest-tint-orange calibration web     0.4275  0.0316  0.0177  0.0226  0.0208  0.0038  0.0040  0.0011  0.0043  0.0302  0.0199  0.0233  0.0177  0.0193  0.0200  0.0259  0.0204   29.58       N  0.034
checkerboard__capsule-button__rest-tint-orange calibration native  0.3519  0.3378  0.3711 -0.0238  0.4590  0.4552  0.1065  0.1058  0.1684  0.2640  0.3824  0.4226  0.4487  0.1655  0.1750  0.5155  0.2674     inf      NW -0.046
checkerboard__capsule-button__rest-tint-orange calibration web     0.3665  0.2748  0.2801  0.0291  0.0321  0.0041  0.0043  0.0010  0.0046  0.0384  0.0265  0.0963  0.3270  0.0578  0.0828  0.5247  0.2023  526.99      NW  0.002
photo__capsule-button__rest-tint-orange  calibration native  0.3441  0.1580  0.0623  0.0270  0.0901  0.1778  0.1935  0.2302  0.1972  0.1579  0.0522  0.0137  0.0534  0.1517  0.1507  0.1469  0.1454   16.80      SE  0.060
photo__capsule-button__rest-tint-orange  calibration web     0.3555  0.0457  0.0287  0.0333  0.0321  0.0049  0.0055  0.0010  0.0059  0.0423  0.0294  0.0340  0.0295  0.0403  0.0297  0.0372  0.0295   43.93       N  0.023
light-solid__capsule-button__rest-tint-orange calibration native  0.4229  0.4270  0.4313  0.4255  0.4223  0.4098  0.4067  0.3973  0.3904  0.3869  0.3904  0.3951  0.4046  0.4098  0.4235  0.4286  0.4313    1.11     NNE  0.897
light-solid__capsule-button__rest-tint-orange calibration web     0.4276  0.4175  0.3030  0.0876  0.0147  0.0012  0.0014  0.0002  0.0014  0.0117  0.0148  0.0830  0.2864  0.4146  0.4218  0.4244  0.4297 1932.76     NNW  0.001
photo__capsule-button__rest-tint-blue    calibration native  0.1908  0.2129  0.1095  0.1478  0.2148  0.2420  0.2706  0.3057  0.2693  0.2130  0.0886  0.0338  0.0964  0.2134  0.2304  0.2294  0.2129    9.04      SE  0.111
photo__capsule-button__rest-tint-blue    calibration web     0.1973  0.1104  0.0927  0.1010  0.0762  0.0098  0.0113  0.0022  0.0122  0.1011  0.0692  0.0829  0.0821  0.1037  0.0835  0.0868  0.0787   50.20       N  0.020
photo__capsule-button__rest-tint-orange-half calibration native  0.4303  0.1574  0.0704  0.0398  0.0834  0.1952  0.1899  0.1934  0.2000  0.1551  0.0541  0.0266  0.0477  0.1363  0.1317  0.1250  0.1271    7.53     SSE  0.133
