== apple-macos-26.5-2x-dark-standard / webgpu  fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w26/g2/cand/web-captures
scene                                        set           bodyN   bodyW |                  rim native T/B/L/R |                     rim web T/B/L/R | clipN
dark-solid__capsule-button__rest             calibration  0.0110  0.0117 | +0.0204 +0.0204     -       -   | +0.0165 +0.0165     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest           calibration  0.1074  0.0685 | +0.0982 +0.1040     -       -   | +0.0772 +0.0772     -       -   |  0.00  0.00   -     -  
impulse__capsule-button__rest                validation   0.0067  0.0034 | +0.0159 +0.0161     -       -   | +0.0183 +0.0193     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest                  calibration  0.0966  0.0527 | +0.0758 +0.0754     -       -   | +0.0475 +0.0477     -       -   |  0.00  0.00   -     -  
dark-solid__rrect-md__rest                   calibration  0.0153  0.0130 | +0.0255 +0.0255 +0.0256 +0.0256 | +0.0242 +0.0242 +0.0243 +0.0243 |  0.00  0.00  0.00  0.00
checkerboard__rrect-md__rest                 calibration  0.0475  0.0478 | +0.0518 +0.0540 +0.0653 +0.0427 | +0.0575 +0.0576 +0.1349 -0.0194 |  0.00  0.00  0.00  0.00
photo__rrect-md__rest                        calibration  0.0470  0.0391 | +0.0492 +0.0557 +0.0466 +0.1074 | +0.0334 +0.0422 +0.0469 +0.0734 |  0.00  0.00  0.00  0.00
dark-solid__capsule-button__rest-tint-orange calibration  0.4243  0.4275 | +0.1179 +0.1179     -       -   | +0.1127 +0.1127     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest-tint-orange calibration  0.4345  0.4275 | +0.1270 +0.1278     -       -   | +0.0311 +0.0313     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest-tint-orange      calibration  0.4344  0.4274 | +0.1268 +0.1267     -       -   | +0.0207 +0.0211     -       -   |  0.00  0.00   -     -  
checkerboard-4__rrect-sm__rest               unassigned   0.1014  0.0722 | +0.0974 +0.0974 +0.0980 +0.0980 | +0.0812 +0.0813 +0.0813 +0.0813 |  0.00  0.00  0.00  0.00
checkerboard-4__capsule-button__rest         unassigned   0.1015  0.0719 | +0.0986 +0.0986     -       -   | +0.0802 +0.0802     -       -   |  0.00  0.00   -     -  
checkerboard-4__rrect-md__rest               unassigned   0.0452  0.0511 | +0.0537 +0.0537 +0.0540 +0.0540 | +0.0609 +0.0609 +0.0610 +0.0610 |  0.00  0.00  0.00  0.00
checkerboard-4__rrect-ml__rest               unassigned   0.0457  0.0517 | +0.0536 +0.0536 +0.0537 +0.0538 | +0.0599 +0.0599 +0.0599 +0.0599 |  0.00  0.00  0.00  0.00
checkerboard-4__rrect-lg__rest               unassigned   0.0467  0.0525 | +0.0527 +0.0528 +0.0527 +0.0527 | +0.0582 +0.0583 +0.0582 +0.0582 |  0.00  0.00  0.00  0.00
checkerboard-8__rrect-sm__rest               unassigned   0.1015  0.0698 | +0.0987 +0.0987 +0.1487 +0.0477 | +0.0800 +0.0800 +0.0821 +0.0773 |  0.00  0.00  0.00  0.00
checkerboard-8__rrect-md__rest               unassigned   0.0448  0.0489 | +0.0541 +0.0541 +0.0552 +0.0537 | +0.0589 +0.0588 +0.0621 +0.0558 |  0.00  0.00  0.00  0.00
