== apple-macos-26.5-2x-light-standard / webgpu  fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w26/g2/cand/web-captures
scene                                        set           bodyN   bodyW |                  rim native T/B/L/R |                     rim web T/B/L/R | clipN
light-solid__capsule-button__rest            calibration  0.9666  0.9723 | +0.0292 +0.0292     -       -   | +0.0126 +0.0126     -       -   |  1.00  1.00   -     -  
dark-solid__capsule-button__rest             calibration  0.0110  0.0117 | +0.0204 +0.0204     -       -   | +0.0165 +0.0165     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest           calibration  0.6152  0.6803 | +0.1633 +0.1570     -       -   | +0.1615 +0.1516     -       -   |  0.00  0.00   -     -  
impulse__capsule-button__rest                validation   0.0067  0.0034 | +0.0159 +0.0161     -       -   | +0.0183 +0.0193     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest                  calibration  0.5772  0.6115 | +0.1134 +0.1144     -       -   | +0.1444 +0.1424     -       -   |  0.00  0.00   -     -  
light-solid__rrect-md__rest                  calibration  0.9344  0.9318 | +0.0542 +0.0542 +0.0542 +0.0542 | +0.0462 +0.0461 +0.0467 +0.0467 |  1.00  1.00  1.00  1.00
dark-solid__rrect-md__rest                   calibration  0.4798  0.4955 | +0.2052 +0.2052 +0.2065 +0.2065 | +0.2158 +0.2161 +0.2158 +0.2161 |  0.00  0.00  0.00  0.00
checkerboard__rrect-md__rest                 calibration  0.6800  0.6991 | +0.1417 +0.1414 +0.2248 +0.0633 | +0.1484 +0.1582 +0.3712 -0.0755 |  0.00  0.00  0.00  0.00
impulse__rrect-md__rest                      validation   0.4311  0.4645 | +0.2178 +0.2228 +0.2160 +0.2160 | +0.2148 +0.2233 +0.2126 +0.2128 |  0.00  0.00  0.00  0.00
photo__rrect-md__rest                        calibration  0.6619  0.6563 | +0.0678 +0.0910 +0.1301 +0.2017 | +0.1265 +0.1511 +0.1664 +0.2411 |  0.00  0.00  0.00  0.00
light-solid__rrect-ml__rest                  calibration  0.9325  0.9316 | +0.0553 +0.0553 +0.0553 +0.0553 | +0.0463 +0.0463 +0.0469 +0.0469 |  1.00  1.00  1.00  1.00
checkerboard__rrect-ml__rest                 calibration  0.6902  0.6991 | +0.1416 +0.1408 +0.1476 +0.1357 | +0.1471 +0.1576 +0.3177 -0.0205 |  0.00  0.00  0.00  0.00
photo__rrect-ml__rest                        calibration  0.6709  0.6578 | +0.0622 +0.1002 +0.1251 +0.2743 | +0.1192 +0.1691 +0.1098 +0.3843 |  0.00  0.00  0.00  0.00
checkerboard__rrect-sm__rest                 calibration  0.6163  0.6797 | +0.1606 +0.1523 +0.0417 +0.2791 | +0.1579 +0.1531 -0.0063 +0.3209 |  0.00  0.00  0.00  0.00
photo__rrect-sm__rest                        validation   0.5408  0.5866 | +0.1632 +0.1576 +0.1598 +0.2111 | +0.1901 +0.1827 +0.1973 +0.1986 |  0.00  0.00  0.00  0.00
dark-solid__capsule-button__rest-tint-orange calibration  0.4243  0.4275 | +0.1179 +0.1179     -       -   | +0.1127 +0.1127     -       -   |  0.00  0.00   -     -  
impulse__capsule-button__rest-tint-orange    calibration  0.4243  0.4275 | +0.1178 +0.1182     -       -   | +0.1128 +0.1128     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest-tint-orange calibration  0.3522  0.3683 | +0.1632 +0.1630     -       -   | +0.1147 +0.1149     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest-tint-orange      calibration  0.3442  0.3538 | +0.1579 +0.1577     -       -   | +0.1283 +0.1282     -       -   |  0.00  0.00   -     -  
light-solid__capsule-button__rest-tint-orange calibration  0.4229  0.4277 | +0.1378 +0.1378     -       -   | +0.0433 +0.0433     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest-tint-blue        calibration  0.1909  0.1971 | +0.2131 +0.2131     -       -   | +0.1486 +0.1487     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest-tint-orange-half calibration  0.4306  0.4528 | +0.1504 +0.1513     -       -   | +0.1469 +0.1462     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest-tint-blue validation   0.1954  0.2050 | +0.2168 +0.2172     -       -   | +0.1331 +0.1333     -       -   |  0.00  0.00   -     -  
photo__rrect-md__rest-tint-orange            validation   0.3609  0.3628 | +0.1523 +0.1552 +0.1638 +0.1797 | +0.1161 +0.1187 +0.1204 +0.1289 |  0.00  0.00  0.00  0.00
checkerboard-4__rrect-sm__rest               unassigned   0.6081  0.6983 | +0.1658 +0.1658 +0.1660 +0.1660 | +0.1553 +0.1553 +0.1543 +0.1536 |  0.00  0.00  0.00  0.00
checkerboard-4__capsule-button__rest         unassigned   0.6079  0.6989 | +0.1659 +0.1659     -       -   | +0.1575 +0.1572     -       -   |  0.00  0.00   -     -  
checkerboard-4__rrect-md__rest               unassigned   0.6776  0.7171 | +0.1436 +0.1436 +0.1448 +0.1448 | +0.1521 +0.1524 +0.1525 +0.1527 |  0.00  0.00  0.00  0.00
checkerboard-4__rrect-ml__rest               unassigned   0.6913  0.7167 | +0.1410 +0.1410 +0.1417 +0.1418 | +0.1536 +0.1535 +0.1536 +0.1536 |  0.00  0.00  0.00  0.00
checkerboard-4__rrect-lg__rest               unassigned   0.7056  0.7159 | +0.1372 +0.1372 +0.1377 +0.1377 | +0.1547 +0.1551 +0.1545 +0.1547 |  0.00  0.00  0.00  0.00
checkerboard-8__rrect-sm__rest               unassigned   0.6086  0.6858 | +0.1641 +0.1641 +0.2860 +0.0455 | +0.1581 +0.1581 +0.2833 +0.0312 |  0.00  0.00  0.00  0.00
checkerboard-8__capsule-button__rest         unassigned   0.6080  0.6868 | +0.1637 +0.1637     -       -   | +0.1600 +0.1598     -       -   |  0.00  0.00   -     -  
checkerboard-8__rrect-md__rest               unassigned   0.6773  0.7052 | +0.1443 +0.1440 +0.1443 +0.1461 | +0.1561 +0.1563 +0.1161 +0.1960 |  0.00  0.00  0.00  0.00
checkerboard-8__rrect-ml__rest               unassigned   0.6914  0.7052 | +0.1413 +0.1411 +0.1382 +0.1457 | +0.1564 +0.1563 +0.1700 +0.1431 |  0.00  0.00  0.00  0.00
